Nome: BRAZLANDIA
Codigo Estacao: A042
Latitude: -15.59972221
Longitude: -48.1311111
Altitude: 1143
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;887,833333;27,8;22,070833;18,3;76,166667;1,85;
2023-01-02;11,2;886,858333;26,7;21,875;18,5;77,708333;2,0125;
2023-01-03;0;886,6875;26,9;20,6375;18;82,375;1,566667;
2023-01-04;,8;887,1125;25,2;20,408333;17,8;85,833333;1,941667;
2023-01-05;0;886,879167;24,6;20,595833;18,4;84,958333;2,1;
2023-01-06;21,6;887,658333;21,3;19,204167;18,4;91,25;2,725;
2023-01-07;10;888,683333;26,1;20,5125;17,1;82,708333;2,1;
2023-01-08;2,6;888,666667;25,3;19,633333;17,9;88,708333;1,3625;
2023-01-09;36,4;888,645833;22,2;18,829167;16,7;87,25;1,670833;
2023-01-10;16;888,829167;27,4;21,320833;16,8;75,083333;1,454167;
2023-01-11;0;889,129167;26,5;21,179167;18,2;78,416667;1,058333;
2023-01-12;0;887,616667;27,5;20,9875;17,3;79,5;1,0625;
2023-01-13;12;887,2;25,7;19,520833;17,1;85,041667;1,004167;
2023-01-14;16,8;888,070833;27,6;20,995833;16,7;75,583333;1,008333;
2023-01-15;3;888,583333;27,9;21,679167;18,1;77,083333;1,616667;
2023-01-16;0;887,304167;29,2;22,745833;17,6;69,125;1,579167;
2023-01-17;0;887,395833;27,8;22,595833;18,1;61,125;1,9;
2023-01-18;0;888,608333;27,7;21,329167;16,3;72,625;1,129167;
2023-01-19;1,2;889,066667;27,2;21,0375;17,2;75,083333;1,375;
2023-01-20;0;888,075;27,2;21,3;16,8;77,333333;1,270833;
2023-01-21;0;887,070833;24,8;20,170833;18,3;83,833333;1,7;
2023-01-22;6,6;886,7875;25,3;19,916667;17,2;85,791667;2,304167;
2023-01-23;4,4;887,045833;25,1;20,116667;18;86,583333;2,233333;
2023-01-24;2,8;886,608333;26,4;20,520833;17,5;84,75;1,854167;
2023-01-25;9,8;885,566667;27,7;21,666667;18,5;80,541667;1,329167;
2023-01-26;,4;885,425;25;20,35;18,8;85,666667;1,608333;
2023-01-27;1;886,629167;26,4;20,6125;17,8;79,375;1,9875;
2023-01-28;1,8;888,354167;27,2;21,241667;17,7;79,5;,879167;
2023-01-29;0;888,120833;26,9;20,754167;17,5;81,625;,841667;
2023-01-30;,2;886,9;26,8;20,845833;17;79,25;1,329167;
2023-01-31;,4;887,0625;27,4;22,1875;17,7;75,583333;1,729167;
2023-02-01;null;887,645833;28,6;23,020833;17,8;66,25;1,658333;
2023-02-02;null;888,283333;28,8;23,045833;17,5;64,666667;1,579167;
2023-02-03;null;888,858333;28,2;20,95;18,5;83,166667;,583333;
2023-02-04;null;889,791667;26,8;21,7375;17,3;78,875;1,154167;
2023-02-05;null;889,391667;27,1;22,070833;19;79,666667;1,041667;
2023-02-06;null;888,304167;25,5;20,816667;19,4;84,25;,933333;
2023-02-07;null;887,791667;29,5;23,041667;17,5;65,875;1,875;
2023-02-08;null;887,045833;29,1;24,0625;19,3;61,541667;1,275;
2023-02-09;null;887,866667;27,9;22,6;18,4;71,041667;1,566667;
2023-02-10;null;887,391667;28,6;23,558333;19,4;65,291667;2,4875;
2023-02-11;null;887,2375;30;23,445833;18,9;66,125;1,8625;
2023-02-12;null;886,8875;28,9;23,5;19;64,583333;2,470833;
2023-02-13;null;887,245833;29,8;24,0875;19;65,291667;1,95;
2023-02-14;null;886,9;30,8;25,108333;19,9;54,083333;2,020833;
2023-02-15;null;886,029167;30,4;24,533333;18,4;55,708333;2,404167;
2023-02-16;null;884,766667;29,5;23,466667;18,3;69;1,491667;
2023-02-17;null;885,254167;26,5;22,6625;19,9;74,875;1,183333;
2023-02-18;null;886,591667;25,4;20,833333;17,1;82,458333;1,754167;
2023-02-19;null;886,6375;28,6;22,629167;19,3;71,291667;3,525;
2023-02-20;null;887,4125;26,9;21,645833;17,4;72,583333;1,995833;
2023-02-21;null;888,366667;28,4;21,266667;16,8;71,916667;1,679167;
2023-02-22;null;890,1875;25,6;20,220833;17,1;83;2,129167;
2023-02-23;null;890,420833;25,1;20,0125;18,3;87,833333;1,45;
2023-02-24;null;888,882609;27;20,865217;18;79,913043;1,6;
2023-02-25;null;887,82381;29,5;null;18;70,904762;2,104762;
2023-02-26;null;889,136364;30;23,272727;18,1;68,727273;1,381818;
2023-02-27;0;889,554167;30,6;24,716667;18,4;55,75;3,154167;
2023-02-28;0;889,708333;29,6;23,675;20,3;62,375;3,225;
2023-03-01;42,2;889,86087;27,5;20,76087;17,4;79,956522;1,486957;
2023-03-02;8;888,231818;28,1;21,672727;17,2;71,818182;2,131818;
2023-03-03;0;887,908696;28,8;21,886957;17,8;76,956522;2,178261;
2023-03-04;13;888,180952;29,2;null;17,3;66,571429;2,428571;
2023-03-05;null;887,266667;29,7;null;18;55,285714;1,542857;
2023-03-06;null;886,161905;29,3;null;18,5;64,428571;1,761905;
2023-03-07;0;887,26087;26;20,834783;19,2;81,086957;1,708696;
2023-03-08;null;887,7;27,1;null;16,9;76,571429;3,166667;
2023-03-09;52,4;888,522727;26;21;17;81,136364;1,440909;
2023-03-10;12;888,452381;26,8;null;19;80,47619;1,371429;
2023-03-11;,4;887,543478;25,5;21,004348;18,7;79,26087;1,873913;
2023-03-12;1;887,7;27,8;21,9;18;75,318182;2,554545;
2023-03-13;24,6;888,086364;25,6;21,409091;17,6;80,318182;1,5;
2023-03-14;6,6;888,763636;22,2;19,831818;18,5;88,909091;1,286364;
2023-03-15;null;887,486364;25,5;20,722727;16,8;82,181818;1,218182;
2023-03-16;2,8;887,027273;24,7;20,165217;18,1;86;1,218182;
2023-03-17;null;886,985714;24,1;null;18,5;82,666667;1,27619;
2023-03-18;null;887,855556;24,8;null;17,7;81,611111;2,544444;
2023-03-19;0;888,027273;26,1;20,972727;17,3;75,272727;2,109091;
2023-03-20;4,2;888,230435;23,9;19,513043;17,8;84,130435;2,034783;
2023-03-21;5;888,836364;24,7;19,822727;17,9;83,545455;1,840909;
2023-03-22;26,8;889,4;26,4;20,873913;17,4;76,26087;2,7;
2023-03-23;null;889,472727;27,3;21,536364;18;76,454545;2,204545;
2023-03-24;4,8;889,15;28,2;23,154545;18,2;63,181818;2,859091;
2023-03-25;0;888,765217;28,3;22,873913;17;52,347826;2,617391;
2023-03-26;0;888,959091;29,9;24,086364;19;52;2,681818;
2023-03-27;0;888,191667;30,1;24,108333;18;56,166667;2,308333;
2023-03-28;0;888,143478;27,2;22,530435;19,1;72,869565;1,091304;
2023-03-29;,2;888,465217;27,7;22,773913;18,7;66,391304;3,026087;
2023-03-30;0;889,504167;28,8;22,725;16,3;54,458333;1,941667;
2023-03-31;0;888,691667;29,8;23,916667;18,2;56,75;1,808333;
2023-04-01;0;887,617391;28,5;23,369565;19,2;61,217391;1,43913;
2023-04-02;19;887,569565;25,7;20,330435;17,5;76,304348;1,56087;
2023-04-03;,4;887,85;26,2;19,708333;16,2;76,125;2,45;
2023-04-04;5,4;887,258333;24,6;20,070833;16,6;74,875;2,295833;
2023-04-05;0;886,641667;27,3;21,2;17;73,791667;2,475;
