Nome: CAMPOS LINDOS
Codigo Estacao: A043
Latitude: -8.15472222
Longitude: -46.63944444
Altitude: 426.56
Situacao: Pane
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;null;null;null;null;null;null;
2023-01-02;null;null;null;null;null;null;null;
2023-01-03;null;null;null;null;null;null;null;
2023-01-04;null;null;null;null;null;null;null;
2023-01-05;null;null;null;null;null;null;null;
2023-01-06;null;null;null;null;null;null;null;
2023-01-07;null;null;null;null;null;null;null;
2023-01-08;null;null;null;null;null;null;null;
2023-01-09;null;null;null;null;null;null;null;
2023-01-10;null;null;null;null;null;null;null;
2023-01-11;null;null;null;null;null;null;null;
2023-01-12;null;null;null;null;null;null;null;
2023-01-13;null;null;null;null;null;null;null;
2023-01-14;null;null;null;null;null;null;null;
2023-01-15;null;null;null;null;null;null;null;
2023-01-16;null;null;null;null;null;null;null;
2023-01-17;null;null;null;null;null;null;null;
2023-01-18;null;null;null;null;null;null;null;
2023-01-19;null;null;null;null;null;null;null;
2023-01-20;null;null;null;null;null;null;null;
2023-01-21;null;null;null;null;null;null;null;
2023-01-22;null;null;null;null;null;null;null;
2023-01-23;null;null;null;null;null;null;null;
2023-01-24;null;null;null;null;null;null;null;
2023-01-25;null;null;null;null;null;null;null;
2023-01-26;null;null;null;null;null;null;null;
2023-01-27;null;null;null;null;null;null;null;
2023-01-28;null;null;null;null;null;null;null;
2023-01-29;null;null;null;null;null;null;null;
2023-01-30;null;null;null;null;null;null;null;
2023-01-31;null;null;null;null;null;null;null;
2023-02-01;null;null;null;null;null;null;null;
2023-02-02;null;null;null;null;null;null;null;
2023-02-03;null;null;null;null;null;null;null;
2023-02-04;null;null;null;null;null;null;null;
2023-02-05;null;null;null;null;null;null;null;
2023-02-06;null;null;null;null;null;null;null;
2023-02-07;null;null;null;null;null;null;null;
2023-02-08;null;null;null;null;null;null;null;
2023-02-09;null;null;null;null;null;null;null;
2023-02-10;null;null;null;null;null;null;null;
2023-02-11;null;null;null;null;null;null;null;
2023-02-12;null;null;null;null;null;null;null;
2023-02-13;null;null;null;null;null;null;null;
2023-02-14;null;null;null;null;null;null;null;
2023-02-15;null;null;null;null;null;null;null;
2023-02-16;null;null;null;null;null;null;null;
2023-02-17;null;null;null;null;null;null;null;
2023-02-18;null;null;null;null;null;null;null;
2023-02-19;null;null;null;null;null;null;null;
2023-02-20;null;null;null;null;null;null;null;
2023-02-21;null;null;null;null;null;null;null;
2023-02-22;null;null;null;null;null;null;null;
2023-02-23;null;null;null;null;null;null;null;
2023-02-24;null;null;null;null;null;null;null;
2023-02-25;null;null;null;null;null;null;null;
2023-02-26;null;null;23,6;null;null;null;null;
2023-02-27;null;964,958333;29,6;22,491667;19,2;90;null;
2023-02-28;7,2;965,145833;30,8;23,429167;20,3;87,65;null;
2023-03-01;3,6;964,358333;32;25,970833;21,1;75,8;null;
2023-03-02;0;962,920833;33;26,729167;20,7;73,083333;null;
2023-03-03;0;962,645833;31,7;26,533333;21,7;75,166667;null;
2023-03-04;0;963,066667;30,5;25,179167;21,8;82,75;null;
2023-03-05;3,2;962,6625;33,2;25,225;21,3;83,772727;null;
2023-03-06;5;962,091667;31,3;25,566667;21,7;74,857143;null;
2023-03-07;0;962,233333;30,9;24,229167;21,8;88,909091;null;
2023-03-08;22,4;962,886957;28,8;23,034783;21,1;91,9375;null;
2023-03-09;null;null;32,1;null;null;null;null;
2023-03-10;0;963,4625;30,8;25,8625;22;80,75;null;
2023-03-11;0;962,708333;32;25,55;21,6;81,75;null;
2023-03-12;0;962,925;31,6;25,008333;23;85,125;null;
2023-03-13;15;963,933333;27,5;22,9125;20,7;null;null;
2023-03-14;63,2;964,195833;30;23,529167;19,9;78,166667;null;
2023-03-15;2,8;964,25;23,5;22,166667;21,5;95;null;
2023-03-16;28,4;963,033333;30,5;24,208333;20,3;76;null;
2023-03-17;12;963,433333;28,8;23,3375;20,9;85,8125;null;
2023-03-18;79,6;965,1875;29,1;23,316667;19,6;74,357143;null;
2023-03-19;,2;965,4375;30,5;23,141667;21,6;84,25;null;
2023-03-20;53,8;964,466667;29,9;22,895833;19,9;79,333333;null;
2023-03-21;10,4;965,183333;26;23,041667;20,5;88,545455;null;
2023-03-22;,4;964,945833;30,5;24,520833;21,5;75,5;null;
2023-03-23;3,8;964,354167;29,8;24,208333;21,7;82,736842;null;
2023-03-24;9,8;963,8375;30;25,2875;22,5;78,666667;null;
2023-03-25;0;963,35;32,1;25,445833;20,2;72,235294;null;
2023-03-26;,6;964,0875;32,1;23,633333;21,7;89,173913;null;
2023-03-27;6,6;964,075;28,2;23,0125;20,3;86,076923;null;
2023-03-28;2,4;963,625;31,1;24,091667;20,8;78,285714;null;
2023-03-29;,6;963,7625;30,8;24,675;19,8;78,85;null;
2023-03-30;0;964,170833;30,6;25;21,5;82,583333;null;
2023-03-31;4,8;964,095833;30,7;25,825;22,4;80,916667;null;
2023-04-01;2,8;963,7125;31,3;25,15;21,3;77,5;null;
2023-04-02;0;963,341667;32,2;25,958333;21,8;75,3;null;
2023-04-03;37;963,870833;26,5;22,6;19,5;85,833333;null;
2023-04-04;,8;962,458333;31,7;25,445833;20,7;76,285714;null;
2023-04-05;0;962,016667;30,5;23,791667;22,1;88,454545;null;
2023-04-06;6;962,079167;30,7;23,591667;21;84,384615;null;
2023-04-07;1,2;962,604167;31,5;24,841667;20,1;73,538462;null;
2023-04-08;0;963,820833;29,1;23,341667;21,1;91,3;null;
2023-04-09;16,4;964,3;31,2;24,55;20,9;78,214286;null;
2023-04-10;,6;964,841667;31,5;24,0375;21,1;83,666667;null;
2023-04-11;3,8;964,1125;31,2;24,320833;20,9;85,421053;null;
2023-04-12;11,6;962,545833;32;25,941667;20,9;73,055556;null;
2023-04-13;0;961,55;31,7;25,958333;21;78,375;null;
2023-04-14;0;962,15;32,1;26,675;22,4;76,416667;null;
2023-04-15;0;962,7125;32,9;27,016667;20,9;71,791667;null;
2023-04-16;0;962,6375;32,1;26,7375;22,5;76,708333;null;
2023-04-17;0;960,545833;32,5;25,775;22,7;85,041667;null;
2023-04-18;22,4;960,991667;29,1;24,508333;20,7;87,217391;null;
2023-04-19;,2;963,775;31;25,175;21,1;78,533333;null;
2023-04-20;0;964,283333;31,6;25,795833;21,9;82,409091;null;
2023-04-21;33,8;962,279167;31,9;25,1875;19,5;77,789474;null;
2023-04-22;1;961,541667;31;25,754167;21,9;75,5;null;
