Nome: GAMA (PONTE ALTA)
Codigo Estacao: A046
Latitude: -15.93527777
Longitude: -48.13749999
Altitude: 990
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;,6;904,3125;29,3;22,258333;17,6;75,958333;1,579167;
2023-01-02;0;903,1;29;23,045833;19,4;71,208333;2,045833;
2023-01-03;23,8;903,045833;27,5;21,595833;18,2;79,041667;1,7375;
2023-01-04;,8;903,333333;26,7;21,8125;18,2;78,875;2,1125;
2023-01-05;,8;903,1;26,7;22,045833;18,9;76,583333;2,295833;
2023-01-06;11,4;903,933333;22,6;20,5;18,9;84,666667;2,316667;
2023-01-07;3,2;904,941667;27,8;21,9;17,7;74,875;2,208333;
2023-01-08;0;904,983333;26,9;21,475;18;77,875;2,104167;
2023-01-09;5,2;905,158333;23,7;19,316667;16,7;85,208333;1,5375;
2023-01-10;10,6;null;28,8;22,391667;16,5;70,083333;1,820833;
2023-01-11;,8;905,516667;28,4;21,695833;17,4;77,333333;1,491667;
2023-01-12;0;904,004167;27,9;21,5125;16,7;77,041667;1,4375;
2023-01-13;2,2;903,608333;29;20,666667;17;81,458333;1,570833;
2023-01-14;41,4;904,55;28,3;21,054167;17,4;81,958333;1,0625;
2023-01-15;13,6;905,095833;30,3;21,670833;17,9;78,375;1,679167;
2023-01-16;25;903,8;30;22,279167;16,5;71,541667;1,716667;
2023-01-17;0;903,7;29,3;23,754167;18,3;58,083333;3,133333;
2023-01-18;0;904,995833;29,5;21,858333;15,7;70;1,866667;
2023-01-19;,6;905,566667;27,9;20,9875;16,2;75,5;1,4625;
2023-01-20;,4;904,375;28,4;21,720833;16,9;74,625;1,825;
2023-01-21;0;903,4;26,5;21,2375;18,9;78,25;1,658333;
2023-01-22;0;902,995833;27,6;21,308333;17,8;78,25;2,65;
2023-01-23;0;903,325;26,5;21,008333;18,9;82,416667;2,041667;
2023-01-24;61,6;902,85;27,7;21,670833;18,1;79,708333;2,325;
2023-01-25;,2;901,866667;29,5;22,545833;18,9;77,125;1,45;
2023-01-26;0;901,6875;26;21,516667;19,9;82,916667;1,8375;
2023-01-27;4,2;902,879167;27,9;21,945833;17,9;73,458333;1,795833;
2023-01-28;6,6;904,954167;25,9;21,15;18,1;82,416667;1,391667;
2023-01-29;2,4;904,583333;28,9;20,875;16,8;80,916667;1,466667;
2023-01-30;19,4;903,354167;28,3;21,116667;16;78,833333;1,6625;
2023-01-31;0;903,479167;29,2;22,4;17,4;75,416667;1,870833;
2023-02-01;0;904,066667;30,2;23,029167;15,9;66,541667;1,9875;
2023-02-02;0;904,483333;30,4;24,029167;17,3;58,291667;1,983333;
2023-02-03;0;905,1125;30,6;21,504167;17,7;78,541667;1,575;
2023-02-04;63,6;906,129167;27,7;21,8375;16,7;78,333333;1,416667;
2023-02-05;0;905,704167;28,9;22,995833;18,4;75,625;1,683333;
2023-02-06;0;904,795833;24,6;19,75;16,7;87,166667;1,208333;
2023-02-07;57,2;904,1875;31,3;23,166667;16,3;68,625;1,625;
2023-02-08;,2;903,291667;30,6;23,4375;16,6;66,583333;1,604167;
2023-02-09;0;904,216667;29,7;21,783333;19;77,958333;1,729167;
2023-02-10;16,4;903,7625;30,4;23,270833;18;70,833333;1,958333;
2023-02-11;0;903,704167;30,7;23,158333;17,7;71,375;1,383333;
2023-02-12;0;903,0375;30,5;24,083333;19;65,708333;2,616667;
2023-02-13;,2;903,583333;31,6;23,795833;17,2;68;1,679167;
2023-02-14;0;903,1125;32,4;24,691667;16,6;59,458333;1,7125;
2023-02-15;0;902,054167;31,7;25,9125;18,2;52,083333;1,9375;
2023-02-16;0;901,013636;30,8;24,45;19,1;66,409091;1,931818;
2023-02-17;0;901,595455;28;21,927273;18,9;78,545455;1,372727;
2023-02-18;20,6;903,036364;29;21,645455;18,3;80,363636;1,509091;
2023-02-19;11;903,047619;29,8;null;18,8;68,333333;3,295238;
2023-02-20;null;903,904348;28,4;20,93913;15,9;77,26087;1,708696;
2023-02-21;14,2;904,95;27,7;20,736364;15,6;78,318182;1,55;
2023-02-22;9,6;906,777273;28,4;21,131818;17,5;78,818182;1,554545;
2023-02-23;1,4;907,109524;27,2;null;17,9;87,52381;1,190476;
2023-02-24;null;905,379167;29,5;20,929167;17,4;82,208333;1,395833;
2023-02-25;14;904,304167;30,3;22,5125;17,6;76,041667;1,604167;
2023-02-26;0;905,466667;31,7;23,5;17,7;68,916667;1,733333;
2023-02-27;0;906,0125;31,4;24,4;15,5;59;2,4125;
2023-02-28;0;906,070833;30,9;23,8875;16,9;61,666667;2,466667;
2023-03-01;0;906,4375;27,7;20,7375;17,6;80,916667;1,4875;
2023-03-02;10,4;904,983333;28,5;20,325;16,7;82,458333;1,708333;
2023-03-03;16,2;904,358333;29,8;21,570833;16,4;79,083333;1,9125;
2023-03-04;17,2;904,620833;30,7;22,7625;16,2;68,291667;2,025;
