Nome: PARANOA (COOPA-DF)
Codigo Estacao: A047
Latitude: -16.012222
Longitude: -47.557417
Altitude: 1043
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;1,8;898,834783;28,2;22,191304;17,4;80,782609;2,647826;
2023-01-02;0;897,55;28,9;23,529167;19,3;71,791667;2,366667;
2023-01-03;0;897,395652;25,7;20,169565;18,2;90,26087;1,491304;
2023-01-04;48,8;897,617391;27;21,221739;18;85,869565;1,791304;
2023-01-05;0;897,304348;25,5;21,752174;19,1;83,347826;1,226087;
2023-01-06;10,6;898,145455;23,7;20,672727;19;89,318182;1,768182;
2023-01-07;null;899,247619;29,1;null;18,3;85,809524;1,6;
2023-01-08;,2;899,291304;27,5;20,9;17,9;86,391304;1,491304;
2023-01-09;null;899,226316;25,8;null;18,5;90,789474;2,073684;
2023-01-10;6,2;899,513043;28,8;22,1;16,4;81,130435;1,634783;
2023-01-11;3,4;899,8;27,4;20,777273;17,6;87,181818;1,5;
2023-01-12;5,2;898,266667;27,9;null;17,7;86,190476;1,638095;
2023-01-13;11,8;897,843478;27;20,76087;18,1;87,869565;1,426087;
2023-01-14;4,6;898,727273;28,5;21,709091;17,3;82,090909;1,845455;
2023-01-15;null;899,363636;28,4;21,940909;18,2;83,954545;1,859091;
2023-01-16;,2;898,265217;29,2;22,578261;17,5;78,695652;1,943478;
2023-01-17;null;898,472727;27,8;22,127273;17,2;73,590909;2,568182;
2023-01-18;0;899,4;29,1;22,669565;17,9;74;1,752174;
2023-01-19;null;899,666667;29;null;17,4;80,285714;1,538095;
2023-01-20;3;898,768182;26,6;20,172727;16,9;88,636364;1,290909;
2023-01-21;4,8;897,572727;26,2;20,540909;17,9;88,454545;1,495455;
2023-01-22;3,6;897,009091;26;20,390909;17,8;89,772727;1,331818;
2023-01-23;null;897,380952;27,6;null;17,9;87,761905;1,385714;
2023-01-24;15,4;896,859091;29,2;21,909091;17,8;83,272727;1,622727;
2023-01-25;null;895,959091;29,2;21,886364;18,6;85,227273;1,481818;
2023-01-26;16,8;896,090909;23,3;20,140909;18,8;94,772727;1,75;
2023-01-27;null;897,414286;26,2;null;18,3;89,52381;2,395238;
2023-01-28;7,8;899,231818;27,4;21,581818;18;83,818182;1,722727;
2023-01-29;0;898,745455;28,6;21,586364;17,1;80,045455;1,881818;
