Nome: COLINAS DO TOCANTINS
Codigo Estacao: A049
Latitude: -8.092708
Longitude: -48.478605
Altitude: 200
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;2,2;985,704167;33,7;26,7625;23;83,25;1,395833;
2023-01-02;0;985,059091;33,2;27,309091;22,6;80,5;1,7;
2023-01-03;0;985,630435;31,9;26,443478;22,9;86,478261;1,721739;
2023-01-04;1,6;986,441667;29,7;25,604167;23,6;94,041667;1,141667;
2023-01-05;1,2;986,813636;30,9;24,745455;22,2;93,272727;1,554545;
2023-01-06;3;987,416667;31,3;24,716667;22;91,083333;1,208333;
2023-01-07;null;988,304762;30,6;null;20,6;87,333333;1,452381;
2023-01-08;,4;987,528571;31,9;null;21,9;90,428571;1,528571;
2023-01-09;4,2;987,654545;31,7;24,55;22,5;92,090909;1,445455;
2023-01-10;null;987,240909;32,9;25,813636;21,5;85,227273;1,454545;
2023-01-11;36,6;988,063636;31,5;25,931818;21,6;87,181818;1,254545;
2023-01-12;null;985,957143;33,1;null;22,9;85,333333;1,109524;
2023-01-13;2,8;985,1875;30,3;25,745833;23,7;94;1,35;
2023-01-14;4,8;986,557143;31,4;null;22,2;91,666667;1,77619;
2023-01-15;28;987,056522;30,7;24,452174;20,2;88,26087;1,282609;
2023-01-16;4,8;985,982609;31,2;25,395652;21,7;85,130435;1,326087;
2023-01-17;0;985,834783;32,1;25,652174;22;82,173913;1,230435;
2023-01-18;0;987,122727;31;24,454545;21,7;89,909091;1,281818;
2023-01-19;11;989,0375;28;23,45;20,2;89,041667;1,625;
2023-01-20;0;987,5625;32,5;25,591667;20,5;82,666667;1,0375;
2023-01-21;0;986,03913;32,4;26,617391;22,3;83,913043;1,36087;
2023-01-22;0;986,052174;31,9;26,156522;22,8;87,521739;1,778261;
2023-01-23;,2;986,656522;33,1;25,83913;21,8;85,478261;1,313043;
2023-01-24;22,8;985,708333;32,7;26,325;22,6;86,625;1,495833;
2023-01-25;3,4;984,545455;31,5;25,740909;22,5;88,772727;1,295455;
2023-01-26;1;984,46087;31,6;25,213043;22,6;92;1,83913;
2023-01-27;8,8;985,513636;32,1;25,645455;21;85,181818;1,563636;
2023-01-28;37,6;986,7625;31,5;25,104167;20,2;90;1,775;
2023-01-29;5,8;986,054167;31,8;25,029167;21,5;87,833333;1,2625;
2023-01-30;0;984,536364;34;27,018182;20,7;76,363636;1,413636;
2023-01-31;0;984,536364;34;26,890909;22,6;81,409091;1,359091;
2023-02-01;17,2;986,313043;30,3;25,004348;21,1;89,695652;1,669565;
2023-02-02;2,6;987,370833;31,8;25,879167;21,5;89,041667;1,216667;
2023-02-03;0;987,459091;32,2;25,986364;22,7;88,181818;1,186364;
2023-02-04;,8;987,852174;33,4;26,917391;21,9;82,826087;1,156522;
2023-02-05;2,6;987,568182;33,5;25,786364;23,3;88,636364;1,681818;
2023-02-06;25,6;986,421739;32,3;25,382609;20,8;88,217391;1,326087;
2023-02-07;21;986,143478;29,9;24,391304;21,4;93,869565;1,473913;
2023-02-08;8;985,578261;33,8;26,252174;21,9;84,304348;1,247826;
2023-02-09;9,4;985,717391;33,7;27,317391;22,3;81,26087;1,047826;
2023-02-10;0;984,777273;35;28,140909;21,8;74,318182;1,086364;
