Nome: PIUM
Codigo Estacao: A051
Latitude: -10.47694443
Longitude: -49.62944443
Altitude: 161
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;1,4;989,658333;33,5;25,858333;20,7;86,208333;1,208333;
2023-01-02;,6;988,870833;33,8;26,2375;21,8;87,041667;1,220833;
2023-01-03;16,2;989,804167;28,4;23,875;21,6;96,291667;1,070833;
2023-01-04;25;990,620833;30,3;24,404167;22,1;94,208333;1,225;
2023-01-05;,2;990,329167;32;25,870833;22,3;88,25;1,479167;
2023-01-06;1,4;991,475;30,7;24,791667;22,3;92,291667;1,354167;
2023-01-07;1;992,408333;32,3;24,941667;20,9;89,75;1,175;
2023-01-08;,2;991,745833;31,2;25,895833;21,6;87,666667;1,029167;
2023-01-09;,6;991,4125;32;25,554167;21,9;86,208333;1,366667;
2023-01-10;2;991,408333;34,1;26,508333;21,4;84,791667;1,083333;
2023-01-11;,4;992,195833;33;26,0125;21,5;86,083333;1,2375;
2023-01-12;0;989,858333;34,1;26,05;22,8;90,291667;1,029167;
2023-01-13;18,4;989,520833;31,5;24,304167;22,1;96,166667;,975;
2023-01-14;11;990,670833;32,1;25,404167;21,3;88,208333;1,4;
2023-01-15;0;990,908333;33,5;26,179167;20,7;87,166667;1,408333;
2023-01-16;,8;989,491667;31,4;25,858333;22,5;91,833333;1,3125;
2023-01-17;0;990,079167;26,9;23,766667;21,4;95,75;1,05;
2023-01-18;2,6;991,4;32,2;23,408333;19,9;91,375;1,3875;
2023-01-19;17,8;992,845833;29,8;23,145833;19,9;93,541667;1,25;
2023-01-20;,8;991,304167;32,9;25,579167;20,4;84,833333;,9625;
2023-01-21;0;989,679167;33,1;25,0625;20,8;90,666667;1,0875;
2023-01-22;63,6;990,675;24,7;22,954167;20,7;99,875;1,091667;
2023-01-23;20,8;990,820833;32,8;24,870833;20,7;89,875;,783333;
2023-01-24;0;990,1;29,5;24,766667;21,6;92,041667;1,258333;
2023-01-25;0;988,295833;33,9;26,033333;19,8;85,125;1,108333;
2023-01-26;0;988,2375;30,5;25,275;23;93;1,445833;
2023-01-27;6;989,545833;31,8;24,3375;21,5;92,875;1,033333;
2023-01-28;,2;991,008333;32,1;24,804167;21,5;90,166667;1,366667;
2023-01-29;19;990,470833;32,4;24,104167;20,8;92,458333;1,233333;
2023-01-30;6,6;988,908333;32,5;24,733333;20,6;90;,995833;
2023-01-31;0;988,695833;34,1;24,933333;20,9;91,583333;,991667;
2023-02-01;5,2;989,8125;30,8;24,758333;20,9;92,875;1,058333;
2023-02-02;4,8;990,775;33,5;26,433333;21,7;88,375;1,333333;
2023-02-03;,6;991,458333;32,7;25,975;22;89,041667;1,154167;
2023-02-04;,2;992,1875;33,4;25,445833;21;88,375;1,208333;
2023-02-05;,4;991,475;34,5;26,066667;22,5;87,291667;1,291667;
2023-02-06;0;990,3375;33,6;26,145833;20;84,166667;1,05;
2023-02-07;0;989,883333;34,3;25,395833;21,8;89,75;1,0875;
2023-02-08;14,8;989,5875;32,9;25,725;20,8;88,625;,933333;
2023-02-09;10,6;989,925;33;26,141667;21,4;89;1,545833;
2023-02-10;0;988,816667;35,9;27,3375;21,8;83,125;,8875;
2023-02-11;,2;987,991667;36,3;27,729167;21,7;83,625;1,0125;
2023-02-12;0;988,695833;34;26,75;21,2;84,541667;1,541667;
2023-02-13;0;988,195833;35,8;28,1125;22,9;85,333333;1,120833;
2023-02-14;0;987,566667;35,7;26,591667;22,7;90,125;1,120833;
2023-02-15;70,2;988,4875;31,2;24,7875;21,5;93,083333;1,279167;
2023-02-16;,8;987,320833;33,2;25,816667;21;88,291667;1,004167;
2023-02-17;0;987,5875;32,5;26,0625;21,1;88,791667;1,379167;
2023-02-18;1,2;988,841667;31,9;25,825;22,8;92,333333;,9875;
2023-02-19;10;989,5375;27,5;24,029167;21,4;95,291667;1,283333;
2023-02-20;,2;989,445833;32,1;25,9625;22,3;87,541667;1,170833;
2023-02-21;10;990,595833;32,5;25,333333;22,2;89,208333;1,2875;
2023-02-22;1,4;992,533333;27,1;24,3125;21,5;95,458333;1,333333;
2023-02-23;2;992,645833;33,1;25,5;21,4;91,041667;1,145833;
2023-02-24;23,8;990,658333;34,7;26,483333;21,1;86,666667;,983333;
2023-02-25;48,6;990,1875;32,4;25,9625;21,5;87,125;1,2625;
2023-02-26;0;991,416667;34;25,766667;20,1;86,291667;1,245833;
2023-02-27;4,4;991,8375;33,2;24,783333;20,7;92,416667;,95;
2023-02-28;0;992,370833;30,7;24,3625;22,7;94;1,325;
2023-03-01;2,4;991,479167;34;25,408333;21,1;90,708333;1,091667;
2023-03-02;1,4;989,775;33,2;25,4125;22,3;92,041667;,958333;
2023-03-03;9;990,104167;29;24,120833;21,8;95,791667;1,508333;
2023-03-04;1;990,025;31,9;24,933333;21,5;91,708333;1,254167;
2023-03-05;0;989,5125;34,3;26,479167;20,8;85,416667;1,191667;
2023-03-06;8,8;988,216667;34,1;26,9875;22,4;88;1,145833;
2023-03-07;12,8;988,983333;33,5;25,733333;22,8;91,333333;1,5125;
2023-03-08;8,4;990,2375;31;25,025;22,6;93,75;1,316667;
2023-03-09;30,8;990,395833;31,3;25,8625;22,2;90,833333;1,391667;
2023-03-10;,2;989,625;34,3;27,091667;22,8;85,416667;1,266667;
2023-03-11;0;989,475;32,6;26,991667;23;87,791667;1,383333;
2023-03-12;0;989,916667;31,6;25,654167;22;90,5;1,195833;
2023-03-13;0;990,775;32,1;25,483333;22;89,166667;1,4125;
2023-03-14;,8;991,354167;30,7;25,3625;22,4;89,083333;1,058333;
2023-03-15;0;990,6875;29,8;24,2;22,7;94,125;1,5375;
2023-03-16;10,6;989,704167;31,2;24,825;21,4;89,875;,829167;
2023-03-17;0;989,579167;27,8;24,079167;22;96,75;1,070833;
2023-03-18;35,4;990,983333;26,6;23,1625;21,9;98,375;1,5125;
2023-03-19;67,2;992,458333;25,2;22,458333;21;97,666667;1,1625;
2023-03-20;4;991,220833;30,8;24,208333;20;91,708333;,891667;
2023-03-21;7,8;992,058333;30,4;24,254167;21,8;93,166667;1,283333;
2023-03-22;11;991,625;32,3;25,416667;21,7;89,208333;1,025;
2023-03-23;18,2;991,495833;29,4;24,970833;21,6;92,833333;1,220833;
2023-03-24;0;990,704167;33;25,3125;21,7;93,208333;1,458333;
