Nome: SANTA ROSA DO TOCANTINS
Codigo Estacao: A052
Latitude: -11.42888888
Longitude: -48.18499999
Altitude: 306
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;8,8;976,95;33,3;25,786364;21,1;80,818182;1,721053;
2023-01-02;10,2;976,058333;33,2;26,354167;20,2;75,5;1,3;
2023-01-03;0;976,830435;29;23,991304;21,7;87,434783;1,665217;
2023-01-04;9,4;977,768182;31,5;24,009091;21,2;87,5;1,568182;
2023-01-05;50,2;977,914286;29,5;null;21,2;90,428571;1,547619;
2023-01-06;null;978,425;29;null;21,2;85,55;1,375;
2023-01-07;null;979,413636;30,8;24,881818;21,4;82,863636;1,233333;
2023-01-08;null;978,875;31,7;null;22;87,7;1,7;
2023-01-09;null;978,854545;32,3;24,686364;21,1;83,727273;1,954545;
2023-01-10;null;978,473684;33,4;null;21,4;81,421053;1,563158;
2023-01-11;0;979,083333;32,3;25,458333;21,4;80;1,679167;
2023-01-12;2,6;977,047619;33,9;null;20,6;75,952381;1,495238;
2023-01-13;null;976,938095;30,7;null;21,1;87,952381;1,942857;
2023-01-14;null;null;29,7;null;20,2;89,25;null;
2023-01-15;null;977,745455;33,9;25,3;20,8;82,045455;1,759091;
2023-01-16;38,2;976,690476;32,4;null;21,5;83,47619;1,661905;
2023-01-17;null;977,6;26,2;22,754545;19,6;89,272727;1,786364;
2023-01-18;,4;978,35;31,1;22,825;19,7;89,166667;1,783333;
2023-01-19;,6;979,931818;27,1;22,854545;20,2;88;2;
2023-01-20;0;978,552174;32,4;25,108696;21,2;79,26087;1,517391;
2023-01-21;0;977,104762;32,4;null;21,1;84,238095;1,785714;
2023-01-22;null;978,086364;25,1;22,713636;22;91,545455;2,472727;
2023-01-23;null;977,868182;32,5;25,018182;20,3;79,5;1,431818;
2023-01-24;0;977,03913;31,2;24,03913;20,8;86,869565;1,695652;
2023-01-25;null;975,536842;33;null;19,6;78,105263;1,478947;
2023-01-26;null;null;null;null;null;null;null;
2023-01-27;null;null;null;null;null;null;null;
2023-01-28;null;null;null;null;null;null;null;
2023-01-29;null;977,28;31,1;null;null;80,8;2,245;
2023-01-30;9,2;976,078261;33,5;25,104348;20,7;77,782609;1,726087;
2023-01-31;0;975,709091;34,5;27,145455;20,5;71,045455;1,268182;
2023-02-01;null;976,713636;32,7;25,945455;22,2;78,818182;1,809091;
2023-02-02;6,4;977,97;34,1;null;21,6;79,7;1,43;
