Nome: RIO BRANCO
Codigo Estacao: A104
Latitude: -9.67972221
Longitude: -68.16527777
Altitude: 163
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;,4;992,4625;30,7;25,533333;22,9;81;,883333;
2023-01-02;0;991,679167;31,8;26,041667;22,5;77,833333;,7125;
2023-01-03;0;990,9875;31,4;26,425;23;77,75;1,225;
2023-01-04;2,2;991,0875;31,5;25,929167;22,6;81,125;,866667;
2023-01-05;37,4;994,025;24,7;22,1375;20,9;93,166667;,479167;
2023-01-06;47;994,575;28,9;23,625;20,7;84,583333;,445833;
2023-01-07;0;994,470833;31;25,770833;21,9;80,166667;,441667;
2023-01-08;0;992,9625;33,9;26,629167;21,6;77,75;,320833;
2023-01-09;0;992,8;31,8;26,35;23,2;78,583333;1,004167;
2023-01-10;0;992,545833;32,1;26,683333;23,2;79,458333;,8625;
2023-01-11;4,2;992,920833;31,9;26,1125;23,5;82,541667;,7375;
2023-01-12;0;992,520833;31,5;25,5875;22,3;82,5;,708333;
2023-01-13;0;991,891667;30,3;25,9;22,6;77,666667;1,454167;
2023-01-14;0;991,133333;33,7;27,3125;21,7;71,5;,966667;
2023-01-15;0;993,05;31,9;26,083333;22,7;80,583333;,929167;
2023-01-16;3,2;993,620833;28,9;23,883333;22,3;89,333333;,379167;
2023-01-17;3,8;992,391667;30,7;24,575;21,9;85,208333;,279167;
2023-01-18;,6;992,5;30,1;24,820833;22,7;87,458333;,366667;
2023-01-19;16,4;993,929167;29,7;24,383333;22,7;86,791667;,35;
2023-01-20;,2;994,466667;30,4;24,525;22,2;83,875;,833333;
2023-01-21;13,6;992,5375;30,1;24,845833;21,8;80,375;1,05;
2023-01-22;,2;991,525;31,9;25,916667;22,6;79,333333;,7625;
2023-01-23;0;992,65;31,8;25,920833;23;81,583333;,866667;
2023-01-24;2,8;992,783333;31;25,516667;23;82,375;,845833;
2023-01-25;,2;990,983333;31,8;25,6875;22,4;83,208333;,875;
2023-01-26;1,4;990,9;32,1;26,041667;22,9;79,25;,816667;
2023-01-27;1;990,320833;31,8;26,166667;22,2;79,166667;,8;
2023-01-28;0;991,054167;30,9;26,141667;23,5;81,791667;,754167;
2023-01-29;12,4;991,983333;29,8;24,825;22,2;86,291667;,7125;
2023-01-30;27,6;992,091667;29,9;24,225;22,4;86,958333;,35;
2023-01-31;,2;991,491667;29,1;24,3625;22,3;86,541667;,708333;
2023-02-01;5,6;991,979167;31;25,233333;22,6;84,416667;,216667;
2023-02-02;1,8;993,0875;29,6;25,116667;23,1;85,833333;,429167;
2023-02-03;12,6;993,683333;31;25,65;22,9;83,041667;,4625;
2023-02-04;1,6;994,983333;28,9;24,616667;22,6;86,583333;,395833;
2023-02-05;3,2;994,616667;29,7;25,095833;23;87,666667;,233333;
2023-02-06;27,6;993,583333;29,7;24,733333;22,1;85,083333;,454167;
2023-02-07;0;992,704167;32,6;25,595833;22,1;83,125;,2375;
2023-02-08;5,8;992,470833;30,5;24,858333;23,1;89,541667;,529167;
2023-02-09;50,4;992,391667;30,4;25,254167;23,1;86,583333;,545833;
2023-02-10;7,6;992,258333;31,6;25,504167;23,1;85,208333;,545833;
2023-02-11;6,8;991,125;32,8;26,620833;23,4;81,541667;,65;
2023-02-12;39,8;991,354167;32;25,7625;22,3;82,5;,754167;
2023-02-13;1,6;990,620833;32,8;25,895833;23,1;85,125;,654167;
2023-02-14;7;991,375;32,5;25,3375;23,1;85,583333;,558333;
2023-02-15;,4;991,7125;31,8;25,254167;23,6;88,25;,383333;
2023-02-16;9,4;990,875;25,7;23,816667;22,3;92,708333;,5;
2023-02-17;50,4;989,470833;29,1;25,320833;22,5;86,916667;,675;
2023-02-18;,2;991,541667;32;25,3625;23,2;83,875;,779167;
2023-02-19;35,8;994,141667;24,7;21,225;18;87,458333;,629167;
2023-02-20;0;993,095833;29,5;23,691667;18,4;80,5;,2;
2023-02-21;0;992,075;31;25,5625;21,6;80,958333;,275;
2023-02-22;0;993,020833;30,6;25,108333;23,1;87,791667;,345833;
2023-02-23;1,2;994,3625;29,4;25,358333;23;85;,691667;
2023-02-24;,2;993,604167;31,6;26,416667;22,7;80,541667;,5125;
2023-02-25;0;992,204167;33,6;27,254167;22,8;78,875;,629167;
2023-02-26;0;991,95;31,4;26,541667;24;81,166667;,845833;
2023-02-27;8,4;993,791667;31;26,495833;23,5;80,208333;,608333;
2023-02-28;,6;995,4125;28,9;24,920833;23,8;89,625;,3625;
2023-03-01;9,2;994,1125;31,8;25,604167;22,3;85,666667;,225;
2023-03-02;,2;991,445833;32,9;27;22,9;80,333333;,920833;
2023-03-03;4,8;990,9375;32,6;26,720833;23,1;81,333333;,55;
2023-03-04;1,6;991,6625;30,6;25,375;24,1;87,958333;,445833;
2023-03-05;8;993,166667;30,8;25,029167;23,4;88,208333;,295833;
2023-03-06;8,8;992,091667;33,1;26,204167;22,4;81,958333;,345833;
2023-03-07;,2;991,441667;30,7;25,9625;22,6;82,625;,733333;
2023-03-08;0;991,254167;32,2;26,7375;23,5;81,166667;,783333;
2023-03-09;0;991,504167;29,9;25,283333;23,6;87,791667;,779167;
2023-03-10;26,8;992,495833;30;25,5375;23,3;87,333333;,270833;
2023-03-11;68,8;993,0625;29,3;24,725;22,8;89,083333;,366667;
2023-03-12;7,6;992,716667;32,5;25,854167;23,5;85,125;,475;
2023-03-13;,2;994,525;25,7;23,425;23,1;91,541667;,554167;
2023-03-14;30,8;993,604167;30,5;24,908333;21,9;84,166667;,5875;
2023-03-15;0;992,533333;31,3;25,579167;22,9;83,958333;,525;
