Nome: AUTAZES
Codigo Estacao: A120
Latitude: -3.58333333
Longitude: -59.12944443
Altitude: 19.9
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;39,2;1008,179167;31,3;25,275;22,6;87,583333;null;
2023-01-02;1,6;1008,025;32,2;26,004167;23,1;82,666667;null;
2023-01-03;9,6;1008,491667;28,5;24,995833;23,2;89,791667;null;
2023-01-04;5;1008,120833;31,8;26,658333;22,8;79,875;null;
2023-01-05;0;1008,283333;29,5;26,55;24,5;82,958333;null;
2023-01-06;28,8;1009,5875;27,2;24,779167;21,6;87,208333;null;
2023-01-07;0;1009,454167;33,4;26,820833;23,2;80,583333;null;
2023-01-08;30;1009,516667;31;25,545833;22,8;86,708333;null;
2023-01-09;10;1008,8125;29,9;25,5375;23,7;86,041667;null;
2023-01-10;2,8;1009,829167;29,3;24,841667;22,3;85,875;null;
2023-01-11;,2;1009,025;32,8;27,0625;23,3;78,791667;null;
2023-01-12;0;1007,595833;33,4;27,545833;23,1;75,416667;null;
2023-01-13;22,6;1007,558333;28,4;25,533333;22,4;86,125;null;
2023-01-14;10,2;1009,145833;26,4;24,241667;21,9;89,041667;null;
2023-01-15;,2;1009,304167;31,7;25,7125;23,1;85,208333;null;
2023-01-16;4,4;1007,8875;31,5;26,154167;23,6;84,166667;null;
2023-01-17;24,8;1008,308333;28,4;24,775;21,3;84,958333;null;
2023-01-18;,2;1009,633333;31,7;25,108333;22;82,75;null;
2023-01-19;0;1009,716667;31;25,333333;23;84,75;null;
2023-01-20;9,4;1009,583333;27,1;24,3625;21,7;89,041667;null;
2023-01-21;9,8;1008,770833;31;24,8875;21,6;86,541667;null;
2023-01-22;,2;1008,1;30,3;24,279167;22,2;89,041667;null;
2023-01-23;17,2;1008,791667;31,3;25,95;21,9;81,708333;null;
2023-01-24;,8;1008,141667;32,1;26,245833;23,7;82,958333;null;
2023-01-25;4,4;1007,754167;29,9;25,2125;23,3;86,583333;null;
2023-01-26;11,6;1007,2625;29,1;24,925;22,8;88,916667;null;
2023-01-27;24;1007,275;30,6;25,9;23,5;84,25;null;
2023-01-28;3,4;1007,9625;28,6;24,858333;23,7;90,041667;null;
2023-01-29;2,2;1008,0375;31,8;25,866667;23,1;83,291667;null;
2023-01-30;2,8;1007,525;25,4;23,829167;23;92,291667;null;
2023-01-31;31,8;1008,154167;31,4;24,616667;22,5;88,041667;null;
2023-02-01;26,6;1008,070833;31,8;26,291667;22,9;81,5;null;
2023-02-02;1,8;1008,670833;32;27,141667;23,8;75,916667;null;
2023-02-03;,8;1008,429167;32,8;27,375;23,4;78,541667;null;
2023-02-04;17,8;1010,004167;30,7;25,983333;23,2;83,916667;null;
2023-02-05;31,8;1009,779167;29,3;25,7875;23,3;84,375;null;
2023-02-06;2,2;1007,8875;32,5;26,8625;23,5;82,375;null;
2023-02-07;0;1007,866667;30;25,233333;23,8;90,583333;null;
2023-02-08;12,2;1007,733333;31,7;25,541667;22,5;87,041667;null;
2023-02-09;2,2;1007,75;30,4;25,195833;23,6;87,708333;null;
2023-02-10;2,8;1007,620833;31;25,720833;23,2;85,666667;null;
2023-02-11;12,4;1007,395833;27,3;24,991667;23,1;89,958333;null;
2023-02-12;12,8;1006,291667;32;26,4875;22,5;83,166667;null;
2023-02-13;1,8;1006,029167;30,8;26,379167;24,3;87,5;null;
2023-02-14;36,4;1006,779167;29,3;25,654167;23,9;89,541667;null;
2023-02-15;14,6;1006,804167;31,3;26,495833;23,1;85,416667;null;
2023-02-16;3;1005,9875;28,5;25,633333;24,2;88,541667;null;
2023-02-17;11,4;1006,741667;26,2;24,408333;23,4;91,416667;null;
2023-02-18;31,6;1007,233333;30,7;25,391667;23,2;87,625;null;
2023-02-19;30,2;1007,3625;31,1;25,583333;23,5;86,166667;null;
2023-02-20;7,6;1007,879167;29,4;24,929167;23,6;89,708333;null;
2023-02-21;28,2;1009,1625;28,2;24,416667;22,4;87,291667;null;
2023-02-22;2,2;1010,125;32,4;26,516667;22,6;77,916667;null;
2023-02-23;0;1009,875;33,3;26,879167;24,3;81,916667;null;
2023-02-24;34,2;1008,954167;31,6;26,6375;23,7;84,25;null;
2023-02-25;6,2;1009,216667;32;25,154167;22;86,458333;null;
2023-02-26;3;1008,7375;33;27,045833;23,4;78,875;null;
2023-02-27;1,2;1009,1625;32;25,495833;24,3;87,541667;null;
2023-02-28;28,6;1010,0125;31,2;25,658333;22,4;84,291667;null;
2023-03-01;1,2;1008,775;33,5;27,933333;23,6;77,583333;null;
2023-03-02;0;1007,329167;31,3;27,729167;24,1;79,875;null;
2023-03-03;,2;1006,5875;33,4;27,866667;24,2;77,125;null;
2023-03-04;0;1006,879167;32,3;27,033333;24,7;80,875;null;
2023-03-05;1,2;1007,108333;34;28,216667;24,2;74,625;null;
2023-03-06;4,4;1007,225;28,6;26,333333;24,9;88,083333;null;
2023-03-07;22,8;1007,829167;27,3;24,758333;24,3;92,833333;null;
2023-03-08;30,2;1008,216667;26,5;24,433333;23,1;93,291667;null;
2023-03-09;9;1007,733333;33;26,441667;23,1;83,75;null;
2023-03-10;1;1007,633333;31;26,675;24,6;83,083333;null;
2023-03-11;3,4;1007,1875;28,9;25,441667;23,4;91,791667;null;
2023-03-12;12,6;1008,816667;26,9;24,745833;23,9;92,833333;null;
2023-03-13;19,8;1009,425;32,6;26,041667;22,7;84,125;null;
2023-03-14;1,2;1009,691667;30,3;26,133333;23,7;84,333333;null;
2023-03-15;0;1008,783333;30,6;25,995833;23,7;86,875;null;
2023-03-16;7,4;1008,408333;28,6;25,429167;24,2;90,666667;null;
2023-03-17;3,4;1008,229167;31,3;25,4375;24,2;90,041667;null;
2023-03-18;13,8;1008,591667;28,8;24,958333;23,7;87,583333;null;
2023-03-19;13,6;1008,1875;32,7;26,779167;22,5;78,75;null;
2023-03-20;0;1008,579167;29,3;25,054167;23,4;86,625;null;
2023-03-21;5,2;1008,033333;32,3;26,504167;21,9;81,5;null;
2023-03-22;0;1008,233333;32;26,608333;24;82;null;
2023-03-23;0;1008,129167;32,9;26,4;22,1;79,458333;null;
2023-03-24;0;1007,979167;33,6;27,729167;24,2;78,875;null;
2023-03-25;2,2;1008,625;26,7;24,770833;24,3;90,958333;null;
2023-03-26;10,4;1009,233333;32,5;26,1875;22,5;80,75;null;
2023-03-27;,2;1008,525;33,8;27,545833;24,1;77,208333;null;
2023-03-28;8,6;1008,1625;33,2;27,2125;23,4;79,75;null;
2023-03-29;1,8;1007,716667;33,3;27,7375;23,9;76,833333;null;
2023-03-30;0;1008,825;28,7;25,845833;23,4;85,916667;null;
2023-03-31;19,4;1008,8625;33;27,5625;24;77,5;null;
2023-04-01;5,2;1008,420833;32,5;27;23,6;80,375;null;
2023-04-02;35,8;1009,020833;27,5;24,920833;22,9;89,75;null;
2023-04-03;6,6;1007,920833;31,7;25,745833;23,1;86,166667;null;
2023-04-04;4,6;1006,641667;32,9;27,279167;24,3;80,291667;null;
2023-04-05;,4;1006,479167;29,9;25,979167;24,3;86,458333;null;
2023-04-06;29,2;1007,045833;30,1;25,85;23,3;84,041667;null;
2023-04-07;1,2;1007,066667;32,9;26,820833;23,7;80,958333;null;
2023-04-08;1,6;1008,408333;31,2;26,454167;23,5;83,208333;null;
2023-04-09;,4;1008,925;30,7;26,145833;23,6;86,666667;null;
2023-04-10;10,2;1009,820833;28,8;25,695833;24;88,583333;null;
2023-04-11;2,2;1008,2125;32,6;26,079167;23,1;84,541667;null;
2023-04-12;1,4;1006,575;33,5;27,529167;23,2;80,5;null;
2023-04-13;0;1005,890909;34,2;29,086364;25,2;73,909091;null;
2023-04-14;null;null;null;null;null;null;null;
2023-04-15;null;null;null;null;null;null;null;
2023-04-16;null;null;30,2;null;null;null;null;
2023-04-17;null;null;27,3;null;null;null;null;
2023-04-18;null;null;null;null;null;null;null;
2023-04-19;null;null;32,4;null;null;null;null;
2023-04-20;null;null;27,7;null;null;null;null;
2023-04-21;null;null;31,1;null;null;null;null;
2023-04-22;null;null;29,9;null;null;null;null;
2023-04-23;null;null;31,8;null;null;76,153846;null;
2023-04-24;5,2;1007,2875;32,2;26,895833;23,7;82,625;null;
2023-04-25;1;1008,9625;32;27,429167;25,1;82,708333;null;
2023-04-26;0;1008,920833;32,8;27,929167;25;81,666667;null;
