Nome: PARINTINS
Codigo Estacao: A123
Latitude: -2.63916666
Longitude: -56.75611111
Altitude: 18.72
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;56,6;1008,345833;29,2;24,879167;22,9;91,875;1,666667;
2023-01-02;40,8;1007,8125;32,5;26,475;22,5;84,708333;1,583333;
2023-01-03;15;1008,054167;30;25,666667;23,3;88;1,270833;
2023-01-04;18,8;1008,225;31,4;26,066667;22,5;87,625;1,283333;
2023-01-05;4,4;1008,258333;32;27,075;23,3;83,291667;1,85;
2023-01-06;0;1008,826087;32;26,269565;22,6;84,869565;1,386957;
2023-01-07;0;1009,090909;30,7;26,290909;23,8;88,681818;1,522727;
2023-01-08;0;1009,143478;33,4;27,147826;24,1;84,869565;1,204348;
2023-01-09;,8;1008,556522;30,9;25,804348;24,5;91,043478;1,165217;
2023-01-10;11,6;1009,386957;31,3;25,534783;22,2;90,565217;1,265217;
2023-01-11;9,8;1009,356522;31,9;26,273913;23,9;88;1,869565;
2023-01-12;null;1007,604545;32,7;27,7;23,5;80,454545;2,109091;
2023-01-13;10,8;1006,947826;31,9;26,373913;21,5;84,304348;1,691304;
2023-01-14;14,8;1008,847826;28;25,008696;22,6;91,695652;1,343478;
2023-01-15;,8;1009,2375;30,7;26,35;24,1;86,041667;1,404167;
2023-01-16;4,4;1007,758333;30,6;26,270833;23,8;87,416667;1,183333;
2023-01-17;,6;1007,9;25,7;23,891667;23,4;96,375;1,291667;
2023-01-18;36,6;1009,979167;27,9;24,329167;22,6;91,625;1,375;
2023-01-19;3,2;1009,747826;32,3;25,930435;22,7;83,043478;1,834783;
2023-01-20;1,4;1008,9625;32,2;26,466667;23,7;85,458333;1,4125;
2023-01-21;15,2;1008,643478;28,5;24,778261;21,4;92,173913;1,017391;
2023-01-22;21,4;1007,83913;31,5;25,334783;21,4;89,521739;1,26087;
2023-01-23;3,6;1008,6;31,2;26,652174;23,3;82;2,421739;
2023-01-24;1,2;1008,045833;30,4;25,766667;23,5;89,458333;1,308333;
2023-01-25;31;1007,795652;28,7;25,086957;21,5;89,826087;,969565;
2023-01-26;7,6;1007,366667;27,5;24,633333;22,6;93,125;1,3625;
2023-01-27;7,4;1007,617391;30,8;26,173913;23,1;83,826087;2,165217;
2023-01-28;0;1007,972727;30,8;26,209091;24,2;84,5;2,036364;
2023-01-29;3,6;1007,808696;31,7;26,6;24;83,391304;1,452174;
2023-01-30;,2;1007,425;27,8;24,475;24;93,25;1,4125;
2023-01-31;14,8;1008,004167;30,1;24,883333;22,4;89,958333;1,4625;
2023-02-01;,2;1008,673913;30,8;26,026087;23,3;85,608696;1,247826;
2023-02-02;0;1009,165217;31,8;26,947826;23,6;79,043478;2,091304;
2023-02-03;0;1008,516667;33;27,8375;24,8;76,625;1,775;
2023-02-04;,2;1009,913043;32,6;27,173913;24,5;80,391304;1,878261;
2023-02-05;2,6;1009,83913;32,3;26,452174;23,6;84,782609;2,03913;
2023-02-06;null;1007,942857;32,3;null;24,1;79,190476;2,242857;
2023-02-07;5,2;1007,545833;32,5;26,516667;23,5;86,666667;1,775;
2023-02-08;,6;1007,529167;30,9;26,258333;24,3;89,541667;1,2625;
