Nome: URUCARA
Codigo Estacao: A124
Latitude: -2.53472221
Longitude: -57.75805555
Altitude: 18.49
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;34,4;1008,695833;27,5;23,741667;21,5;94,818182;,404167;
2023-01-02;17,6;1008,0125;31,8;26,195833;21,7;79,3;,8875;
2023-01-03;44,8;1008,604167;28,9;24,070833;21,2;90,235294;1,020833;
2023-01-04;29;1008,7;29,7;25,0125;21,3;81;,379167;
2023-01-05;9;1008,591667;31,8;25,3625;21,9;86,631579;,5375;
2023-01-06;23;1009,266667;31,4;25,4875;21;77,8;,595833;
2023-01-07;0;1009,441667;31,1;26,608333;23,6;77,611111;,641667;
2023-01-08;0;1009,629167;32,1;26,170833;23,3;83,173913;,595833;
2023-01-09;0;1008,9625;27,8;24,6125;22,9;92,583333;,6;
2023-01-10;35,4;1009,816667;27,9;23,958333;20,2;86,384615;,304167;
2023-01-11;4,6;1009,475;31,3;26,0625;22,5;74,583333;,6875;
2023-01-12;,2;1008;32,4;26,833333;22,8;71,9375;1,154167;
2023-01-13;12,8;1007,3375;31,6;25,595833;21,3;83,055556;,595833;
2023-01-14;25,8;1009,270833;28,2;23,7625;20,6;84,583333;,5625;
2023-01-15;,4;1009,5;29,9;24,958333;22,5;80,230769;,533333;
2023-01-16;5,2;1008,15;31;24,85;22,6;84,214286;,404167;
2023-01-17;2,6;1008,479167;24,6;22,5;22,6;null;,520833;
2023-01-18;42,8;1010,2625;28,1;22,720833;21;null;,395833;
2023-01-19;9;1009,9875;30,5;24,716667;20,9;69,461538;1,070833;
2023-01-20;20;1009,633333;28,8;24,4375;22;85,928571;,191667;
2023-01-21;,6;1009,029167;26;23,345833;21,8;null;,204167;
2023-01-22;36,2;1008,308333;28,5;23,683333;20,6;null;,316667;
2023-01-23;17,6;1008,991667;31,2;24,908333;20,5;70,5;,7875;
2023-01-24;,2;1008,358333;31,3;25,295833;22,8;83,222222;,695833;
2023-01-25;10,2;1008,05;29,5;24,604167;22,5;85,4;,3625;
2023-01-26;3,2;1007,441667;29,1;25,2875;21,8;82,444444;,508333;
2023-01-27;,2;1007,7;30,5;25,154167;23,8;86,791667;,875;
2023-01-28;18;1008,220833;29,5;23,920833;21,6;90,470588;,541667;
2023-01-29;4,4;1008,320833;31;24,916667;21,8;83,1;,4875;
2023-01-30;40,2;1007,733333;29,5;24,395833;21,3;85,352941;,729167;
2023-01-31;1;1008,341667;30,1;24,0125;21,6;86,466667;,629167;
2023-02-01;25,6;1008,775;29,3;24,533333;21,8;78,416667;,454167;
2023-02-02;6,2;1009,479167;30,5;24,4625;21,4;78,642857;,995833;
2023-02-03;,4;1008,733333;32,1;26,3875;22,7;79,916667;1,125;
2023-02-04;19,4;1010,158333;31,1;25,5;21,7;81,411765;,979167;
2023-02-05;1,6;1009,983333;29,8;25,8;22,2;82,208333;1,083333;
2023-02-06;,2;1008,191667;31,7;26,683333;22,8;80,666667;1,108333;
2023-02-07;0;1007,866667;31;25,883333;22,7;82,565217;,945833;
2023-02-08;8,8;1008,05;27,5;24,225;23,1;91,705882;,358333;
2023-02-09;24;1007,8375;29,8;24,958333;21,8;81,5;,495833;
2023-02-10;14,8;1007,629167;31;25,229167;21,6;83,333333;,395833;
2023-02-11;34,4;1007,5;28,6;24,920833;21,9;87,529412;,25;
2023-02-12;7,4;1006,470833;31,4;26,308333;22,5;74,066667;,841667;
2023-02-13;4,8;1006,3875;30,5;24,9625;22,9;88,388889;,395833;
2023-02-14;26,2;1007,025;27,9;24,4375;22;null;,375;
2023-02-15;3,8;1006,895833;31,6;26,741667;22,5;71,266667;1,095833;
2023-02-16;10,8;1006,241667;28,6;25,091667;22,3;86,315789;,620833;
2023-02-17;9,2;1006,9125;26,1;23,908333;22,3;92,733333;,454167;
2023-02-18;1;1007,416667;28,8;24,616667;22,6;86,846154;,479167;
2023-02-19;3;1007,958333;27,6;23,1625;21,8;null;,579167;
2023-02-20;24,4;1007,945833;28,8;23,016667;21,7;null;,2125;
2023-02-21;54;1009,608333;27,3;23,2875;21,2;82,461538;,779167;
2023-02-22;,2;1010,625;30,5;25,0375;20,9;74,8125;,866667;
2023-02-23;0;1010,270833;31,7;25,858333;23,2;84,590909;,508333;
2023-02-24;1,2;1009,129167;32,2;26,266667;22,7;78,105263;,716667;
2023-02-25;,8;1009,454167;27,1;24,658333;23,5;90,5625;,433333;
2023-02-26;1;1009,158333;31,2;25,483333;21,7;76,642857;,6;
2023-02-27;0;1009,5375;29,2;24,55;22,2;88,055556;,5875;
2023-02-28;16,2;1009,9625;30,7;25,975;21,3;80,526316;,716667;
2023-03-01;0;1009,1625;32,3;27,091667;22,9;76,791667;1,2875;
2023-03-02;1,4;1007,733333;31,2;26,370833;23,3;83,791667;,875;
2023-03-03;10,4;1007,0625;31,2;25,916667;22,2;83,916667;,970833;
2023-03-04;,6;1007,2;31,5;26,533333;22,2;81,625;1,3625;
2023-03-05;1,6;1007,308333;31,6;27,054167;23,3;78,791667;1,166667;
2023-03-06;21;1007,5;30;24,8125;21,9;87,526316;,754167;
2023-03-07;23,2;1007,779167;29,1;24,608333;21,4;83,166667;,504167;
2023-03-08;7,4;1008,370833;25,1;23,779167;22,4;95,083333;,120833;
2023-03-09;9;1008,0375;31,4;26,104167;22,6;71,692308;,795833;
2023-03-10;6,2;1008,016667;29,6;25,5625;21,6;82,909091;1,033333;
2023-03-11;0;1007,191667;31,8;26,595833;22,5;78,85;1,116667;
2023-03-12;8,2;1008,7125;28,3;24,95;21,9;89,8;,433333;
2023-03-13;,6;1009,354167;30,7;25,9375;23;86,761905;,320833;
2023-03-14;5,4;1009,658333;31,2;26,616667;22,9;73,05;,725;
2023-03-15;0;1009,320833;29;26,133333;23,5;78,75;1,020833;
2023-03-16;0;1008,541667;29,8;24,8625;23,4;89,041667;,345833;
2023-03-17;1,4;1008,470833;30,6;25,35;22,5;81,764706;,9875;
2023-03-18;0;1008,725;30;25,441667;23;86,05;,845833;
2023-03-19;13,4;1008,5625;32,1;26,475;21,8;72,875;,704167;
2023-03-20;0;1008,608333;32;26,4125;22;77,333333;,754167;
2023-03-21;0;1008,695833;31,1;26,4375;23,5;81,291667;1,170833;
2023-03-22;0;1008,35;31,8;27,2125;23,6;79,333333;1,279167;
2023-03-23;34;1008,416667;30,7;25,970833;22,1;82,52381;,983333;
2023-03-24;,2;1008,241667;31,7;26,233333;24,2;84,375;1,004167;
2023-03-25;12,8;1008,929167;26,2;24,029167;21,4;87,470588;,658333;
2023-03-26;1,8;1009,5625;30,4;25,708333;21,8;75,5;,6875;
2023-03-27;0;1008,879167;31,6;25,883333;21,8;80,173913;,916667;
2023-03-28;2,4;1008,391667;31,2;26,15;22,9;77,578947;,7625;
2023-03-29;0;1007,933333;32,1;26,3875;22,5;80,217391;,808333;
2023-03-30;12,6;1009,258333;29,2;24,6875;22,4;86,428571;,6875;
2023-03-31;7;1009,2;31,5;25,35;21,6;80,222222;,991667;
2023-04-01;8,4;1008,9;30,6;25,133333;21,9;78,8;,991667;
2023-04-02;5,2;1009,1625;28,3;23,7625;22,8;93,47619;,408333;
2023-04-03;22,6;1008,395833;29,2;24,1;22,1;83,923077;,708333;
2023-04-04;4,8;1006,925;31,6;25,608333;22,2;81,4;,641667;
2023-04-05;19;1006,691667;30,7;25,133333;20,8;85,636364;,579167;
2023-04-06;67,2;1007,470833;26,1;23,433333;21,3;90,733333;,154167;
2023-04-07;2;1007,533333;30,4;24,3625;21,4;88,95;,6625;
2023-04-08;,8;1008,5625;31,2;25,5;22,7;84,434783;,733333;
2023-04-09;,2;1008,9875;31,3;26,345833;23,3;82,041667;,6625;
2023-04-10;0;1009,979167;30,5;25,3875;23,2;88,590909;,633333;
2023-04-11;9,6;1008,529167;30,9;25,7125;22,1;78,736842;,654167;
2023-04-12;0;1006,933333;31,9;26,8125;23,2;79,25;,945833;
2023-04-13;0;1006,191667;32,8;26,879167;22,4;78,833333;,616667;
2023-04-14;0;1006,2125;30,4;26,241667;23,3;84,333333;,375;
2023-04-15;,6;1007,479167;31,6;26,6375;23,4;81,368421;,583333;
2023-04-16;3,4;1007,866667;30,9;26,233333;21,8;83;,633333;
2023-04-17;0;1006,666667;29;25,095833;23,6;89,809524;,5875;
2023-04-18;14,4;1006,7875;30;24,366667;22,8;null;,1875;
2023-04-19;15,2;1008,383333;30,8;25,675;22,3;75,538462;,575;
2023-04-20;0;1007,929167;31,7;27,225;23,7;78,578947;1,1875;
2023-04-21;0;1006,158333;31,4;26,1125;23;83,227273;,591667;
2023-04-22;0;1006,791667;26,5;23,758333;23,8;null;,3125;
2023-04-23;29,8;1008,208333;27,9;24,704167;21,5;86,666667;,516667;
2023-04-24;0;1007,6375;31,5;26,179167;22,2;76,5;,85;
2023-04-25;0;1008,7875;32,1;26,541667;23;82,375;,8375;
2023-04-26;3;1009,583333;28,6;24,975;22,6;88,619048;,3375;
2023-04-27;0;1009,433333;31,4;26,241667;22,2;79,25;,775;
2023-04-28;0;1009,220833;32;26,979167;23;80,666667;,883333;
2023-04-29;0;1009,129167;31,3;25,920833;23,4;85,315789;,704167;
2023-04-30;0;1009,116667;30,7;25,733333;22,8;85,055556;,520833;
2023-05-01;1,4;1009,1125;31;25,341667;22,7;86,666667;,891667;
2023-05-02;129,2;1009,466667;29,6;24,795833;21,4;85;,725;
2023-05-03;0;1008,683333;30,3;25,483333;22,2;79,214286;,816667;
2023-05-04;26,4;1009,104167;29,4;25,391667;22,5;86,076923;,804167;
2023-05-05;2,2;1009,104167;31;25,9375;22,7;83,5;,766667;
2023-05-06;20,8;1008,8125;31;25,395833;22,1;84,166667;,483333;
2023-05-07;,4;1008,216667;30,3;25,566667;23,1;84,307692;,295833;
2023-05-08;0;1008,916667;31,8;26,854167;23,5;75,928571;,575;
2023-05-09;0;1008,979167;30;26,475;23,9;86,529412;,341667;
2023-05-10;0;1008,754167;29,5;25,283333;24,4;null;,625;
2023-05-11;8,6;1009,4625;30,1;24,870833;22;78,769231;,891667;
2023-05-12;0;1010;29,3;25,091667;22,4;91,1;,558333;
2023-05-13;0;1009,9625;31,3;26,4125;22,2;71;,716667;
2023-05-14;0;1010,045833;32,3;27,225;23,6;81,590909;,7375;
2023-05-15;4;1010,3375;32;27,5125;24,1;80,222222;,633333;
2023-05-16;27,2;1009,779167;31,1;25,85;21,9;82,631579;,875;
2023-05-17;,2;1009,4375;26,6;24,3;23,5;null;,366667;
2023-05-18;37,8;1010,125;31,4;26,0625;21,7;73,615385;,4875;
2023-05-19;7;1009,2;31,6;26,483333;22,8;78,882353;,895833;
2023-05-20;,2;1007,5375;31,3;26,8875;23,5;82,5;1,2;
2023-05-21;0;1006,508333;31,6;27,054167;23,5;82,863636;,975;
2023-05-22;8,8;1006,879167;30,7;26,483333;24,1;86,736842;,670833;
2023-05-23;6,8;1007,945833;31,4;26,491667;24,1;85,35;,616667;
2023-05-24;,4;1006,7625;32,1;26,6;23,1;81,5;,541667;
2023-05-25;0;1006,833333;29,4;25,820833;23,8;87,625;,4125;
2023-05-26;5,4;1008,05;32,2;26,7375;23,3;79,333333;,945833;
2023-05-27;,2;1009,0375;32,7;27,108333;23;78,6;1,008333;
2023-05-28;0;1008,970833;31,8;27,1;24,3;83;,695833;
2023-05-29;0;1008,4375;31;26,15;24,2;87,958333;,645833;
2023-05-30;8,8;1009,416667;32;25,795833;22,9;85,8;,504167;
2023-05-31;2,4;1010,091667;31,4;26,316667;23,6;81,5;,925;
2023-06-01;,2;1010,1875;31,6;26,891667;22,6;78,052632;1,054167;
2023-06-02;0;1008,783333;32,2;27,216667;23,1;79,181818;,633333;
2023-06-03;0;1008,595833;31,7;27,275;24,2;80,958333;,483333;
2023-06-04;0;1010,0125;30,2;26,483333;23,8;83,75;,529167;
2023-06-05;0;1009,9875;32;26,891667;23,4;77,8;1,2125;
2023-06-06;,2;1009,754167;31,8;26,8125;22,8;78,318182;,954167;
2023-06-07;0;1010,054167;31,6;26,320833;23,2;84;,775;
2023-06-08;5;1010,620833;31,1;26,704167;23,1;76,941176;,970833;
2023-06-09;0;1010,175;32,4;27,395833;23,4;79,208333;,9375;
2023-06-10;0;1009,683333;32,6;26,9625;23,6;78,631579;,966667;
2023-06-11;0;1009,625;32,2;27,2125;23,3;79,090909;1,129167;
2023-06-12;0;1009,2875;32,4;27,120833;22,9;79,75;1,008333;
2023-06-13;0;1009,245833;31,3;27,308333;23,6;81,708333;,9625;
2023-06-14;0;1009,258333;31,3;26,558333;23,1;82,708333;1,075;
2023-06-15;16,8;1010,925;26,3;23,4375;22,1;91,409091;1,516667;
2023-06-16;1,2;1012,479167;24,9;22,7875;21,3;90,2;1,2125;
2023-06-17;,2;1012,720833;26,8;23,2;21,3;91,695652;,933333;
2023-06-18;3,2;1011,904167;30,6;24,729167;22,1;82,923077;,745833;
2023-06-19;2,2;1012,075;29,9;25,05;22,6;81,692308;,291667;
2023-06-20;8,6;1010,9875;30,8;26,2125;23,2;70,153846;,575;
2023-06-21;,2;1009,666667;31,1;26,695833;23;78,157895;,8;
2023-06-22;0;1008,75;31,7;26,7125;23,1;80,47619;,858333;
2023-06-23;0;1009,066667;31,4;26,845833;23,1;79,954545;1,108333;
2023-06-24;0;1009,283333;32,5;27,145833;22,7;79,875;,908333;
2023-06-25;0;1009,379167;32,1;27,1375;22,6;79;1,016667;
2023-06-26;0;1009,029167;32,4;27,05;22,9;78,541667;,583333;
2023-06-27;0;1009,141667;32,3;27,483333;23,4;78,541667;,95;
2023-06-28;0;1009,716667;31,7;27,075;22,5;78,208333;,779167;
2023-06-29;0;1010,2125;32,5;27,2375;23,6;76,375;,533333;
2023-06-30;0;1010,1625;33,6;27,366667;23,2;77,434783;,545833;
2023-07-01;38;1009,8;32,2;26,283333;21,2;72;,679167;
2023-07-02;3;1008,95;32,4;25,908333;23,2;80,4;,629167;
2023-07-03;0;1009,366667;31,4;26,129167;23,1;82,35;,858333;
2023-07-04;,4;1009,845833;31,8;26,9375;23,2;80,590909;,658333;
2023-07-05;0;1009,904167;32,7;27,5625;23,4;76,05;,783333;
2023-07-06;0;1009,466667;31,8;27,1125;24;80,625;1,041667;
2023-07-07;0;1008,9;31,6;26,891667;22,9;77,590909;1,270833;
2023-07-08;0;1009,329167;31;26,741667;23,5;79,666667;,779167;
2023-07-09;0;1009,8;32;26,670833;22,6;82,208333;,666667;
