Nome: RIO URUBU
Codigo Estacao: A125
Latitude: -2.6336111
Longitude: -59.60055555
Altitude: 112.84
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;19,6;1005,645833;29,2;23,979167;22;90,791667;,2;
2023-01-02;20,4;1005,395833;30,3;24,320833;22,1;89,833333;,416667;
2023-01-03;13;1005,891667;27,4;23,354167;21,5;90,333333;,325;
2023-01-04;,4;1005,641667;29,7;24,725;22,4;89;,070833;
2023-01-05;1,6;1005,775;30,1;24,491667;21,2;85,333333;,108333;
2023-01-06;13,4;1006,754167;26,3;23,579167;21,7;87,625;0;
2023-01-07;1;1006,641667;32,3;25,45;21,7;87,083333;,079167;
2023-01-08;,2;1006,870833;32,3;24,45;21,4;83,833333;,2875;
2023-01-09;6;1006,341667;27,9;22,845833;21,7;89,708333;,229167;
2023-01-10;51;1007,204167;26,7;22,654167;21;92,708333;,533333;
2023-01-11;6,8;1006,441667;30,6;24,3875;20,9;91,083333;,475;
2023-01-12;1,2;1005,1625;30,2;24,533333;21,1;89,125;,095833;
2023-01-13;30,8;1004,904167;27;23,708333;21,7;90,375;,441667;
2023-01-14;16;1006,245833;29;24,15;21,3;90,541667;,479167;
2023-01-15;0;1006,608333;29;24,191667;21,1;88,041667;,020833;
2023-01-16;,2;1005,179167;30,5;24,441667;22,1;88,333333;,004167;
2023-01-17;28;1005,6625;26,5;23,225;21,8;89,041667;,158333;
2023-01-18;39,6;1006,933333;29,8;23,816667;21,6;90,25;,179167;
2023-01-19;3;1007,033333;30,1;23,6625;20,7;88;,008333;
2023-01-20;1,8;1006,825;27,3;23,841667;21,7;88,75;0;
2023-01-21;,4;1006,275;27,8;23,833333;22,2;89,166667;,1875;
2023-01-22;0;1005,4875;26,7;22,883333;20,8;88,666667;,325;
2023-01-23;16;1006,1625;29,6;23,908333;20,7;89,041667;,754167;
2023-01-24;,6;1005,533333;27,7;24,458333;21,5;88,041667;,029167;
2023-01-25;9,8;1004,970833;27,1;24,295833;22,8;89;,0125;
2023-01-26;1,6;1004,35;30,4;24,9;21,9;87,25;,008333;
2023-01-27;,2;1004,404167;32,3;25,4125;23,1;83,666667;,270833;
2023-01-28;2,6;1005,016667;29,8;24,65;22,6;86,083333;,195833;
2023-01-29;1,6;1005,329167;29,5;24,558333;21,8;87,166667;,0375;
2023-01-30;1,4;1004,7375;25,9;23,408333;22;88,833333;0;
2023-01-31;,4;1005,295833;28,7;23,283333;21,4;90,541667;,041667;
2023-02-01;,6;1005,345833;30,4;24,320833;20,8;88,166667;,091667;
2023-02-02;4,4;1006,020833;31,5;25,004167;22,1;84;,145833;
2023-02-03;3,4;1005,8375;32,4;24,945833;21,8;84,833333;,079167;
2023-02-04;22;1007,520833;27,2;24,016667;22;88,416667;,579167;
2023-02-05;0;1007,0375;30;24,683333;21,8;86,458333;,666667;
2023-02-06;5;1005,420833;31,1;25,0125;21,7;85,125;,316667;
2023-02-07;,2;1005,233333;27,3;24,129167;22,2;87,333333;,479167;
2023-02-08;1,4;1005,1125;30,5;23,979167;22,2;88,416667;,570833;
2023-02-09;4,8;1005,316667;24,4;22,758333;22,1;90,833333;,433333;
2023-02-10;49,8;1004,829167;30,5;24,445833;21,2;90,583333;,758333;
