Nome: MANICORE
Codigo Estacao: A133
Latitude: -5.7886111
Longitude: -61.28833333
Altitude: 40.64
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;,2;1005,4875;32,5;26,466667;23,5;83,958333;1,325;
2023-01-02;34,4;1006,595833;27;24,033333;22,9;91,291667;1,270833;
2023-01-03;18,6;1005,708333;31,3;25,270833;22,4;84,833333;,8875;
2023-01-04;0;1005,408333;32,6;25,333333;23,1;87,25;,966667;
2023-01-05;6;1006,108333;30,4;25,241667;23,9;89,708333;1,216667;
2023-01-06;51;1007,129167;31;25,545833;22,7;85,5;1,075;
2023-01-07;1,2;1007,741667;31,1;26,408333;23,1;81,666667;1,775;
2023-01-08;0;1007,133333;33;25,841667;22,9;84,166667;1,045833;
2023-01-09;,2;1006,666667;31,2;25,279167;23,2;85,875;1,170833;
2023-01-10;35,2;1007,279167;30,9;25;21,7;83,75;1,1625;
2023-01-11;0;1006,3375;34,1;27,541667;23,2;76,791667;,895833;
2023-01-12;,2;1005,0375;33,8;27,333333;23,7;78,958333;1,120833;
2023-01-13;,2;1006;26,1;23,891667;23,4;91,083333;1,541667;
2023-01-14;13,8;1006,4125;30,4;24,491667;21,8;86,5;1,2375;
2023-01-15;,2;1006,804167;33,1;26,3;22,3;80,291667;1,145833;
2023-01-16;0;1005,645833;31,5;25,904167;23,2;85,083333;1,083333;
2023-01-17;29;1005,6375;30,1;25,0875;22,5;84,75;,895833;
2023-01-18;28,6;1006,929167;29;24,575;21,7;85,916667;1,5625;
2023-01-19;1,4;1007,4625;27,6;23,866667;22;89,583333;,875;
2023-01-20;3,8;1007,4;31,3;24,658333;22,5;86,666667;1,1625;
2023-01-21;19,2;1006,154167;32,5;25,816667;22;80,958333;1,425;
2023-01-22;,2;1005,266667;32,2;26,020833;22,3;82,416667;1,1;
2023-01-23;13,6;1006,608333;29,7;24,504167;21,8;87,166667;1,183333;
2023-01-24;4,2;1005,9125;30,4;25,4625;22,6;87,541667;1,045833;
2023-01-25;2,4;1005,308333;29,6;24,858333;23,5;90,083333;1,195833;
2023-01-26;75,6;1005,425;28,9;24,6125;22,3;87,25;1,195833;
2023-01-27;6,4;1004,416667;31,9;26,245833;22,5;83,416667;,870833;
2023-01-28;21,4;1005,241667;32,1;26,133333;22,9;83,625;1,375;
2023-01-29;77;1006,233333;28;24,416667;22,4;88,958333;1,26087;
2023-01-30;,4;1004,854167;33;25,5125;22,8;86,041667;1,166667;
2023-01-31;5,8;1005,516667;29,9;25,120833;22;85,25;1,083333;
2023-02-01;0;1005,2125;32,5;26,929167;22,9;80,416667;1,195833;
2023-02-02;23,2;1006,108333;30,6;25,9625;22,5;85,5;1,0875;
2023-02-03;18,6;1006,795833;29,6;25,633333;23;86,541667;1,541667;
2023-02-04;1,8;1007,929167;26,9;24,766667;23,1;90,875;1,166667;
2023-02-05;33,2;1007,875;26;23,466667;21,8;91,875;,9875;
2023-02-06;7,8;1006,104167;31,8;25,291667;21,5;85,5;1;
2023-02-07;6;1005,558333;33;25,4;23;86,458333;1,1;
2023-02-08;29,2;1005,283333;32,7;25,829167;22,7;83,166667;1,170833;
2023-02-09;7,2;1005,5125;32,5;26,25;23,2;82,458333;1,2;
2023-02-10;2,6;1005,366667;31,3;25,225;23,6;87,708333;1,183333;
2023-02-11;43,4;1004,8;32,7;25,2875;22,8;86,708333;1,341667;
2023-02-12;9;1004,05;33,1;26,1;23,3;84,458333;1,05;
2023-02-13;15;1003,679167;32,5;26,491667;23,9;86,25;1,079167;
2023-02-14;1,8;1004,270833;32,8;25,895833;23,8;86,166667;,9875;
2023-02-15;2;1004,925;28,3;25,029167;23,6;89,416667;1,316667;
2023-02-16;2,2;1003,795833;33,1;25,35;23,3;86,541667;1,6375;
2023-02-17;5;1003,816667;31,9;25,358333;22,8;84,708333;1,529167;
2023-02-18;16,6;1004,908333;32,7;25,9875;22,5;81,25;1,004167;
2023-02-19;0;1004,516667;30;26,020833;23,7;85,25;1,070833;
2023-02-20;43,8;1005,7625;26;23,770833;22,1;92,458333;1,691667;
2023-02-21;39,4;1006,070833;30,8;25,2;22,2;85,666667;1,516667;
2023-02-22;8,8;1007,795833;31,2;25,191667;22,7;86,708333;1,270833;
2023-02-23;5,8;1007,55;33,4;27,3875;23,2;78,291667;1,054167;
2023-02-24;33,4;1007,1125;28,4;25,345833;22,6;86,75;1,5875;
2023-02-25;0;1006,4875;33,2;25,954167;23,1;84,666667;,966667;
2023-02-26;9,2;1006,108333;33,6;27,020833;23;79,958333;1,3;
2023-02-27;23,6;1006,6875;30,1;25,908333;22,8;85,416667;1,116667;
2023-02-28;12;1007,733333;33,1;25,795833;22,5;83,375;,9;
2023-03-01;3,8;1006,9;32,9;26,0875;22,3;81,541667;,966667;
2023-03-02;2,2;1005,033333;29,8;26,104167;23,1;88,875;1,179167;
2023-03-03;9,2;1004,1375;34,4;26,95;23,2;82,5;,954167;
2023-03-04;,6;1004,1125;34,2;27,891667;23,3;78;1,341667;
2023-03-05;,8;1005,191667;32,2;25,979167;24,1;87,625;,979167;
2023-03-06;19,8;1004,841667;30,9;26,408333;23,4;86,625;1,15;
2023-03-07;20;1005,445833;30,3;25,045833;23,5;89,416667;1,1;
2023-03-08;31,8;1005,683333;29,4;25,220833;22,7;87,625;1,025;
2023-03-09;1,2;1005,254167;33,1;26,695833;22,6;80,583333;1,233333;
2023-03-10;,2;1005,454167;33,2;26,179167;23,8;84,125;1,295833;
2023-03-11;0;1005,583333;27;24,495833;22,9;90,791667;1,066667;
2023-03-12;10,8;1006,658333;31,2;25,125;22,1;85,791667;1,266667;
2023-03-13;4,6;1007,616667;29,2;25,3125;22,7;85,708333;1,154167;
2023-03-14;,4;1007,2;31,7;25,75;22,5;86,291667;1,320833;
