Nome: NOVO ARIPUANA
Codigo Estacao: A144
Latitude: -8.0911111
Longitude: -60.38055554
Altitude: 45
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;3,2;1006,183333;32,1;26,475;23,8;89,166667;,616667;
2023-01-02;68,4;1007,2625;26,2;24,254167;23;95,708333;,6875;
2023-01-03;41,6;1006,7;30,6;24,5625;22,7;93,708333;,6375;
2023-01-04;2,8;1006,141667;33,1;26,629167;22,5;84,458333;,670833;
2023-01-05;,2;1006,856522;30,4;25,582609;23,6;92,043478;,617391;
2023-01-06;22;1008,021739;30,8;25,678261;22,8;88,565217;,704348;
2023-01-07;,2;1008,275;31,2;26,070833;23,8;88,333333;,675;
2023-01-08;0;1008;31,7;25,095833;23,5;93,458333;,525;
2023-01-09;6,6;1007,333333;30,8;24,975;23,5;91,958333;,641667;
2023-01-10;1;1008,05;30,9;24,8875;21,8;88,708333;,7;
2023-01-11;7,8;1007,241667;33,5;27,241667;23;83,208333;,5875;
2023-01-12;3;1006,030435;33;26,2;23,2;89,391304;,608696;
2023-01-13;23,2;1006,6;26,7;23,695652;23,9;96,217391;,721739;
2023-01-14;21,2;1007,477273;28,4;24,145455;21,5;91,590909;,727273;
2023-01-15;0;1007,634783;32,9;26,365217;22,3;83,913043;,813043;
2023-01-16;0;1006,354167;31,2;25,679167;23,1;90,333333;,5125;
2023-01-17;19;1006,495833;30,1;25,166667;23,1;89,708333;,604167;
2023-01-18;13,4;1007,9125;27,8;24,416667;22;91;,775;
2023-01-19;,4;1008,2;29,2;24,6625;22,5;92,375;,595833;
2023-01-20;18;1008,179167;29,9;24,404167;22,8;92,791667;,55;
2023-01-21;3,4;1006,9375;32,9;25,4875;20,7;83,916667;,666667;
2023-01-22;0;1006,191667;32,8;25,8375;22,2;86;,795833;
2023-01-23;5,4;1007,252174;28,3;24,504348;22,5;92,73913;,565217;
2023-01-24;11;1006,682609;29,3;25,147826;23,5;94,913043;,517391;
2023-01-25;4,6;1006,175;28,6;24,8625;23,3;93,916667;,558333;
