Nome: SAO LUIS
Codigo Estacao: A203
Latitude: -2.52666666
Longitude: -44.21361111
Altitude: 54.8
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;,2;1004,820833;31;26,9125;24,7;82,541667;1,733333;
2023-01-02;0;1005,083333;30,3;27,075;24,8;80,833333;2,091667;
2023-01-03;0;1004,8375;31,2;27,229167;25,2;79,666667;1,966667;
2023-01-04;0;1004,854167;32;27,545833;24;75,791667;1,979167;
2023-01-05;0;1005,5;31;27,5;25,6;75,75;2,529167;
2023-01-06;0;1006,070833;30,3;26,5625;23,6;80,625;1,7125;
2023-01-07;,4;1006,766667;30,7;26,55;24,3;82,833333;1,604167;
2023-01-08;0;1006,6;30,1;27,1625;24,5;78,916667;1,95;
2023-01-09;0;1006,566667;31,3;27,416667;24,4;77,625;2,104167;
2023-01-10;1,6;1006,325;30,1;26,525;25,5;81,958333;2,083333;
2023-01-11;2,4;1006,820833;31;26,804167;24,2;80;1,833333;
2023-01-12;1,2;1005,554167;29,9;27,033333;24,9;81,875;2,216667;
2023-01-13;0;1004,091667;31,5;27,629167;24,7;75,916667;2,383333;
2023-01-14;0;1004,308333;30,5;27,033333;25,2;80,75;2,033333;
2023-01-15;65;1005,958333;29,1;23,854167;21,3;92,416667;1,541667;
2023-01-16;70,2;1005,695833;28,2;24,445833;20,6;89,791667;1,395833;
2023-01-17;,2;1004,8875;30;25,2625;22,2;87,458333;1,320833;
2023-01-18;10,4;1005,475;28,9;25,241667;23,1;89,958333;1,1875;
2023-01-19;30,2;1007,304167;25,1;23,975;23;96,958333;,629167;
2023-01-20;5,4;1006,854167;28,4;24,7625;22,6;89,125;1,120833;
2023-01-21;1,8;1005,8125;29,6;25,508333;22,9;87,291667;1,429167;
2023-01-22;0;1004,9;29,8;26,247826;23,4;85,521739;1,713043;
2023-01-23;2,6;1005,833333;28,5;25,629167;23,2;90,25;1,395833;
2023-01-24;6;1004,741667;26,5;24,470833;24,3;94,416667;1,275;
2023-01-25;45;1004,416667;24,7;23,6625;22,6;98,375;,620833;
