Nome: BALSAS
Codigo Estacao: A204
Latitude: -7.45555555
Longitude: -46.02749999
Altitude: 271.03
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;980,0125;33,5;27,016667;21,6;71,166667;1,345833;
2023-01-02;0;979,916667;32,8;26,3;21,1;73,916667;1,091667;
2023-01-03;0;980,583333;31,2;24,854167;21,4;81,583333;,879167;
2023-01-04;11,8;980,7;33,9;26,316667;21,1;75,833333;,595833;
2023-01-05;0;980,866667;28,6;24,575;22,3;85,416667;1,095833;
2023-01-06;30,8;981,779167;31,9;24,658333;20,1;82,583333;,541667;
2023-01-07;,2;982,429167;30,7;25,391667;22,3;83,166667;,6875;
2023-01-08;0;981,7375;32,8;25,820833;21,3;79,791667;,558333;
2023-01-09;0;982,166667;28,9;23,408333;21,4;85,791667;,858333;
2023-01-10;10;981,641667;32,4;24,866667;20,6;81,083333;,8;
2023-01-11;,2;982,291667;32,6;25,291667;22;82,583333;,479167;
2023-01-12;,2;980,629167;32,2;25,579167;21,4;81,583333;,595833;
2023-01-13;0;979,891667;32,2;24,9625;21,4;82,916667;,920833;
2023-01-14;1,8;980,754167;29,6;24,4125;21,5;85,333333;1,054167;
2023-01-15;3,6;981,1875;32,4;24,841667;21,6;81,708333;1,170833;
2023-01-16;,2;980,679167;30,9;25,183333;22;80,25;1,091667;
2023-01-17;,2;980,4625;31,3;24,825;20,9;79;1,166667;
2023-01-18;0;980,916667;30;25,320833;21,7;80,541667;,441667;
2023-01-19;25,4;983,679167;25,3;21,758333;19,9;91,458333;,941667;
2023-01-20;2,8;982,183333;31,9;24,879167;20,6;80,458333;,825;
2023-01-21;1,6;980,5625;33,5;26,366667;21,7;75,708333;,883333;
2023-01-22;0;980,55;32,8;25,491667;21,7;79,5;,808333;
2023-01-23;0;981,204167;32,9;25,845833;20,8;76,791667;,966667;
2023-01-24;0;979,7625;34,3;26,9375;21,6;74,5;,508333;
2023-01-25;0;978,870833;32;26,016667;22,5;79,75;1,533333;
2023-01-26;0;979,020833;32,5;25,55;22,3;78,916667;1,3125;
2023-01-27;0;979,883333;33,8;25,995833;21,1;75,875;,775;
2023-01-28;0;981,2875;31,2;24,629167;22,2;81,75;1,029167;
2023-01-29;0;980,35;32,3;24,55;20;81,333333;,483333;
2023-01-30;2,8;978,954167;34,1;26,370833;19,2;71,083333;,9375;
2023-01-31;0;978,991667;34,2;26,608333;21;73,75;,925;
2023-02-01;0;980,425;30,3;24,175;22,2;87,208333;,725;
2023-02-02;28,8;982,15;29;24,383333;21,6;85,833333;,558333;
2023-02-03;,4;982,158333;31,8;25,6375;20,9;79,083333;1,579167;
2023-02-04;0;982,216667;33,7;26,641667;21;74,791667;,870833;
2023-02-05;0;981,991667;29,7;24,233333;22,1;85,791667;,5;
2023-02-06;1;981,008333;31,3;24,279167;20,8;85,75;,591667;
2023-02-07;3,4;980,570833;32;25,5625;21,7;80,333333;,8625;
2023-02-08;,2;980,0125;34,4;26,875;22,5;74,583333;1,129167;
2023-02-09;0;980,3125;34,3;26,833333;20,9;70,666667;1,225;
2023-02-10;0;979,3875;35,2;27,2625;20,5;66,541667;1,183333;
2023-02-11;0;979,079167;31,7;26,5;23,2;75,833333;1,0375;
2023-02-12;0;979,266667;34,8;27,1;20,8;69,875;,979167;
2023-02-13;0;978,483333;35,9;27,995833;21,5;67,5;1,291667;
2023-02-14;0;978,5875;34,1;27,620833;22;72,333333;1,0375;
2023-02-15;0;978,679167;33,9;27,0375;22;76,75;,741667;
2023-02-16;1,6;978,041667;32,6;26,291667;22,9;81,041667;,725;
2023-02-17;3,8;978,4125;33,4;25,791667;23,1;79,25;,904167;
2023-02-18;5,4;979,625;29,1;23,658333;22,2;89,625;,9375;
2023-02-19;26,2;980,4;32;24,179167;21,2;83,25;,933333;
2023-02-20;0;980,358333;32,1;24,241667;21;81,75;1,2;
2023-02-21;,8;980,291667;32,2;25,925;21,8;77;,85;
