Nome: CHAPADINHA
Codigo Estacao: A206
Latitude: -3.74277777
Longitude: -43.35222222
Altitude: 104
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;14,6;998,6625;33,1;26,908333;22,3;75,125;1,7375;
2023-01-02;0;998,708333;34,6;27,545833;23,8;74,166667;1,741667;
2023-01-03;2,2;998,758333;33,7;27,045833;24,3;77,666667;1,808333;
2023-01-04;,6;998,920833;33,5;27,6625;23,5;74;1,658333;
2023-01-05;0;999,158333;34,6;28,025;24;71,375;2,2875;
2023-01-06;7,4;1000,0125;32,6;26,920833;23,8;73,708333;1,55;
2023-01-07;1;1000,4125;34,4;28,1875;24,3;71,833333;1,6625;
2023-01-08;0;1000,333333;34,6;28,095833;23,8;67,583333;1,7375;
2023-01-09;0;1000,5;33,6;27,066667;23,5;74;1,708333;
2023-01-10;8,8;1000,166667;33,9;27,133333;22;74,958333;2,491667;
2023-01-11;,4;1000,670833;33,9;27,679167;23,3;71,708333;1,604167;
2023-01-12;0;999,354167;34,8;27,595833;23,9;72,208333;2,083333;
2023-01-13;,4;998,029167;34,3;28,254167;22;69,541667;2,133333;
2023-01-14;0;998,183333;33,4;28,116667;24,5;70,833333;1,916667;
2023-01-15;1;999,666667;31,2;25,433333;23,4;83,75;1,575;
2023-01-16;2;999,720833;31,2;24,441667;22,8;87,166667;1,533333;
2023-01-17;14,6;998,816667;32,6;26,204167;21,6;75,208333;1,754167;
2023-01-18;66,6;999,579167;30,6;24,291667;20,9;86,5;1,466667;
2023-01-19;8,2;1001,1125;30,9;24,695833;22,7;87,083333;1,604167;
2023-01-20;3;1000,908333;30,8;24,7125;22,7;86,958333;1,104167;
2023-01-21;12,6;999,7125;33,7;26,258333;23;80,625;1,65;
2023-01-22;,2;998,85;34;26,904167;23;77;1,745833;
2023-01-23;17;999,783333;32,5;26,225;22,8;82,5;1,3125;
2023-01-24;4,4;998,608333;32,1;25,8375;23,4;85,208333;1,379167;
2023-01-25;9;998,216667;31,1;24,85;23,6;85,041667;1,620833;
2023-01-26;0;997,95;32,9;25,9;21,7;76,291667;1,345833;
2023-01-27;3,2;998,520833;33,2;27,104167;22,6;72,166667;1,725;
2023-01-28;0;999,320833;33,9;27,7;23,1;70,458333;2,120833;
2023-01-29;0;998,45;32;27,029167;23,5;75,166667;1,5875;
2023-01-30;22,8;998,0125;30,9;24,833333;21,5;86,625;1,35;
2023-01-31;7,6;997,933333;33,2;26,608333;22,6;79,458333;1,4625;
2023-02-01;8,6;998,85;33,3;25,958333;22,5;83,166667;1,625;
2023-02-02;12,4;1000,465217;32,9;25,665217;23,5;85,347826;1,63913;
2023-02-03;3;1000,720833;32;26,5375;22,3;81,5;1,720833;
2023-02-04;0;1000,579167;33,8;27,866667;23,8;75,125;1,933333;
2023-02-05;0;1000,425;33,7;27,370833;23,7;77,083333;1,779167;
2023-02-06;0;999,266667;33,1;27,208333;23,3;76,583333;1,5;
2023-02-07;0;998,791667;34,2;27,1875;24;77,083333;1,866667;
2023-02-08;9,2;998,825;32,6;26,425;22,1;76,791667;1,866667;
2023-02-09;0;998,679167;33,6;28,016667;24;73,833333;1,595833;
2023-02-10;,4;998,345833;34;27,191667;24,3;76,75;1,6875;
2023-02-11;10;997,8875;33,2;27;22,3;76,333333;1,6;
2023-02-12;0;997,895833;33,2;27,991667;23,5;73,666667;1,816667;
2023-02-13;0;997,4625;34,5;27,295833;24,2;76,625;2,041667;
2023-02-14;30;997,483333;33,8;27,316667;22,3;78,791667;1,945833;
2023-02-15;0;997,575;33,8;27,133333;24,2;78,5;1,8875;
2023-02-16;,4;997,1375;33,1;26,066667;24,5;83,25;1,7375;
2023-02-17;2,6;996,741667;32,4;26,033333;22,9;83,541667;1,283333;
2023-02-18;6,8;998,116667;31,6;25,070833;20,9;83,708333;1,370833;
2023-02-19;,2;998,979167;30,2;24,504167;22,9;87,791667;1,508333;
2023-02-20;2,2;998,283333;28,3;24,858333;22,6;85,375;1,491667;
2023-02-21;0;997,925;33,4;27,25;22;76,25;1,479167;
2023-02-22;3,2;999,970833;32,2;25,8;24,2;86,083333;1,495833;
2023-02-23;27,4;1001,3125;30,7;24,979167;22,5;88,208333;1,320833;
2023-02-24;3,2;1000,104167;32,8;25,720833;22,5;84,083333;1,4875;
2023-02-25;68;999,766667;33,1;25,6;21,1;82,5;1,445833;
2023-02-26;12;1000,3375;32,8;26,183333;22;81,375;1,825;
2023-02-27;,8;1000,254167;33,3;27,6125;23,4;76,125;1,845833;
2023-02-28;0;1000,55;33,6;27,645833;23,8;74,041667;1,991667;
2023-03-01;0;1000,091667;33,7;27,779167;24,2;75,708333;1,883333;
2023-03-02;,6;998,95;33,8;27,220833;23,9;78,541667;1,9125;
2023-03-03;2,8;999,129167;32,1;25,966667;23;86,041667;1,654167;
2023-03-04;26,8;998,870833;33,1;26,641667;22,9;80,583333;1,870833;
2023-03-05;5,4;998,625;33,9;26,995833;22,8;79,791667;1,95;
2023-03-06;0;998,079167;33,7;27,25;23,3;76,916667;2,308333;
2023-03-07;0;997,820833;33,4;27,675;23,5;73;1,970833;
2023-03-08;0;997,9;33,8;27,95;23,5;72,125;1,954167;
2023-03-09;0;998,641667;33,5;27,058333;23,8;80,416667;1,7125;
2023-03-10;14,4;999,779167;33,1;26,583333;22,1;77,791667;1,779167;
2023-03-11;0;998,4;33,9;27,479167;23,6;75,916667;2,033333;
2023-03-12;0;998,591667;31,9;26,708333;24;82,125;1,683333;
2023-03-13;1,2;999,275;32;25,833333;24,8;86,541667;1,541667;
