Nome: GRAJAU
Codigo Estacao: A207
Latitude: -5.81611111
Longitude: -46.16222222
Altitude: 232.29
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;984,241667;31,9;26,804167;22,5;68,166667;null;
2023-01-02;0;984,5875;30,2;26,295833;24,3;71,375;null;
2023-01-03;7,8;984,783333;29,9;25,7;22,1;72,958333;null;
2023-01-04;,8;984,783333;33,2;27,079167;22,8;67,625;null;
2023-01-05;0;985,1375;29,3;25,758333;23,2;73,208333;null;
2023-01-06;7,8;985,7375;31,3;25,829167;22,3;71,916667;null;
2023-01-07;0;986,354167;31,8;27,3875;24,2;68,458333;null;
2023-01-08;0;986,058333;31,9;27,004167;23,1;66,208333;null;
2023-01-09;6,2;986,166667;31;26,5625;24,9;70,083333;null;
2023-01-10;1;985,775;30,9;26,570833;23,7;71,916667;null;
2023-01-11;8,8;986,575;29,5;26,4125;24,3;71,708333;null;
2023-01-12;0;984,975;31;26,65;23,6;71,583333;null;
2023-01-13;0;984,029167;30,1;26,670833;24,4;69,333333;null;
2023-01-14;21,2;984,683333;28,2;25,55;22,4;73,5;null;
2023-01-15;1,2;985,454167;27,8;24,9875;22,4;75,333333;null;
2023-01-16;0;985,183333;28,6;24,425;21,5;76,75;null;
2023-01-17;11,6;984,691667;30,1;25,004167;21,8;72,333333;null;
2023-01-18;0;985,2375;30;25,795833;22,8;69,375;null;
2023-01-19;44;987,8125;25,4;22,316667;21,1;81,25;null;
2023-01-20;19;986,370833;30,4;24,833333;20,3;73,083333;null;
2023-01-21;0;985,104167;31,2;26,395833;22,6;69,416667;null;
2023-01-22;3,8;984,854167;29,8;25,995833;23,1;73,25;null;
2023-01-23;4,4;985,4125;28,1;25,733333;23,8;77,75;null;
2023-01-24;1,6;984,254167;30;26,3125;24,2;75,625;null;
2023-01-25;6,4;983,629167;28,7;25,466667;24,6;78,041667;null;
2023-01-26;5,6;983,466667;29,3;25,1875;22,6;77,208333;null;
2023-01-27;,2;984,241667;29,9;25,8875;23,3;72,375;null;
2023-01-28;0;985,295833;30,3;25,5125;22,8;72,833333;null;
2023-01-29;,4;984,295833;31,4;25,716667;22;73,041667;null;
2023-01-30;0;983,379167;31,6;26,366667;21,7;69,25;null;
2023-01-31;0;983,5375;30,7;26,316667;23,5;70,833333;null;
2023-02-01;2,6;984,858333;28,9;25,504167;24,2;77,125;null;
2023-02-02;24,2;986,5875;28,1;24,933333;22,8;79,166667;null;
2023-02-03;10,4;986,483333;28,3;24,829167;22,6;77,75;null;
2023-02-04;0;986,329167;31,8;26,85;22,3;69,166667;null;
2023-02-05;0;986,2125;31,1;27,1125;24,2;69,875;null;
2023-02-06;0;985,154167;30,6;25,95;23,8;73,291667;null;
2023-02-07;,8;984,791667;28,3;25,425;23;75,458333;null;
2023-02-08;0;984,4875;28,9;25,779167;22,1;72,125;null;
2023-02-09;0;984,508333;31,7;26,666667;21,4;67,041667;null;
2023-02-10;0;983,7625;32,3;27,6625;23,7;65,333333;null;
2023-02-11;3;983,65;31,5;26,725;24,1;70,833333;null;
2023-02-12;0;983,6625;31,6;26,958333;23,5;70,666667;null;
2023-02-13;0;982,858333;33,1;28,2375;23,9;65;null;
2023-02-14;0;983,258333;31,5;27,479167;24,3;67,25;null;
2023-02-15;0;983,3375;29,9;26,55;23,5;71,666667;null;
2023-02-16;0;982,675;30,6;26,529167;23,7;73,25;null;
2023-02-17;0;982,608333;31,1;26,6375;23,4;71,125;null;
2023-02-18;,2;983,879167;29,3;25,7625;24,9;74,375;null;
2023-02-19;1,2;984,708333;28,8;24,233333;22,1;78,541667;null;
2023-02-20;16,6;984,195833;29;25,025;22;76,666667;null;
2023-02-21;,4;984,054167;32,5;27,35;23,6;67,041667;null;
2023-02-22;5,4;986,145833;28,6;25,641667;22,7;73,458333;null;
2023-02-23;55,8;987,666667;27,3;24,004167;20,6;81,625;null;
2023-02-24;,2;985,3;31,4;25,783333;22;76,291667;null;
2023-02-25;,6;985,320833;30,3;26,475;23,7;74,25;null;
2023-02-26;0;986,091667;30,5;26,116667;23,6;73,666667;null;
2023-02-27;,4;986,175;30,6;25,908333;23,3;74,291667;null;
2023-02-28;,4;986,429167;31,4;26,5625;23,2;72,083333;null;
2023-03-01;6,6;985,904167;31;26,841667;23,8;71,666667;null;
2023-03-02;0;984,591667;31,7;27,383333;24;69,458333;null;
2023-03-03;0;984,354167;30,6;27,2125;24,7;71,208333;null;
2023-03-04;3,2;984,8375;29,3;26,004167;22,8;73,708333;null;
2023-03-05;1;984,079167;31,7;27,245833;23,9;71,75;null;
2023-03-06;0;983,779167;30,3;26,991667;24,5;74,375;null;
2023-03-07;2,6;983,454167;31,5;27,054167;24,3;72,583333;null;
2023-03-08;0;983,8375;32,1;27,1125;22,9;70,041667;null;
2023-03-09;0;984,5375;31,2;26,529167;23,7;71,625;null;
2023-03-10;0;985,345833;30,8;26,675;24;72;null;
2023-03-11;0;984,233333;30,1;26,016667;22,8;74,458333;null;
2023-03-12;6,8;984,283333;31,2;26,583333;23,4;73,375;null;
2023-03-13;10,6;985,575;28,5;25,041667;23,1;77,458333;null;
2023-03-14;13,8;985,591667;29,9;24,895833;22,4;79,583333;null;
2023-03-15;106,2;985,945833;27,7;24,216667;21,3;81,458333;null;
2023-03-16;,2;984,441667;31,4;25,941667;22,2;75,5;null;
2023-03-17;1,8;985,325;27;24,629167;23;79,333333;null;
2023-03-18;12,6;986,520833;28,6;24,35;21,2;76,083333;null;
2023-03-19;,2;986,229167;28,9;25,283333;22,4;76,708333;null;
2023-03-20;3,6;986,3375;29,5;24,145833;22,4;78,25;null;
2023-03-21;10;986,966667;26;23,716667;23;84;null;
2023-03-22;21;986,733333;29,2;24,754167;22,1;82,125;null;
2023-03-23;,6;985,3375;31,1;26,620833;23,1;72,208333;null;
2023-03-24;3,6;985,633333;30;24,925;23;77,708333;null;
2023-03-25;8;984,908333;31,2;26,233333;22,5;73,25;null;
2023-03-26;0;985,641667;30;26,325;23,7;73,833333;null;
2023-03-27;4,6;985,558333;29;25,629167;22,8;78,416667;null;
2023-03-28;11,8;985,3875;28,7;25,0375;23,6;81,958333;null;
2023-03-29;7;985,4;31,1;26,195833;23;74,791667;null;
2023-03-30;0;985,816667;29,2;25,25;23,4;78,958333;null;
2023-03-31;31;985,758333;29,6;25,925;23,4;77,166667;null;
2023-04-01;0;985,475;29,7;26,020833;23,6;75,166667;null;
2023-04-02;0;985,129167;30,4;25,9625;22,9;74,416667;null;
2023-04-03;0;985,075;29,9;26,0625;23,3;73,875;null;
2023-04-04;0;983,966667;30,2;26;23,1;72,666667;null;
2023-04-05;0;983,204167;31,3;26,395833;23,4;72,958333;null;
2023-04-06;8,8;983,595833;29;25,529167;22,7;76,208333;null;
2023-04-07;17,8;984,370833;28,8;25,341667;23,4;79,333333;null;
