Nome: PLACAS
Codigo Estacao: A211
Latitude: -3.86416666
Longitude: -54.21638888
Altitude: 100.45
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;998,620833;28,1;24,404167;22,9;null;,333333;
2023-01-02;24,6;998,058333;31,6;25,491667;22,3;null;,741667;
2023-01-03;0;998,125;32,2;25,883333;22,5;null;,808333;
2023-01-04;6,8;998,245833;33,3;26,695833;22,5;null;,329167;
2023-01-05;,4;998,8;30,8;26,166667;23,7;null;,970833;
2023-01-06;0;999;33,9;26,429167;23,2;null;,520833;
2023-01-07;0;999,366667;32,3;26,7625;23;null;1,045833;
2023-01-08;0;999,4625;34,4;26,725;22,2;null;,470833;
2023-01-09;4,2;998,9375;33;26,541667;22,5;null;1;
2023-01-10;0;999,629167;28,4;24,991667;23,2;null;,816667;
2023-01-11;4,4;999,8625;30,1;24,9125;22,5;null;1,004167;
2023-01-12;0;998,2875;31,7;24,929167;21,9;null;,466667;
2023-01-13;,2;997,154167;32,3;26,491667;23,2;null;,65;
2023-01-14;13,4;998,941667;29,5;24,670833;22,4;null;1,041667;
2023-01-15;,6;999,579167;32,1;24,829167;22,6;null;,45;
2023-01-16;4;998,083333;31,8;25,75;22,9;null;,729167;
2023-01-17;2,2;997,908333;29,1;24,775;22,5;null;1,008333;
2023-01-18;27,8;1000,158333;28,5;23,783333;21,2;null;,529167;
2023-01-19;,2;1000,304167;31,2;25,9375;22,4;null;1,075;
2023-01-20;0;999,391667;31,9;25,779167;22;null;,7;
2023-01-21;0;998,379167;32,4;25,679167;22,3;null;,645833;
2023-01-22;10,2;998,05;32,4;25,354167;22,5;null;,479167;
2023-01-23;,2;998,833333;29,8;25,316667;22,7;null;,329167;
2023-01-24;6;998,379167;29,6;25,325;23;null;,270833;
2023-01-25;,6;997,916667;32;25,4125;23,2;null;,629167;
2023-01-26;7,2;997,5875;28,1;24,4375;23,4;null;1,05;
2023-01-27;15,6;998,275;27,7;24,191667;22,4;null;,4;
2023-01-28;0;998,658333;30;25,1125;22,7;null;,95;
2023-01-29;3,2;998,166667;31,1;24,958333;21,9;null;,55;
2023-01-30;6,6;997,566667;29;24,833333;22,1;null;,441667;
2023-01-31;,4;997,825;30,9;24,9875;22,9;null;,55;
2023-02-01;0;999,104167;29,7;24,058333;22,8;null;,570833;
2023-02-02;1,2;999,495833;32,2;25,016667;21,8;null;,7375;
2023-02-03;0;999,1625;32,3;25,95;22,4;null;,741667;
2023-02-04;2,6;1000,191667;31,6;25,583333;22,5;null;,4875;
2023-02-05;19,4;1000,233333;31,7;25,195833;21,8;null;,920833;
2023-02-06;,2;998,333333;32,7;26,470833;22,7;null;,695833;
2023-02-07;2,6;998,1625;31,6;26,125;23,7;null;,7375;
2023-02-08;0;997,929167;30,7;25,679167;22,6;null;,779167;
2023-02-09;0;997,9625;32;26,166667;22,6;null;,791667;
2023-02-10;0;997,416667;32,1;26,545833;23,6;null;1,058333;
2023-02-11;17,6;997,083333;33,4;26,754167;23,5;null;1,029167;
2023-02-12;1;996,683333;32,5;26,7625;23,4;null;1,0625;
2023-02-13;0;996,254167;32,6;26,429167;23;null;,616667;
2023-02-14;5,8;996,916667;32,1;26,291667;22,5;null;,775;
2023-02-15;0;997,245833;30,7;25,595833;22,8;null;,191667;
2023-02-16;0;996,266667;31,3;26,066667;23,3;null;,7875;
2023-02-17;26,6;996,4625;32,3;26,3;22,8;null;,858333;
2023-02-18;4,4;997,7625;30,3;24,991667;23,4;null;,116667;
2023-02-19;7,2;997,7875;30,8;23,975;22,7;null;,779167;
2023-02-20;12,8;997,304167;31,5;25,35;22;null;,683333;
2023-02-21;30,6;999,2375;27;23,916667;22,1;null;,4375;
2023-02-22;,2;1000,725;30;25,066667;21,9;null;,541667;
2023-02-23;,8;1000,270833;33,2;26,229167;23,1;null;,441667;
2023-02-24;0;999,079167;32,4;25,445833;22,9;null;,4125;
2023-02-25;1,6;999,066667;31,9;26,091667;23,1;null;,816667;
2023-02-26;0;998,933333;32,3;26,6625;23,5;null;,516667;
2023-02-27;31,4;999,75;29,8;24,975;22,7;null;,704167;
2023-02-28;27,8;1000,154167;31,4;26,208333;22,5;null;,9375;
2023-03-01;0;999,373913;31,4;25,804348;22,9;null;,613043;
2023-03-02;0;998,116667;31,3;25,904167;23;null;,575;
2023-03-03;12,6;997,466667;31,8;26,216667;23,3;null;,85;
2023-03-04;15;998,195833;29,9;24,8375;22,1;null;,633333;
2023-03-05;,6;997,629167;32,4;26,758333;22,4;null;,7625;
2023-03-06;1;997,133333;32,7;26,2;23,7;null;,854167;
2023-03-07;13,8;997,491667;31,5;25,6875;22,7;null;,554167;
2023-03-08;0;998,141667;29,9;25,808333;23,3;null;,9;
2023-03-09;0;998,058333;32,5;26,616667;23,1;null;,520833;
2023-03-10;0;998,2;32,5;27,045833;23,9;null;,958333;
2023-03-11;,4;997,4;32;26,616667;23,3;null;,554167;
2023-03-12;3,8;998,458333;30,6;25,2875;22,8;null;,433333;
2023-03-13;20;999,645833;30,6;25,216667;22,4;null;,4875;
2023-03-14;0;999,9625;30,4;25,395833;23,3;null;,329167;
2023-03-15;2,8;999,6375;32,7;24,991667;22,6;null;,170833;
2023-03-16;25,6;998,483333;29,5;24,583333;22,2;null;,408333;
2023-03-17;42,8;999,358333;24,8;23;22,3;null;,2875;
2023-03-18;0;998,945833;31,4;25,391667;22,1;null;,825;
2023-03-19;2;999,241667;31,6;25,758333;22,5;null;,758333;
2023-03-20;0;999,083333;33,4;25,6625;21,4;null;,9375;
2023-03-21;25,6;999,658333;31,4;26,079167;23,2;null;1,608333;
2023-03-22;0;999,095833;32,6;26,375;22,9;null;1,058333;
2023-03-23;0;998,945833;31;25,629167;23,2;null;,429167;
2023-03-24;38,8;999,095833;31,4;25,195833;22,5;null;,775;
2023-03-25;7,4;998,795833;33;26,091667;22,9;null;,258333;
2023-03-26;0;999,6;27,9;24,554167;22,9;null;,616667;
2023-03-27;,8;999,329167;28,4;24,3125;22,5;null;,029167;
2023-03-28;0;998,304167;33,9;26,5;22,6;null;,2875;
2023-03-29;1,4;998,2375;32,9;26,754167;22,9;null;,470833;
2023-03-30;16,4;999,133333;32,2;25,970833;22,8;null;1,0625;
2023-03-31;26,2;999,5625;29,6;25,229167;22,6;null;,379167;
2023-04-01;6;999,179167;31,9;26,208333;22,8;null;,8875;
