Nome: IMPERATRIZ
Codigo Estacao: A225
Latitude: -5.55583333
Longitude: -47.45972222
Altitude: 117.96
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;16,2;997,070833;32,6;26,441667;22,4;76,916667;0;
2023-01-02;0;997,104167;33,4;27,120833;23,2;73,791667;0;
2023-01-03;0;997,3125;32,9;26,0875;22;75;,033333;
2023-01-04;8,6;997,55;33,7;27,266667;22,5;73,083333;,008333;
2023-01-05;0;998,016667;32,9;25,804167;23,6;78,333333;0;
2023-01-06;15,8;998,591667;31,7;26,154167;21,9;78,791667;0;
2023-01-07;0;999,4125;31;26,15;23,4;78;,008333;
2023-01-08;3,4;998,895833;32,6;26,795833;23,6;77,916667;0;
2023-01-09;,8;998,870833;31,7;26,304167;21,3;75,75;,004167;
2023-01-10;0;998,641667;31,2;26,520833;23,6;76,041667;0;
2023-01-11;,4;999,6125;30,2;26,379167;23,5;76,666667;0;
2023-01-12;0;997,65;33,6;27,179167;22,6;73,458333;0;
2023-01-13;0;996,654167;32,2;26,495833;24,4;76,25;,0125;
2023-01-14;2,6;997,675;27,8;24,541667;22,9;85,75;0;
2023-01-15;12,6;998,6625;32,7;24,795833;22,7;83,458333;,004167;
2023-01-16;3,2;997,916667;31,1;25,045833;21,4;80,666667;0;
2023-01-17;0;997,379167;32,4;25,045833;20,9;76,75;,029167;
2023-01-18;1,8;998,454167;29,3;24,404167;22,3;82,875;0;
2023-01-19;2;1000,7;30,5;23,120833;20,9;82,916667;,008333;
2023-01-20;6,8;999,079167;33,6;25,516667;20,4;74,916667;0;
2023-01-21;0;997,845833;33,8;26,604167;22,2;73,541667;0;
2023-01-22;2,2;997,666667;32,8;26,3;21,6;75,333333;0;
2023-01-23;,2;998,108333;33,1;26,116667;23;79,083333;0;
