Nome: CAXIAS
Codigo Estacao: A237
Latitude: -4.82138888
Longitude: -43.3436111
Altitude: 84.85
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;,2;1000,783333;31,9;26,15;21,8;81,208333;,8875;
2023-01-02;1;1000,8875;31,5;26,241667;23;82,833333;1,2625;
2023-01-03;3,4;1001,15;30,4;25,975;23,1;84,291667;1,35;
2023-01-04;,2;1001,1875;33;26,475;23,1;79,416667;1,495833;
2023-01-05;0;1001,041667;34,3;27,2125;21,9;76,5;1,1125;
2023-01-06;0;1002,091667;32,3;25,954167;22,2;80,458333;1,070833;
2023-01-07;0;1002,65;33,7;26,0875;22;79,125;1,158333;
2023-01-08;0;1002,470833;33,8;25,420833;20,5;80,208333;,916667;
2023-01-09;1,8;1002,675;32,4;25,933333;23;81,708333;1,1;
2023-01-10;0;1002,245833;32,9;26,275;21,6;79,708333;1,0125;
2023-01-11;7,2;1002,841667;32,6;26,620833;22,8;77,875;1,266667;
2023-01-12;,2;1001,341667;33,7;26,545833;22,1;79,708333;1,016667;
2023-01-13;0;1000,129167;33,4;27,091667;23;76,208333;1,270833;
2023-01-14;21,8;1000,591667;30,7;25,4625;21,6;85,833333;1,141667;
2023-01-15;6;1001,770833;27,9;24,016667;23,1;90,75;,954167;
2023-01-16;20,6;1001,945833;28,4;24,016667;21,1;86,25;1,491667;
2023-01-17;5,6;1001,029167;32,5;25,254167;20,5;78,291667;1,116667;
2023-01-18;8,6;1001,554167;31,5;24,404167;21,5;84,375;1,220833;
2023-01-19;11;1003,641667;28,1;23,7875;21,7;86,666667;1,275;
2023-01-20;,8;1003,166667;31,3;24,945833;21,9;81,708333;1,120833;
2023-01-21;4,6;1001,754167;32,5;25,495833;21,6;82,125;,804167;
2023-01-22;1,6;1000,879167;33,9;27,041667;22,3;76,541667;1,0625;
2023-01-23;8,4;1002,066667;29,5;25,0625;21,9;84,625;1,004167;
2023-01-24;0;1000,508333;33,6;26,491667;23,1;79,5;1,0625;
2023-01-25;7,4;1000,165217;29,9;24,378261;22,6;88,217391;1,034783;
2023-01-26;7,6;1000,091667;31,6;25,5;20,6;81,875;,941667;
2023-01-27;0;1000,616667;32,6;26,320833;22,5;79,416667;,995833;
2023-01-28;2,6;1001,429167;33,3;26,45;21,9;77,541667;,9625;
2023-01-29;,2;1000,4875;33;26,2875;21,6;80,916667;,925;
2023-01-30;0;999,983333;28,2;24,833333;22;86,791667;1,0125;
2023-01-31;4;999,9625;33,7;25,725;21,8;83,708333;1,141667;
2023-02-01;19;1001,191667;29,6;24,658333;21,3;86,166667;1,258333;
2023-02-02;5,4;1002,508333;32,4;25,616667;22,1;83,166667;1,129167;
2023-02-03;29;1003,058333;32;25,2125;21,4;81,416667;1,3375;
2023-02-04;0;1002,616667;33,7;26,6;21,4;78,916667;,895833;
2023-02-05;7,6;1002,4375;33,8;26,2625;22,1;79,916667;1,308333;
2023-02-06;6,2;1001,504167;32,3;25,608333;22;82,916667;1,066667;
2023-02-07;11,6;1001,170833;33,4;25,116667;22,4;84,833333;1,2875;
2023-02-08;47,2;1001,041667;32,1;25,35;21,7;82,791667;1,091667;
2023-02-09;,2;1000,816667;33,2;26,483333;23;80,208333;,975;
2023-02-10;0;1000,391667;33,8;26,029167;21,8;82,916667;1,058333;
2023-02-11;11,8;1000,129167;32,2;25,733333;21,7;82,75;1,104167;
2023-02-12;0;1000,05;33,4;26,275;21,5;79,875;,895833;
2023-02-13;0;999,370833;33,6;26,854167;21,7;79,541667;1,054167;
2023-02-14;2,8;999,554167;33,2;26,304167;23;83,833333;1,075;
2023-02-15;3,2;999,679167;32,9;25,929167;22,7;83,958333;1,0125;
2023-02-16;6,4;999,1;31,3;25,929167;22,7;82,541667;1,1;
2023-02-17;1,6;998,9125;31,9;25,679167;21,7;81,958333;,975;
2023-02-18;3,6;1000,345833;29,5;24,366667;21,8;85,625;1,341667;
2023-02-19;,2;1001,041667;32,6;25,191667;23;85,333333;1,170833;
2023-02-20;56,2;1000,670833;30,2;24,691667;21,4;84,958333;1,575;
2023-02-21;,2;1000,095833;33,1;26,270833;21;78,458333;1,1125;
2023-02-22;0;1001,920833;31;25,604167;23,3;87,291667;1,020833;
2023-02-23;39;1003,570833;31,6;25,279167;22;86,166667;1,2375;
2023-02-24;,4;1002,170833;32,1;25,620833;22,9;86,041667;,904167;
2023-02-25;,2;1001,779167;33,1;26,441667;21,7;78,666667;,958333;
2023-02-26;,8;1002,404167;33,2;26,808333;21,9;75,875;1,204167;
2023-02-27;0;1002,383333;33,2;26,808333;21,9;78,291667;1,095833;
2023-02-28;0;1002,616667;33,7;26,995833;22;78,625;,983333;
2023-03-01;0;1002,170833;33;26,8875;22,2;79,125;1,008333;
2023-03-02;19,4;1000,991667;33,8;26,141667;21,1;82;1,016667;
2023-03-03;13,2;1001,245833;31,8;25,933333;22;82,458333;1,433333;
2023-03-04;3;1001,0375;33,2;26,5;23;80,666667;1,066667;
2023-03-05;0;1000,708333;33,4;25,895833;21,4;80,333333;1,0875;
