Nome: PORTO GRANDE
Codigo Estacao: A244
Latitude: 0.69416666
Longitude: -51.40388888
Altitude: 84.8
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;4,6;1001,429167;27,3;24,616667;23,6;92,958333;1,216667;
2023-01-02;17,2;1001,483333;30,9;25,054167;22,7;89,875;1,733333;
2023-01-03;1,2;1001,183333;30,6;24,604167;22,5;91,208333;1,629167;
2023-01-04;37,2;1001,741667;28,5;24,433333;22,2;92,25;1,15;
2023-01-05;26,8;1002,2;32,5;25,870833;22,8;84,5;1,908333;
2023-01-06;3,4;1001,970833;32,8;26,825;22,8;78,416667;1,808333;
2023-01-07;,2;1002,783333;32,1;25,804167;22,1;84,791667;1,5125;
2023-01-08;,6;1002,95;31,7;25,695833;22,8;87;1,325;
2023-01-09;4,6;1002,270833;32,2;26,558333;23,2;82,166667;1,954167;
2023-01-10;0;1002,641667;29,1;24,3875;22,2;90,083333;1,55;
2023-01-11;0;1002,8625;32,5;26,591667;22,3;79,416667;2,1;
2023-01-12;,2;1002,104167;31,5;26,2125;23;83,25;2,320833;
2023-01-13;,6;1000,5875;28,6;24,6625;23,7;91,875;1,7125;
2023-01-14;10,2;1001,379167;28,8;24,2375;22,8;92,791667;1,283333;
2023-01-15;4;1002,991667;25,7;23,220833;22,1;92,208333;1,745833;
2023-01-16;2,6;1001,654167;31,4;25,220833;21,4;81,958333;1,654167;
2023-01-17;,2;1001,070833;31,8;24,591667;21,7;86,791667;1,691667;
2023-01-18;17,4;1002,7875;26,8;23,754167;22,5;92,5;1,329167;
2023-01-19;14,6;1003,65;30,4;25,029167;21,9;84,375;1,283333;
2023-01-20;0;1002,8;28,9;23,9625;21,7;91,875;1,391667;
2023-01-21;29,4;1001,970833;31,9;24,854167;22;88,291667;1,841667;
2023-01-22;9,4;1001,654167;27,6;23,9625;22,2;92,833333;1,3625;
2023-01-23;18,8;1002,229167;28,1;24,579167;21,8;91,166667;1,508333;
2023-01-24;5;1001,616667;28,7;23,679167;21,7;92;1,6;
2023-01-25;12;1001,5;29,1;24,454167;22,4;88,291667;2,070833;
2023-01-26;2,4;1000,6;30,4;24,925;22,1;82,958333;1,970833;
2023-01-27;1,8;1001,308333;30,2;25,120833;22,8;84,416667;1,9375;
