Nome: MACAPA
Codigo Estacao: A249
Latitude: 0.03499999
Longitude: -51.08888888
Altitude: 16.62
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;3;1009,391667;27;25,3125;24,7;92,416667;1,1875;
2023-01-02;12,8;1009,291667;31,2;26,583333;23,5;84,208333;1,670833;
2023-01-03;0;1009,0875;29,4;26,195833;23,9;84,958333;1,566667;
2023-01-04;1,4;1009,565217;30,5;25,873913;23,2;86,304348;1,556522;
2023-01-05;2,6;1010,1;31,9;26,975;23,6;80,25;1,9875;
2023-01-06;0;1010,008696;32,2;27,721739;23,8;75,608696;2,113043;
2023-01-07;0;1010,75;32;27,295833;23,7;78,083333;1,929167;
2023-01-08;0;1010,845833;31,7;27,354167;24,2;78,541667;1,970833;
2023-01-09;0;1010,1875;32,5;27,75;24,3;76,958333;2,320833;
2023-01-10;0;1010,317391;31,6;26,843478;23,9;80,826087;1,834783;
2023-01-11;1,8;1010,9;32,3;27,459091;24;80,590909;2,109091;
2023-01-12;4,8;1010,0125;31,1;26,8375;23,6;82;2,129167;
2023-01-13;,6;1008,483333;29;25,983333;24,4;87;1,804167;
2023-01-14;8,8;1009,279167;30,7;25,5375;23,5;87,833333;1,454167;
2023-01-15;7;1010,970833;25,7;23,675;23;91,541667;1,525;
2023-01-16;21;1009,654167;31,2;25,591667;22,1;84,125;1,645833;
2023-01-17;1;1009,033333;31,7;25,5;22,4;82,916667;1,8;
2023-01-18;52;1010,85;26,8;24,066667;21,9;92,291667;1,283333;
2023-01-19;21,4;1011,820833;29,7;25,304167;22;84,708333;1,3;
2023-01-20;10,6;1010,641667;31,1;26,366667;23,1;81,041667;1,383333;
2023-01-21;1,4;1009,8875;31,4;26,3375;23,4;82,875;2,033333;
2023-01-22;3,6;1009,556522;30,9;25,356522;23,4;88,565217;1,321739;
2023-01-23;16,4;1010,145455;29,6;25,345455;24;90,681818;1,386364;
2023-01-24;5;1009,673913;27,2;24,417391;23,3;90,304348;1,352174;
2023-01-25;20,4;1009,3;30,8;25,417391;22,2;83,130435;1,634783;
2023-01-26;0;1008,5875;31,9;26,2125;23,1;77,208333;1,545833;
2023-01-27;0;1009,233333;31,3;26,3625;23,9;79,625;1,554167;
2023-01-28;5;1009,873913;30,9;26,252174;23,4;81,347826;1,573913;
2023-01-29;0;1009,220833;31,4;26,795833;23,1;78,416667;1,708333;
2023-01-30;7,8;1008,591667;29,7;25,875;22,4;83,416667;1,204167;
2023-01-31;7,8;1008,75;31,6;26,058333;23;82,041667;1,4625;
2023-02-01;6,6;1010,320833;29,7;24,35;23,3;90,125;1,483333;
2023-02-02;5,2;1011,191667;28,6;24;22,2;90,958333;1,4875;
2023-02-03;11,4;1010,408333;30,8;25,5875;22,8;85,5;1,8375;
2023-02-04;2,6;1011,409091;28,7;25,309091;23,6;89,909091;1,081818;
2023-02-05;20,8;1011,395652;29;25,895652;23,3;86,173913;1,591304;
2023-02-06;null;1009,585714;31,6;null;23,5;82,047619;1,971429;
2023-02-07;17,8;1009,429167;30,8;25,354167;23,9;90,791667;1,2875;
2023-02-08;14,8;1008,9125;31,5;26,491667;23,4;82,916667;1,8;
2023-02-09;0;1009,204167;30,4;26,304167;24,3;84,916667;1,620833;
2023-02-10;3,8;1008,7;32,3;27,4625;23,8;78,5;1,708333;
2023-02-11;,4;1009,1875;28,2;24,420833;24,5;90,875;1,429167;
2023-02-12;33,8;1008,186957;31,6;26,256522;21,9;84,826087;1,53913;
2023-02-13;0;1007,525;31,9;27,458333;24,2;80,75;1,925;
2023-02-14;3;1008,881818;27,7;24,795455;23,4;91,681818;1,490909;
2023-02-15;9,8;1008,6375;30,2;25,691667;23,5;86,458333;1,958333;
2023-02-16;7,8;1007,820833;29,8;25,5375;24;88,375;1,6375;
2023-02-17;5,2;1007,578261;29,1;25,578261;23,6;86,695652;1,678261;
2023-02-18;2,4;1008,76087;30,5;26,204348;23,8;82,782609;1,569565;
2023-02-19;,2;1009,454545;27,3;24,404545;23,7;92,181818;1,281818;
2023-02-20;26,4;1008,469565;29,8;25,178261;22,4;86,478261;1,508696;
2023-02-21;0;1009,645833;26,7;24,916667;23,6;89,375;1,245833;
2023-02-22;26;1011,547826;30,1;26,065217;23,1;84,956522;1,234783;
2023-02-23;0;1011,35;31,8;26,925;23,9;79,75;1,441667;
2023-02-24;0;1010,534783;31,9;26,865217;23,7;80,217391;1,730435;
2023-02-25;2,4;1010,175;30,7;26,029167;23,7;85,25;1,275;
2023-02-26;13,2;1010,286957;30,7;26,047826;23,5;84,782609;1,543478;
2023-02-27;21,4;1010,7875;31,8;27,15;22,8;80,916667;1,754167;
2023-02-28;0;1011,166667;31,9;27,4125;24,6;81,333333;1,8375;
