Nome: NATAL
Codigo Estacao: A304
Latitude: -5.83722221
Longitude: -35.20805555
Altitude: 47.46
Situacao: Pane
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;null;null;null;null;null;null;
2023-01-02;null;null;null;null;null;null;null;
2023-01-03;null;null;null;null;null;null;null;
2023-01-04;null;null;null;null;null;null;null;
2023-01-05;null;null;null;null;null;null;null;
2023-01-06;null;null;26,6;null;null;null;null;
2023-01-07;null;null;null;null;null;null;null;
2023-01-08;null;null;null;null;null;null;null;
2023-01-09;null;null;null;null;null;null;null;
2023-01-10;null;null;null;null;null;null;null;
2023-01-11;null;null;null;null;null;null;null;
2023-01-12;null;null;30,2;null;null;null;null;
2023-01-13;null;null;27;null;null;null;null;
2023-01-14;null;null;null;null;null;null;null;
2023-01-15;null;null;28,5;null;null;null;null;
2023-01-16;null;null;30,7;null;null;null;null;
2023-01-17;null;null;31,2;null;null;null;null;
2023-01-18;null;1006,304167;30,5;25,754167;23,5;86,125;3,133333;
2023-01-19;26,4;1006,65;30,5;null;23,3;84,75;3,01;
2023-01-20;null;1007,421053;30,6;null;25,7;73,315789;3,831579;
2023-01-21;,2;1006,595833;30,7;27,833333;25,6;76,875;3,345833;
2023-01-22;0;1005,9125;31,3;27,954167;25,3;78,166667;2,975;
2023-01-23;,2;1005,779167;31,1;28,079167;26,3;78,375;3,55;
2023-01-24;0;1004,913043;31,2;27,882609;26,5;73,086957;3,63913;
2023-01-25;5,4;1004,704167;30,8;27,175;24,3;74,25;3,358333;
2023-01-26;0;1004,8;31,5;27,791667;25,9;74,25;2,883333;
2023-01-27;1,2;1005,8125;30,9;27,5875;24,7;79,166667;3,525;
2023-01-28;0;1006,429167;31,1;28,333333;26,8;70,666667;4,979167;
2023-01-29;0;1005,7125;31;27,845833;24,8;71,791667;4,529167;
2023-01-30;0;1004,575;31;28,283333;26,7;73,875;4,933333;
2023-01-31;0;1005,070833;31,3;28,170833;25,4;73,458333;4,525;
2023-02-01;0;1006,0625;31;28,2;26,6;73,5;3,9875;
2023-02-02;0;1007,104167;31,7;28,354167;26,9;74,208333;4,570833;
2023-02-03;0;1007,991667;31,1;28,258333;26,1;72,958333;4,5;
2023-02-04;0;1008,270833;31,7;28,433333;26,9;73,583333;4,345833;
2023-02-05;,2;1007,283333;31,4;28,15;25,6;76,75;2,929167;
2023-02-06;3,6;1006,495833;30,7;27,0125;24,8;81,75;3,191667;
2023-02-07;1,2;1006,008333;31,1;27,775;25;69,083333;4,366667;
2023-02-08;,2;1005,716667;30,9;27,291667;23,8;73,041667;4,1625;
2023-02-09;0;1005,891667;30,9;27,908333;25,1;79,041667;4,05;
2023-02-10;3;1005,679167;31,2;28,1125;23,8;76,791667;4,654167;
2023-02-11;5;1005,383333;30,8;27,579167;23,1;75;4,225;
2023-02-12;0;1005,283333;31,7;27,829167;24,5;76,791667;3,954167;
2023-02-13;,4;1005,2625;31,3;28,5;26,1;77,291667;5,0625;
2023-02-14;0;1005,025;31,4;28,495833;27,2;76,375;4,716667;
2023-02-15;0;1004,454167;31,9;28,608333;27,2;77,416667;4,3;
2023-02-16;0;1003,3875;30,9;28,329167;27,4;76,625;4,308333;
2023-02-17;0;1003,429167;30,8;28,091667;26,9;75,083333;4,075;
2023-02-18;0;1004,716667;31;28,279167;26,9;72,625;3,825;
2023-02-19;0;1005,370833;31,7;28,333333;27;73,666667;3,570833;
2023-02-20;0;1005,45;31;28,016667;27,3;76,916667;4,2;
2023-02-21;3,8;1005,341667;31,4;28,075;25;74,833333;4,858333;
2023-02-22;30,2;1006,429167;30,8;26,945833;24,2;87,125;3,2875;
2023-02-23;1,2;1006,583333;31,5;27,879167;25,2;82,791667;3,458333;
2023-02-24;10,8;1006,679167;30,6;27,075;24,3;85,458333;2,716667;
2023-02-25;4,2;1006,775;30,9;26,9;24;83,958333;2,425;
2023-02-26;,2;1007,516667;31,3;28,416667;26,8;75,5;4,370833;
2023-02-27;0;1007,991667;31,4;28,5625;27,2;73,166667;4,583333;
2023-02-28;0;1008,2875;31,1;28,429167;27;74,208333;4,716667;
2023-03-01;,2;1007,529167;31,2;28,245833;24,9;74,25;4,3;
2023-03-02;11,6;1006,1875;29,3;26,441667;24,4;86,458333;3,833333;
2023-03-03;54,2;1006,4375;29,4;26,416667;23,4;86,375;3,4875;
2023-03-04;0;1005,75;31,1;28,316667;26,8;76,583333;4,625;
2023-03-05;0;1006,116667;30,5;28,15;26,9;77,125;4,141667;
2023-03-06;0;1005,995833;31;28,3;27;76,25;4,4625;
2023-03-07;0;1005,529167;31;28,45;27;73,916667;4,970833;
2023-03-08;9,2;1005,604167;30,4;26,745833;23,6;81,75;3,670833;
2023-03-09;17,2;1006,091667;30,9;26,766667;23,8;83,125;3,733333;
2023-03-10;,2;1006,433333;30,9;27,495833;24,2;78,125;3,608333;
2023-03-11;0;1005,6375;30,8;28,079167;24,8;75,75;3,708333;
2023-03-12;0;1005,425;31,2;28,033333;24,7;77,458333;3,75;
2023-03-13;0;1005,3125;31;28,4;26,5;76,375;3,779167;
2023-03-14;0;1005,645833;30,7;28,0875;26,6;78,125;3,116667;
2023-03-15;4,4;1004,9625;30,4;27,158333;24,4;83,5;2,4875;
2023-03-16;12,6;1005,166667;28,5;25,258333;23,6;91,708333;1,625;
2023-03-17;10,4;1005,754167;30;26,0875;23,7;87,791667;1,316667;
2023-03-18;31,8;1006,491667;30,3;25,5625;23,2;88,75;1,75;
2023-03-19;52,6;1007,670833;27,6;24,6;22,4;91;1,5125;
2023-03-20;5,8;1006,570833;30,9;26,970833;24;81,041667;2,3875;
2023-03-21;,4;1006,666667;31,1;27,2625;24,7;81,75;1,820833;
2023-03-22;0;1007,266667;29,5;26,070833;22,2;85,458333;3,279167;
2023-03-23;,4;1006,295833;30,5;26,841667;22,7;80,666667;3,779167;
2023-03-24;,2;1005,570833;30,1;27,145833;23,9;80,875;2,745833;
2023-03-25;,2;1006,141667;30,5;27,075;23,8;84,541667;1,870833;
2023-03-26;,2;1006,320833;30,5;26,7125;24,8;88,125;3,454167;
2023-03-27;,4;1006,079167;30,6;26,433333;22,9;85,5;2,925;
2023-03-28;,2;1006,03913;30,4;27,53913;24,3;78,26087;3,169565;
2023-03-29;78,8;1006,373913;30,7;27,230435;23,6;82,782609;2,66087;
2023-03-30;2;1006,982609;30,1;26,26087;24,1;86,782609;3,065217;
2023-03-31;2,8;1006,508333;30,2;27,091667;24;78,5;3,329167;
