Nome: FORTALEZA
Codigo Estacao: A305
Latitude: -3.81583333
Longitude: -38.53777777
Altitude: 29.55
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;1,2;1008,343478;32,4;28,265217;25,9;68,043478;3,013043;
2023-01-02;,6;1008,5;32,6;28,020833;24,4;72,375;2,520833;
2023-01-03;4,6;1008,554167;32,6;27,95;24,6;72,458333;2,870833;
2023-01-04;0;1008,745833;32,7;28,170833;25,2;68,333333;3,008333;
2023-01-05;0;1009,275;32,9;28,2375;25,5;67,25;2,641667;
2023-01-06;0;1009,7625;31,6;27,65;23,7;69,625;2,258333;
2023-01-07;0;1010,2875;32,5;28,141667;24,1;66,291667;2,725;
2023-01-08;0;1010,204167;32,5;28,095833;25,6;69,458333;2,841667;
2023-01-09;,2;1010,191667;32,8;28,375;25,7;67,625;3,0125;
2023-01-10;0;1010,326087;32,6;28,321739;25,9;67,608696;3,173913;
2023-01-11;0;1010,116667;33;28,629167;26,1;66,583333;3,195833;
2023-01-12;1,2;1009,017391;33,1;28,334783;25,1;68,173913;3,134783;
2023-01-13;0;1008,125;32,8;28,341667;26,1;66,5;2,920833;
2023-01-14;5,4;1007,969565;31,3;26,956522;23,7;76,26087;2,373913;
2023-01-15;6,6;1008,595833;31,7;27,2;23,7;74,791667;2,108333;
2023-01-16;41,2;1008,566667;29,7;26,108333;22,3;76,956522;1,4875;
2023-01-17;8,6;1008,545833;31,5;27,129167;22,5;74,083333;2,3125;
2023-01-18;,8;1008,504167;31,5;26,483333;24,9;77,208333;1,7625;
2023-01-19;20,4;1009,733333;27,7;24,866667;23,1;85;,866667;
2023-01-20;5,4;1010,1;29,3;25,404167;23;76,538462;,604167;
2023-01-21;20;1009,016667;31,5;26,879167;23,4;75,578947;1,6125;
2023-01-22;,6;1008,3625;31,6;27,558333;24,1;75,25;1,645833;
2023-01-23;0;1008,616667;32,4;27,704167;24;71,875;1,395833;
2023-01-24;1,2;1007,704167;28,5;25,5125;23,8;83,583333;,616667;
2023-01-25;38,2;1007,4875;27,7;24,745833;22,8;84,705882;1,145833;
2023-01-26;13,2;1007,3375;30,7;26,395833;23,3;75,333333;1,466667;
2023-01-27;0;1008,0875;32;26,991667;22,8;73,869565;1,729167;
2023-01-28;,2;1008,816667;32,4;28,075;24,1;69,291667;2,15;
2023-01-29;,2;1008,054167;32,1;28,029167;24,4;65,333333;2,333333;
2023-01-30;31,2;1006,965217;30,7;26,856522;23,7;75,227273;1,656522;
2023-01-31;26,6;1007,2875;31,2;27,120833;23,9;74,681818;2,145833;
2023-02-01;22;1008,275;28,6;26,454167;23,8;80,166667;1,979167;
2023-02-02;8,2;1009,283333;31,9;27,825;24,1;74,541667;1,8375;
2023-02-03;,4;1010,166667;31,5;28,170833;25,3;68,166667;2,6625;
2023-02-04;2,2;1010,508696;31,8;28,03913;25,2;71,478261;2,447826;
2023-02-05;1;1009,891667;31,7;27,829167;24,3;73,958333;2,004167;
2023-02-06;4,8;1008,9125;30,9;26,9125;24,3;78,75;1,0875;
2023-02-07;4;1008,1625;30;26,075;23,9;77;1,566667;
2023-02-08;,6;1008,041667;31,5;27,391667;24,5;69,625;2,133333;
2023-02-09;9,4;1008,395833;30,4;26,6125;24,2;79,375;1,1875;
2023-02-10;2,2;1007,729167;31,4;27,7125;25,1;75,708333;2,533333;
2023-02-11;1,8;1007,404167;31,6;28,029167;25,2;69,125;2,708333;
2023-02-12;0;1007,6375;31,6;27,508333;23,8;72,583333;1,870833;
2023-02-13;12,2;1007,141667;30,9;27,525;24,5;77,26087;2,141667;
2023-02-14;2;1007,225;31,2;28,141667;25,4;74,583333;2,783333;
2023-02-15;8,8;1007,054167;28,8;25,954167;25,3;85;1,175;
2023-02-16;48,4;1006,254167;26,5;24,954167;22,4;87,304348;,520833;
2023-02-17;14,6;1005,741667;31,1;26,995833;23,8;68,923077;1,708333;
2023-02-18;,8;1007,029167;31,3;27,6125;24,8;73,916667;2,0625;
2023-02-19;0;1007,925;30,9;27,8;25,7;70,416667;2,0375;
2023-02-20;10,8;1007,766667;30,3;26,233333;23,1;80,125;1,641667;
2023-02-21;,6;1007,3375;31,4;27,408333;23,9;74,166667;2,166667;
2023-02-22;,2;1008,775;30,6;27,983333;26,7;73,166667;2,404167;
2023-02-23;29,8;1009,504167;30,8;26,633333;23,5;80,157895;,916667;
2023-02-24;29,6;1010,029167;29,6;24,395833;22,6;null;,654167;
2023-02-25;82;1009,241667;30,4;25,804167;22,8;72,692308;1,041667;
