Nome: PARNAIBA
Codigo Estacao: A308
Latitude: -3.08666666
Longitude: -41.78305554
Altitude: 52.11
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;1004,375;34,8;27,145833;22,3;null;2,6125;
2023-01-02;0;1004,604167;33,7;27,104167;22,6;null;2,920833;
2023-01-03;4,2;1004,441667;32,5;26,7125;23,6;null;2,9125;
2023-01-04;2,2;1004,7375;32,1;26,966667;22,6;null;2,745833;
2023-01-05;,2;1005,075;33,8;27,5875;23,9;null;3,5;
2023-01-06;0;1005,554167;32,8;26,9875;22,8;null;2,991667;
2023-01-07;0;1006,2375;34,6;27,595833;23,5;null;2,916667;
2023-01-08;0;1006,166667;33,7;27,620833;22,7;null;3,0375;
2023-01-09;0;1006,258333;33,1;27,395833;23,7;null;3,008333;
2023-01-10;0;1006,108333;34,1;27,4625;23,5;null;3,383333;
2023-01-11;0;1006,279167;33,7;27,816667;24,3;null;3,591667;
2023-01-12;0;1005,075;35,3;27,670833;23,3;null;2,954167;
2023-01-13;0;1003,866667;34,3;27,95;23,8;null;3,6;
2023-01-14;0;1003,616667;35;27,8875;24,6;null;3,516667;
2023-01-15;0;1005,079167;33;26,029167;23,9;null;2,054167;
2023-01-16;15;1005,654167;26,7;24,075;23,1;null;1,55;
2023-01-17;5,6;1004,579167;32,7;25,566667;21,3;null;2,045833;
2023-01-18;,8;1004,9375;32,5;25,2875;21,9;null;2,066667;
2023-01-19;3,6;1006,379167;32,5;26,158333;21,7;null;2,0125;
2023-01-20;21,2;1006,754167;32,4;25,129167;22,3;null;1,529167;
2023-01-21;5,6;1005,525;31,7;25,883333;23;null;2,604167;
2023-01-22;0;1004,583333;33,2;27,0125;23,3;null;2,8125;
2023-01-23;0;1005,395833;32,1;26,595833;23,1;null;2,191667;
2023-01-24;12,2;1004,329167;31,2;26,1;23,8;null;2,054167;
2023-01-25;13,6;1004,075;31,2;24,266667;20,7;null;1,758333;
2023-01-26;62;1003,6625;32,2;25,5;21,5;null;2,383333;
2023-01-27;,2;1004,458333;32;26,141667;22,2;null;2,304167;
2023-01-28;,4;1005,1;33,1;26,795833;22,4;null;2,658333;
2023-01-29;,2;1004;33;27,091667;23,8;null;2,9375;
2023-01-30;0;1003,458333;32,4;26,116667;23,1;null;2,125;
2023-01-31;2,6;1003,629167;31,7;25,770833;22,8;null;2,079167;
2023-02-01;0;1004,654167;31;25,616667;23,8;null;2,391667;
2023-02-02;11,8;1006,045833;30,2;25,970833;22,9;null;2,258333;
2023-02-03;11,6;1006,529167;32,5;25,995833;22,1;null;1,875;
2023-02-04;0;1006,6;31,8;26,508333;24,2;null;3,0375;
2023-02-05;14,4;1006,108333;32;26,404167;21,8;null;2,7;
2023-02-06;,8;1005,2625;30,9;26,245833;23,1;null;2,225;
2023-02-07;,2;1004,5375;33;26,366667;22,5;null;1,933333;
2023-02-08;1,6;1004,433333;33,1;26,729167;22,4;null;2,2625;
2023-02-09;,2;1004,4875;33,7;27,445833;23,8;null;2,683333;
2023-02-10;0;1004,0875;32,9;26,5875;23,3;null;2,0625;
2023-02-11;0;1003,55;33,3;27,133333;23,3;null;2,729167;
2023-02-12;0;1003,716667;33;26,933333;22,9;null;2,708333;
2023-02-13;0;1003,316667;32,6;26,116667;23,9;null;2,366667;
2023-02-14;9,2;1003,441667;32,1;26,658333;23,1;null;2,779167;
2023-02-15;,2;1003,445833;29,4;26,120833;23,9;null;2,15;
2023-02-16;11,4;1002,829167;29,6;24,595833;23,1;null;1,675;
2023-02-17;37,2;1002,383333;31,2;25,3;21,5;null;1,995833;
2023-02-18;2,6;1003,658333;31,4;25,5875;23,5;null;1,7875;
2023-02-19;2,4;1004,55;28,5;25,0875;23,3;null;1,983333;
2023-02-20;7,2;1003,85;31;26,054167;23,5;null;1,095833;
2023-02-21;0;1003,608333;32,4;26,9625;22,8;null;1,9375;
2023-02-22;3,4;1005,6375;29,1;25,7375;23,4;null;2,520833;
2023-02-23;6,2;1006,858333;29,6;24,883333;23,4;null;1,020833;
2023-02-24;9,4;1006,341667;29,1;24,558333;22,3;null;1,5625;
2023-02-25;5;1005,5625;31,3;25,191667;21,8;null;2,091667;
2023-02-26;3,6;1006,104167;32,1;25,095833;22,3;null;1,875;
2023-02-27;1,2;1006,191667;33,2;26,483333;23,3;null;2,525;
2023-02-28;,2;1006,695833;33;27,258333;23,9;null;2,629167;
2023-03-01;0;1006,095833;32,9;27,125;23,9;null;2,695833;
2023-03-02;0;1004,725;32;26,791667;23,8;null;2,7375;
2023-03-03;,6;1004,995833;30,1;25,420833;23,1;null;1,95;
2023-03-04;8,4;1004,620833;32,4;25,658333;22,7;null;2,041667;
2023-03-05;0;1004,595833;31,6;25,7125;22,5;null;2,270833;
2023-03-06;2,8;1004,091667;31,7;25,870833;23,4;88,833333;2,225;
2023-03-07;13,6;1003,625;32,8;27,304167;22,4;83,958333;2,9;
2023-03-08;0;1003,529167;33,4;27,375;23;84,208333;2,654167;
2023-03-09;0;1004,3875;32,4;26,345833;23,1;89;2,1125;
2023-03-10;,4;1005,55;30,9;26,004167;23,4;89,416667;1,766667;
2023-03-11;,2;1004,4;32,5;26,354167;22,8;88,75;2,304167;
2023-03-12;,6;1004,404167;31,8;26,233333;23,5;92,5;2,120833;
2023-03-13;8;1004,9;30,6;25,825;23,9;95,791667;1,558333;
2023-03-14;14,2;1005,620833;30,4;25,05;22,6;96,125;1,241667;
2023-03-15;1,2;1005,254167;32,1;25,541667;23,5;93,208333;1,045833;
2023-03-16;,6;1004,7875;32,3;25,354167;22,1;92,375;1,175;
2023-03-17;1,6;1005,491667;29,7;25,25;23,1;94,416667;1,1;
2023-03-18;6;1006,204167;29,3;24,4125;22,7;96,333333;1,225;
2023-03-19;9;1006,25;30,4;25,070833;22,4;93,541667;1,466667;
2023-03-20;5,2;1007,025;25,9;23,35;22,5;99,416667;1,25;
2023-03-21;33,4;1006,908333;31,5;25,158333;22,2;91;,970833;
2023-03-22;,6;1006,883333;31,5;25,391667;22,1;90,375;1,545833;
2023-03-23;0;1005,1;32,4;25,108333;21,6;92,5;1,604167;
2023-03-24;21;1005,5875;30,8;24,354167;21,9;96,583333;1,341667;
2023-03-25;24;1005,266667;31,8;25,958333;21,8;90,708333;1,516667;
2023-03-26;0;1005,758333;31,3;25,879167;23,3;92,291667;1,9125;
2023-03-27;21,6;1005,7;29,8;24,45;22,6;97,583333;1,075;
2023-03-28;39,2;1005,420833;30,7;24,991667;22;92,458333;1,275;
2023-03-29;1,4;1005,829167;30,9;25,7625;22,2;91,125;1,583333;
2023-03-30;0;1005,6;31;26,075;22,6;91,5;1,920833;
2023-03-31;6,8;1005,583333;32,6;25,783333;22,4;91,5;1,5625;
2023-04-01;28,4;1005,504167;31,1;25,520833;23,2;94,833333;1,308333;
2023-04-02;1,8;1005,579167;30,2;25,579167;23,2;93,583333;1,3625;
2023-04-03;26,8;1004,708333;31,4;25,708333;21,7;90,416667;1,1875;
2023-04-04;,2;1004,083333;32,9;25,795833;22,5;92,083333;1,441667;
2023-04-05;15,2;1003,379167;31,7;26,125;23,2;92,666667;1,575;
2023-04-06;7,8;1003,875;30,2;25,341667;23,2;95;1,195833;
2023-04-07;0;1004,0375;30,4;24,7125;22,3;96,208333;1,108333;
2023-04-08;18;1004,991667;30,7;25,675;22,5;93,875;1,408333;
2023-04-09;21,4;1005,583333;32,6;25,345833;22,7;93,75;1,166667;
2023-04-10;22,2;1006,395833;32,5;25,220833;23;93,666667;1,3875;
2023-04-11;14,8;1005,175;32,3;26,325;22,7;91,125;1,7;
2023-04-12;0;1004,154167;32,1;26,825;22,2;88,833333;1,833333;
