Nome: MACAU
Codigo Estacao: A317
Latitude: -5.15111111
Longitude: -36.57305554
Altitude: 17.37
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;1008,883333;33,3;28,325;23,2;63,833333;5,058333;
2023-01-02;0;1009,079167;32,7;27,8875;23,2;68,652174;4,291667;
2023-01-03;0;1009,2625;32,5;27,495833;23,3;69,954545;3,991667;
2023-01-04;7,2;1009,404167;34,1;27,7875;22,3;62,55;4,404167;
2023-01-05;0;1009,770833;34;27,641667;22,2;63,904762;4,645833;
2023-01-06;0;1010,195833;33,2;27,466667;21,7;61,157895;4,883333;
2023-01-07;0;1010,791667;33,7;27,545833;21,9;64,727273;4,6625;
2023-01-08;0;1010,8;33,3;27,908333;22,9;64,318182;4,079167;
2023-01-09;0;1010,666667;33;27,991667;23;68,083333;5,133333;
2023-01-10;0;1010,858333;32,7;28,125;23,3;65,25;5,1;
2023-01-11;0;1010,6;33,6;28,0875;23,4;65,625;4,691667;
2023-01-12;0;1009,666667;35,6;27,520833;22,4;68,5;4,020833;
2023-01-13;2,8;1008,579167;33,2;27,995833;22,6;64,571429;4,704167;
2023-01-14;0;1008,220833;35,8;28,466667;23,2;62,409091;4,966667;
2023-01-15;0;1009,0375;34,2;28,0625;23,2;63,875;4,3625;
2023-01-16;0;1008,854167;32,4;27,7125;23;66,125;4,733333;
2023-01-17;0;1009,345833;33,3;27,770833;23,1;65,833333;4,775;
2023-01-18;0;1009,304167;32,8;26,791667;22,6;69,083333;3,358333;
2023-01-19;,8;1009,666667;33,4;27,583333;23,4;69,458333;4,333333;
2023-01-20;,2;1010,45;33,6;27,733333;23,3;68,095238;4,025;
2023-01-21;0;1009,583333;33,4;28,045833;22,9;67,217391;4,475;
2023-01-22;0;1008,879167;33,4;28,145833;23,5;69,608696;4,5625;
2023-01-23;0;1009,05;32,5;27,845833;23,6;70;4,254167;
2023-01-24;0;1007,95;32,9;28,154167;24,2;68,333333;4,633333;
2023-01-25;0;1007,65;32;27,933333;24,1;64,166667;4,791667;
2023-01-26;0;1007,870833;32,3;27,275;21,8;66,708333;4,55;
2023-01-27;0;1008,570833;33,8;28,483333;23,2;63,708333;4,483333;
2023-01-28;0;1008,966667;35,5;28,666667;22,8;60,217391;4,741667;
2023-01-29;0;1008,508333;34;28,208333;22,6;59,5;4,545833;
2023-01-30;0;1007,383333;34,4;28,1125;23,3;65,791667;4,041667;
2023-01-31;0;1007,608333;35,4;28,445833;23,2;64,708333;4,65;
2023-02-01;null;1008,670833;33,6;28,358333;23;63,791667;4,720833;
2023-02-02;null;1009,495833;35,3;28,895833;23,4;62,791667;4,7875;
2023-02-03;null;1010,454167;34,8;28,65;23;62,625;5,0375;
2023-02-04;null;1010,908333;34,2;28,675;23,9;62,916667;4,795833;
2023-02-05;null;1010,4125;33;28,3;23,7;67,875;4,108333;
2023-02-06;null;1009,7;32,3;26,616667;23,4;71,222222;3,1;
2023-02-07;null;1008,733333;35,2;27,625;22,1;55,6;3,670833;
2023-02-08;null;1008,445833;34,4;27,620833;21,8;62,375;4,091667;
2023-02-09;null;1008,695833;35,1;28,1875;23,7;68;3,7;
2023-02-10;null;1008,1375;35,1;28,670833;24,8;66,083333;4,775;
2023-02-11;null;1007,7625;35,1;28,741667;24,1;62,541667;4,483333;
2023-02-12;null;1007,95;34,6;28,158333;22,4;66,75;4,129167;
2023-02-13;null;1007,629167;34,4;29,3875;25,5;63,375;4,395833;
2023-02-14;null;1007,554167;34,5;29,3375;24,6;63,916667;4,633333;
2023-02-15;null;1007,133333;34,2;28,883333;24,2;65,521739;4,691667;
2023-02-16;null;1006,158333;34,3;29;25;66,125;4,2125;
2023-02-17;null;1006,25;33,1;28,416667;25,1;67,041667;4,2125;
2023-02-18;null;1007,65;33,4;28,079167;24,6;66,333333;4,120833;
2023-02-19;null;1008,416667;33,1;28,008333;24,1;67,75;3,925;
2023-02-20;null;1008,383333;34,3;28,6875;25,2;63,791667;3,308333;
2023-02-21;null;1007,675;35,5;29,745833;25,4;55,375;5,058333;
2023-02-22;null;1009,379167;35;28,133333;25,5;66,1;3,666667;
2023-02-23;null;1010,0125;31,9;26,904167;24,8;72,166667;2,8125;
2023-02-24;null;1010,3625;30,2;25,041667;22,1;null;2,3625;
2023-02-25;null;1009,920833;31,3;26,166667;21,3;68,071429;3,666667;
2023-02-26;null;1010,220833;33,3;28,154167;23,2;62,647059;3,783333;
2023-02-27;null;1010,491667;35,4;28,741667;23,4;62,428571;4,483333;
2023-02-28;null;1010,970833;34,6;28,545833;23,4;60,75;4,270833;
2023-03-01;null;1010,108333;34,9;29;23,5;62,958333;4,541667;
2023-03-02;null;1008,9;35,2;27,629167;23,8;69,608696;3,575;
2023-03-03;null;1009,629167;29,2;26,1125;23,9;77,411765;3,308333;
