Nome: IGUATU
Codigo Estacao: A319
Latitude: -6.39638888
Longitude: -39.26888888
Altitude: 221.56
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;985,358333;34,5;28,816667;23,1;52,083333;2,275;
2023-01-02;19,4;985,729167;33,4;27,004167;21,7;63,8;2,191667;
2023-01-03;8,6;985,666667;33,8;27,529167;22,7;57,75;2,133333;
2023-01-04;0;985,904167;34,3;28,054167;23,6;59,136364;2,025;
2023-01-05;0;986,0625;34,7;27,958333;22,6;55,227273;2,058333;
2023-01-06;0;986,7375;34,7;27,758333;20,9;56,521739;1,6;
2023-01-07;0;987,295833;35,3;28,083333;22,2;54,791667;2,041667;
2023-01-08;0;987,0375;35,6;28,991667;24;53,5;2,391667;
2023-01-09;0;987,116667;34,2;28,295833;24,3;59,5;1,804167;
2023-01-10;0;987,395833;34;28,241667;24,7;57,958333;2,758333;
2023-01-11;0;987,2875;35,6;28,379167;22,5;57;1,520833;
2023-01-12;0;985,933333;35,8;28,004167;24,1;64,083333;2,0125;
2023-01-13;2,4;984,954167;35,5;28,895833;24,7;56,75;2,304167;
2023-01-14;0;985,029167;34,3;28,729167;24,8;57,958333;2,3625;
2023-01-15;9;985,85;32,8;27,141667;23,7;63,375;1,845833;
2023-01-16;7,6;986,25;30,8;25,179167;21,7;72,466667;1,658333;
2023-01-17;,2;986,05;32,3;25,245833;22,8;76,833333;1,8875;
2023-01-18;4,2;985,9875;33;25,7;20,7;52,666667;2,358333;
2023-01-19;59,4;987,295833;31,1;25,291667;21,6;68,25;1,683333;
2023-01-20;33,4;987,808333;29,6;24,633333;21,8;null;1,445833;
2023-01-21;1;986,304167;33,1;26,6875;22,9;60,416667;1,083333;
2023-01-22;,2;985,6625;32,5;27,395833;23,6;65,833333;1,908333;
2023-01-23;0;986,045833;32,8;27,145833;23,7;70,722222;1,395833;
2023-01-24;3,4;985,066667;30,8;25,833333;23,2;77,642857;1,5625;
2023-01-25;5,8;984,55;30,4;25,416667;22;76,25;1,975;
2023-01-26;0;984,75;31,2;26,0375;23,1;69,875;2,091667;
2023-01-27;0;985,6125;32,1;26,466667;21,8;67,578947;1,795833;
2023-01-28;1,2;986,5375;32,1;26,595833;22,4;65,117647;1,616667;
2023-01-29;,2;985,645833;31,8;26,933333;22,7;61;1,933333;
2023-01-30;0;984,529167;32,5;26,133333;21,5;75,652174;1,291667;
2023-01-31;4,8;984,779167;31,5;26,241667;22,3;76,722222;1,525;
2023-02-01;23,6;985,745833;31,4;26,266667;21,5;69,75;1,833333;
2023-02-02;93,6;986,895833;31,9;26,325;21,2;71,153846;1,175;
2023-02-03;1,8;987,783333;30,8;26,2625;22,5;76;1,395833;
2023-02-04;,2;987,833333;32,3;26,95;23,3;61,615385;1,479167;
2023-02-05;0;987,270833;31,8;27,4875;24,3;70,761905;1,891667;
2023-02-06;,4;986,454167;31,3;26,208333;22,7;71,0625;1,804167;
2023-02-07;,2;986,108333;31,3;25,7;21,9;61,733333;1,929167;
2023-02-08;0;985,695833;32;25,708333;21,4;57,647059;1,5;
2023-02-09;0;985,833333;33,3;25,9875;19,3;69,055556;1,304167;
2023-02-10;5,8;985,025;33,6;27,420833;23,2;72,894737;1,545833;
2023-02-11;0;984,808333;33,6;27,179167;23,1;64;2,004167;
2023-02-12;0;984,995833;33,1;26,858333;22,3;69,631579;1,25;
2023-02-13;0;984,75;33,4;27,866667;23,2;67,190476;2,025;
2023-02-14;14,8;984,645833;33,6;27,325;21,2;62,857143;1,641667;
2023-02-15;0;984,454167;32,6;27,520833;23,1;68,368421;1,779167;
2023-02-16;23,4;983,6;30,4;25,875;21,8;79,823529;1,479167;
2023-02-17;11;983,175;32,9;26,791667;21,9;69,166667;1,179167;
2023-02-18;56;984,733333;30,6;25,241667;20,9;73,307692;1,720833;
2023-02-19;0;985,433333;32,2;26,508333;23;70,2;1,391667;
2023-02-20;3,2;986,3375;26,9;24,1125;21,3;88,083333;1,566667;
2023-02-21;0;985,083333;32,3;26,766667;22,8;67,5625;1,766667;
2023-02-22;0;986,6625;32,8;26,7375;24,2;null;1,729167;
2023-02-23;23,6;987,375;32,2;26,104167;21,7;null;1,008333;
2023-02-24;22,6;987,083333;31,6;25,35;21;null;1,7125;
2023-02-25;,8;986,904167;31,1;25,3125;21,9;null;1,583333;
2023-02-26;10,6;987,429167;32,1;26,520833;23,1;67,692308;1,525;
2023-02-27;,2;987,558333;32,4;26,970833;23,6;66,866667;1,895833;
2023-02-28;,6;988,208333;31,9;26,629167;22,7;66,4;2,041667;
2023-03-01;0;987,354167;32,6;26,933333;22,8;63,666667;2,129167;
2023-03-02;0;985,883333;33,4;27,433333;22,7;64,375;1,608333;
2023-03-03;26,6;986,3625;31,5;25,933333;22,3;70,214286;1,970833;
2023-03-04;0;985,804167;32,9;26,820833;23;62,769231;1,4875;
2023-03-05;,4;985,6;33,6;27,366667;23,3;70,941176;1,391667;
2023-03-06;,2;985,333333;33,8;27,341667;23,7;67,058824;1,8125;
2023-03-07;0;984,945833;34,1;27,616667;22,5;67,3;1,704167;
2023-03-08;0;985,066667;34,1;27,654167;22,4;61,263158;1,8625;
2023-03-09;0;985,5875;33,5;27,920833;23,5;67,666667;1,829167;
2023-03-10;0;986,2625;32,1;27,016667;23,6;72,590909;1,5125;
2023-03-11;0;985,225;34,4;27,733333;23;67,722222;1,6;
2023-03-12;30,6;985,241667;33,3;26,545833;22,3;75,307692;1,370833;
2023-03-13;48,2;985,595833;31,2;25,6625;21,7;85,846154;1,591667;
2023-03-14;13;986,275;30,4;25,554167;22,7;null;1,595833;
2023-03-15;0;986,083333;30,6;25,054167;21,8;73,166667;1,4125;
2023-03-16;6;985,225;31,6;26,1;22,5;68,615385;1,7125;
2023-03-17;,2;985,983333;31,4;25,795833;22,6;71,066667;1,729167;
2023-03-18;3,2;987,058333;30,7;24,479167;21,5;79,25;1,791667;
2023-03-19;17,6;987,441667;30,5;24,341667;21,9;null;1,441667;
2023-03-20;9,2;987,333333;30,2;24,658333;23,1;null;1,479167;
2023-03-21;,8;987,783333;31,2;24,870833;21,9;78;1,0875;
2023-03-22;43,8;988,083333;31,3;25,329167;21,2;71,714286;1,95;
2023-03-23;0;986,466667;31,9;26,379167;22,5;66,357143;2,004167;
2023-03-24;0;986,120833;30,9;26,133333;23;71,133333;1,683333;
2023-03-25;,8;986,225;31,3;25,979167;22,3;73,25;1,425;
2023-03-26;0;986,441667;33,2;26,816667;23,6;null;1,583333;
2023-03-27;29,4;986,716667;31,3;25,6125;21,4;72,333333;1,841667;
2023-03-28;2,6;986,583333;30,8;25,3875;22,4;null;1,475;
2023-03-29;0;986,725;29,3;25,15;22,9;null;1,241667;
2023-03-30;8;987,308333;29;24,65;23,2;null;1,375;
2023-03-31;5,2;986,916667;31,2;26,270833;23,3;68,571429;1,95;
2023-04-01;0;986,195833;29,9;24,15;22,1;null;1,475;
2023-04-02;29,6;986,116667;32,3;25,983333;21,8;74,5;1,279167;
2023-04-03;0;985,475;32,5;25,1125;23,4;null;1,4375;
2023-04-04;60,2;984,879167;31,4;25,054167;21,3;null;1,325;
2023-04-05;10,6;984,745833;29,1;24,591667;21,3;null;1,258333;
2023-04-06;1,6;984,616667;31,2;25,779167;22,7;null;1,5625;
2023-04-07;0;985,2375;31,5;26,066667;23,3;null;1,404167;
2023-04-08;5;985,733333;32;25,675;23,9;null;1,183333;
2023-04-09;29,2;986,945833;30,6;25,2375;21,7;80,416667;1,941667;
2023-04-10;0;987,145833;32,2;26,695833;23,3;66,153846;1,370833;
2023-04-11;0;986,658333;30,8;25,870833;22,1;76,333333;1,345833;
2023-04-12;0;985,595833;32,3;26,370833;22,2;64,846154;1,295833;
