Nome: MORADA NOVA
Codigo Estacao: A332
Latitude: -5.0911111
Longitude: -38.36472222
Altitude: 93
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;1000,025;36,8;28,841667;24,3;53,666667;3,995833;
2023-01-02;0;1000,2;35,4;28,791667;24,7;59,833333;4,141667;
2023-01-03;0;1000,308333;35,9;28,4;24;62,291667;3,6375;
2023-01-04;2,4;1000,520833;36,7;28,954167;23,5;54,833333;3,8;
2023-01-05;0;1000,9;36,5;28,675;22,6;53;3,733333;
2023-01-06;0;1001,4125;36,9;28,516667;23,3;57,958333;3,0125;
2023-01-07;0;1001,958333;37,2;28,845833;23,7;54,458333;3,791667;
2023-01-08;0;1001,854167;36,4;29,025;24,5;55,541667;3,895833;
2023-01-09;0;1001,691304;36,6;29,517391;25,5;52;4,486957;
2023-01-10;0;1002,0875;34,3;28,320833;24,9;59;4,391667;
2023-01-11;,2;1001,941667;37,1;28,316667;23,7;59,791667;3,579167;
2023-01-12;5,6;1000,6875;36,9;29,116667;23,9;55,583333;3,545833;
2023-01-13;0;999,675;36,6;29,129167;24,4;53,833333;4,3625;
2023-01-14;0;999,470833;37,8;29,383333;24,3;54,125;4,15;
2023-01-15;0;1000,304167;35,1;28,583333;24,2;54,375;3,066667;
2023-01-16;5;1000,258333;33,3;28,095833;24,3;55,75;2,95;
2023-01-17;0;1000,366667;35,2;27,945833;23,6;57,458333;3,295833;
2023-01-18;0;1000,308333;36,1;27,866667;22,2;59,375;3,820833;
2023-01-19;0;1001,533333;32,3;26,0125;24,4;73,809524;2,75;
2023-01-20;18,2;1001,929167;32,6;26,758333;23,6;61,4;2,366667;
2023-01-21;8;1000,720833;36,1;28,254167;23,2;59,736842;2,979167;
2023-01-22;0;1000,108333;36,4;28,016667;24,3;69,826087;2,629167;
2023-01-23;4,2;1000,35;36,4;28,270833;24;69,090909;2,3625;
2023-01-24;23,4;999,475;33,6;26,4;21,4;75,578947;1,929167;
2023-01-25;44,4;999,3875;29,1;25,308333;22,9;75,625;2,916667;
2023-01-26;0;999,183333;34,2;27,416667;23,5;65,761905;2,395833;
2023-01-27;0;1000,0625;35,2;27,358333;23;66,73913;2,475;
2023-01-28;1,4;1000,620833;36,2;28,425;23,4;60,095238;3,029167;
2023-01-29;0;999,920833;35,2;28,333333;23,5;55,458333;2,795833;
2023-01-30;0;998,758333;34,9;28,316667;24;61,958333;2,716667;
2023-01-31;0;999,029167;36,3;29,016667;24,9;56,583333;3,275;
2023-02-01;0;999,95;35,2;29,108333;24,8;57,125;4,058333;
2023-02-02;0;1001,066667;36,5;29,183333;25;59,666667;3,275;
2023-02-03;null;null;35;null;24,4;65;null;
2023-02-04;null;1002,130435;36,8;29,1;23,6;54,956522;3,508696;
2023-02-05;0;null;36;null;24;75,6875;null;
2023-02-06;null;1000,994737;34;null;22,4;73,733333;2,436842;
2023-02-07;null;1000,229167;34,7;27,645833;22,9;61,05;2,2625;
2023-02-08;0;999,916667;34,9;27,920833;23,4;56,75;2,141667;
2023-02-09;0;1000,108333;35,1;28,241667;23,3;64,458333;2,670833;
2023-02-10;0;999,516667;35,9;28,495833;25,3;66,5;3,041667;
2023-02-11;4,6;999,158333;35,3;28,454167;23,7;60,458333;3,2875;
2023-02-12;0;999,354167;35,3;28,2625;22,6;61,791667;2,941667;
2023-02-13;0;999,225;35,4;27,716667;24,2;73;2,6625;
2023-02-14;4,8;998,975;34,8;27,608333;23,5;71,5;3,120833;
2023-02-15;2,8;998,847826;35,3;28,078261;23,5;63,944444;2,665217;
2023-02-16;0;997,858333;34,6;27,95;24,5;72,125;2,654167;
2023-02-17;0;997,5375;36;28,4625;24,1;58,411765;3,191667;
2023-02-18;0;998,934783;35,2;27,617391;24,5;66,695652;2,447826;
2023-02-19;1;999,741667;34,8;28,233333;23,9;65;3,075;
2023-02-20;,2;1000,2625;30,3;25,470833;23,9;82,65;1,620833;
2023-02-21;18,8;999,325;33,5;27,616667;21,7;53,928571;1,9125;
2023-02-22;0;1000,845833;35;27,15;24,5;74,708333;2,325;
2023-02-23;12,6;1001,591667;34,1;26,966667;21,9;null;1,883333;
2023-02-24;null;null;32,4;null;21,8;null;null;
2023-02-25;null;1001,305;33,8;null;null;null;1,98;
2023-02-26;18;1001,745833;34,5;27,433333;22,7;62,466667;2,4125;
2023-02-27;6,8;1001,866667;34,9;28,1875;23,1;67,333333;3,025;
2023-02-28;0;1002,375;34,8;28,329167;23,3;64,625;3,204167;
2023-03-01;0;1001,591667;35,6;28,295833;23,6;66,583333;2,591667;
2023-03-02;0;1000,35;35,3;27,65;23,7;72,25;2,379167;
2023-03-03;3,4;1000,825;33,1;26,5375;24,3;80,571429;2,479167;
2023-03-04;0;1000,125;34,7;27,3875;23,7;71,210526;2,275;
2023-03-05;1,8;1000,245833;34,5;28,0375;23,5;69,333333;2,8;
2023-03-06;0;999,854167;34,8;28,375;24,5;69,25;3,570833;
2023-03-07;0;999,458333;35,4;28,133333;22,6;60,791667;3,183333;
2023-03-08;0;999,5125;35,1;27,791667;21,6;61,125;2,529167;
2023-03-09;0;1000,120833;33,1;27,745833;23,4;62,916667;2,1875;
2023-03-10;0;1000,716667;34,1;28,270833;23,9;61,416667;2,116667;
2023-03-11;0;999,766667;35,7;28,454167;24,3;65;3,016667;
2023-03-12;0;999,741667;34,4;28,645833;24,6;63,166667;2,770833;
2023-03-13;8,2;999,7625;34,3;28,304167;24,6;68,571429;2,8625;
2023-03-14;0;1000,5375;33,7;27,345833;24,3;78,409091;2,429167;
2023-03-15;25;1000,270833;31;25,25;22,5;83,615385;1,891667;
2023-03-16;,4;999,954167;30,5;25,320833;23,4;82;1,758333;
2023-03-17;26,8;1000,633333;32,4;25,358333;22,4;74;2,295833;
2023-03-18;0;1001,4;31,6;25,525;23,1;79,125;1,6;
2023-03-19;6,8;1002,095833;31,3;25,158333;22,8;79,357143;2,175;
2023-03-20;3,6;1001,791667;30,7;25,154167;23,1;81,941176;1,8;
2023-03-21;7,6;1002,058333;32,7;25,254167;22,8;80,611111;1,525;
2023-03-22;4,2;1001,9875;32,7;27,15;23,1;63,1875;1,720833;
2023-03-23;0;1000,779167;33,3;27,383333;23,6;70,181818;2,458333;
2023-03-24;3,2;1000,454167;33,1;26,870833;22,3;71,454545;2,1875;
2023-03-25;0;1000,683333;33,8;27,3625;24;76,958333;1,870833;
2023-03-26;,2;1001,058333;34,5;27,166667;24,6;77,894737;1,720833;
2023-03-27;35,8;1000,95;31,8;25,683333;23,2;78,846154;2,304167;
2023-03-28;2;1001,020833;31,8;25,7125;22,8;81,4375;2,125;
2023-03-29;5,8;1001,120833;33,1;26,529167;22,7;74,875;2,304167;
2023-03-30;44,2;1001,6375;32,7;25,558333;21,9;79,714286;2,104167;
2023-03-31;55,2;1001,2625;33;26,7875;22,3;57;1,8625;
2023-04-01;0;1000,3;33,1;27,333333;24;65,833333;1,741667;
2023-04-02;1,6;1000,716667;32,2;26,583333;22,8;73;1,620833;
2023-04-03;0;999,8125;33;26,404167;23,8;69,8;1,670833;
2023-04-04;9;999,404167;30,8;25,2125;23,2;78,142857;1,525;
2023-04-05;11,4;999,041667;31,4;25,820833;22,2;72,368421;2,0875;
2023-04-06;0;999,295833;30,5;25,608333;24,1;77,294118;1,445833;
2023-04-07;3,8;999,7125;32,6;26,083333;22,4;65,461538;1,704167;
2023-04-08;4,6;1000,0625;34;26,45;24,4;67,230769;2,179167;
2023-04-09;69,2;1001,054167;31;25,379167;21,8;70,692308;1,85;
2023-04-10;0;1001,554167;32,9;26,141667;23,4;72;1,833333;
2023-04-11;11;1001,1625;32,7;27,145833;24,1;64,65;1,975;
2023-04-12;,2;999,933333;33,3;27,308333;23,2;49,375;1,825;
2023-04-13;0;999,029167;32,9;26,991667;23,7;65,736842;2,270833;
2023-04-14;0;999,708333;30,8;26,675;24;73,571429;1,954167;
2023-04-15;0;1000,195833;34,2;26,854167;24,3;77,619048;1,916667;
2023-04-16;23,4;999,775;33,2;26,233333;23,2;null;1,7;
2023-04-17;4,4;997,7625;32,6;27,1625;23,6;56,866667;1,941667;
2023-04-18;0;997,766667;33,9;27,604167;24,3;67,35;2,079167;
2023-04-19;0;1000,304167;33,8;27,854167;24,3;60,882353;1,5625;
2023-04-20;4,8;1001,008333;33,8;27,929167;24;62,470588;1,841667;
2023-04-21;,2;999,770833;33,3;28,141667;25,1;52,666667;2,6;
2023-04-22;0;998,466667;32,5;27,220833;22,8;63,875;2,608333;
2023-04-23;0;999,120833;33,1;27,058333;22,9;63,833333;2,445833;
2023-04-24;0;1000,4625;33,2;27,65;23,5;62,105263;1,791667;
2023-04-25;1,8;1001,279167;33,7;28,041667;24,3;69,478261;1,729167;
2023-04-26;0;1000,491667;33,3;27,6625;24,5;72,913043;2,470833;
2023-04-27;5,6;1001,558333;30,5;26,454167;24,2;74,384615;1,516667;
2023-04-28;0;1002,141667;33;26,133333;23,8;69,615385;1,7375;
2023-04-29;14;1002,7625;32,8;26,9125;22,9;59,428571;2,345833;
2023-04-30;8,8;1001,666667;33,3;27,5875;24,2;54,153846;1,783333;
2023-05-01;20,6;1001,545833;32,6;27,2875;24,1;63,777778;2,020833;
2023-05-02;0;1000,633333;33,2;27,191667;23,4;58,888889;1,695833;
2023-05-03;0;1001,108333;33,3;27,458333;23,6;62,368421;2,25;
2023-05-04;12,6;1002,1375;33,8;27,425;22,8;60,705882;2,429167;
2023-05-05;0;1002,25;33,9;28,0375;24,6;67,916667;2,5625;
2023-05-06;0;1001,354167;33,2;27,6125;23,2;67,125;1,9;
2023-05-07;0;1000,708333;33,4;27,670833;24,1;66,375;2,291667;
2023-05-08;0;1001,320833;33,4;27,825;23,9;58;2,108333;
2023-05-09;0;1001,245833;34,1;28,025;23,9;57,75;1,995833;
2023-05-10;0;1000,6;34,4;27,9625;23,7;62,941176;1,916667;
2023-05-11;0;1000,158333;33,7;27,883333;23,9;61,058824;2,270833;
2023-05-12;0;1001,475;32,3;26,933333;23,5;70,611111;2,345833;
2023-05-13;0;1002,666667;34,3;27,795833;24;66,058824;1,754167;
2023-05-14;0;1003,979167;33,4;27,379167;24,2;70,588235;2,075;
2023-05-15;,2;1003,491667;34,1;27,854167;24;69,583333;2,354167;
2023-05-16;0;1001,783333;33,7;27,975;24,7;65,636364;1,6875;
2023-05-17;0;1001,441667;33,7;27,8;23,7;63,277778;2,066667;
2023-05-18;0;1002,05;34;28,3875;24,7;68,5;2,3625;
2023-05-19;0;1002,3375;33,5;27,479167;24,6;63,058824;1,920833;
2023-05-20;0;1001,195833;31,8;27,4625;24,1;66,315789;2,1875;
2023-05-21;0;1000,225;34,3;27,958333;24,8;65,047619;1,825;
2023-05-22;2,2;1000,3625;34;27,970833;24,2;61,294118;1,8625;
2023-05-23;6,2;1000,466667;33,1;27,904167;24,6;64,117647;2,520833;
2023-05-24;0;1001,133333;30,9;26,683333;24,4;79,125;2,179167;
2023-05-25;2,2;1000,970833;32,9;27,379167;23,8;67,85;2,016667;
2023-05-26;0;1001,3125;33,8;27,720833;22,9;68,041667;2,620833;
2023-05-27;0;1001,520833;34,2;28,079167;24,1;64,708333;2,5125;
2023-05-28;0;1001,558333;34,7;27,95;23,4;65,285714;2,004167;
2023-05-29;0;1001,741667;34,3;27,1;23,9;71,055556;2,404167;
2023-05-30;0;1002,866667;34,1;27,820833;23,9;70,791667;2,558333;
2023-05-31;0;1003,2125;34,6;28,1875;24;65,208333;2,225;
2023-06-01;6,2;1002,7625;33,9;27,9875;24,7;69,291667;1,95;
2023-06-02;11,6;1001,266667;34,8;28;24,1;65,894737;2,016667;
2023-06-03;0;1001,608333;34,6;28,041667;24,2;67,625;3,2;
2023-06-04;0;1002,7;34,7;27,970833;22,8;64,333333;2,9875;
2023-06-05;2;1003,220833;33,8;27,891667;23;66,083333;2,366667;
2023-06-06;0;1002,6375;34,3;27,3375;23,6;67,142857;2,179167;
2023-06-07;0;1003,108333;34,7;28,4375;24,1;66,125;2,2625;
2023-06-08;,2;1003,670833;34,4;28,416667;24,8;67,041667;2,579167;
2023-06-09;0;1003,55;34,4;27,658333;24,4;71,25;2,445833;
2023-06-10;9,6;1003,5875;34,2;27,529167;23,7;58,666667;2,066667;
