Nome: MONTEIRO
Codigo Estacao: A334
Latitude: -7.89444444
Longitude: -37.12472221
Altitude: 606.39
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;944,554167;31,8;25,591667;20,6;60,166667;,7625;
2023-01-02;0;944,6125;30,1;24,933333;21,8;67,875;,395833;
2023-01-03;0;944,775;30,7;24,129167;20,8;72,416667;,95;
2023-01-04;24,8;945,030435;31,9;25,113043;19,6;61,73913;,756522;
2023-01-05;0;944,991667;32,9;25,45;19,7;59;,866667;
2023-01-06;0;945,345833;33,5;26,295833;20,9;55,458333;,483333;
2023-01-07;0;946,025;33,1;26,045833;20,4;57,625;,741667;
2023-01-08;0;945,833333;32,8;25,8;19,4;55,541667;,820833;
2023-01-09;0;945,858333;33,9;26,041667;20,4;57;,7875;
2023-01-10;0;946,213043;33,3;25,891304;20,9;56,782609;1,686957;
2023-01-11;0;945,945833;33,9;26,420833;20,3;56,833333;,6;
2023-01-12;0;944,886957;33,7;26,665217;21,2;57,608696;,53913;
2023-01-13;0;943,920833;34,1;26,516667;20,9;56,291667;1,295833;
2023-01-14;0;943,869565;33,4;26,773913;21,3;56,347826;,66087;
2023-01-15;0;944,416667;32,4;25,879167;21,2;58,375;,920833;
2023-01-16;0;944,347826;31,5;24,665217;19,9;60,565217;,152174;
2023-01-17;0;944,840909;33,3;25,509091;21;58,909091;1,295455;
2023-01-18;0;944,869565;32,6;24,582609;20,7;66,130435;1,052174;
2023-01-19;0;945,378261;33,3;24,96087;20,6;64,173913;,569565;
2023-01-20;0;945,441667;33,8;26,075;20,5;58,083333;,054167;
2023-01-21;0;944,5125;34,5;26,683333;19,9;53,5;,516667;
2023-01-22;0;943,908333;34,6;27,375;21;53,708333;,5125;
2023-01-23;0;944,116667;34,7;26,470833;21,4;59,541667;,454167;
2023-01-24;9,4;942,9375;33,8;26,654167;21,3;57,875;,070833;
2023-01-25;,2;942,491667;34,6;26,645833;20,7;54,333333;,341667;
2023-01-26;0;942,745833;34;26,366667;19,7;54,333333;,295833;
2023-01-27;0;944,041667;33,9;26,554167;21,4;54,916667;,704167;
2023-01-28;0;944,829167;33,9;26,470833;20,5;51,583333;1,85;
2023-01-29;0;944,126087;33,5;25,143478;17,1;52,043478;,473913;
2023-01-30;0;943,143478;33,8;26,152174;20,2;55,695652;,317391;
2023-01-31;,2;943,534783;33,2;26,013043;20,6;58,826087;,156522;
2023-02-01;,2;944,325;32,6;25,979167;21,2;61;,1125;
2023-02-02;,2;945,375;34,3;26,504167;20,7;57,625;,6;
2023-02-03;0;946,054167;34,1;26,820833;21,5;54,833333;,866667;
2023-02-04;0;946,383333;34,8;26,716667;20,1;51,791667;,441667;
