Nome: PIRIPIRI
Codigo Estacao: A335
Latitude: -4.2761111
Longitude: -41.79444444
Altitude: 157.89
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;null;34,7;null;22,9;73,176471;null;
2023-01-02;null;null;36,6;null;23,2;70,357143;null;
2023-01-03;null;991,982609;38,4;28,791304;23,5;67,304348;2,034783;
2023-01-04;0;992,217391;36,5;29,721739;24,1;61,434783;2,073913;
2023-01-05;0;992,321739;39;29,856522;23,8;58,913043;2,447826;
2023-01-06;0;993,328571;34,1;null;22;67,52381;1,719048;
2023-01-07;null;null;35,4;null;23,4;74,1875;null;
2023-01-08;null;null;36,9;null;null;null;null;
2023-01-09;null;null;27,5;null;null;null;null;
2023-01-10;null;null;33,3;null;null;null;null;
2023-01-11;null;null;33,1;null;null;null;null;
2023-01-12;null;null;33,1;null;null;null;null;
2023-01-13;null;null;33,3;null;null;null;null;
2023-01-14;null;null;32,5;null;null;77,133333;null;
2023-01-15;null;null;30,1;null;23,1;88,125;null;
2023-01-16;null;null;26,1;null;22,8;88,75;null;
2023-01-17;null;null;32,7;null;21,9;88,066667;null;
2023-01-18;null;null;29,1;null;22,8;91,571429;null;
2023-01-19;null;994,39;31,4;null;23,3;86,65;1,73;
2023-01-20;null;994,521053;32,8;null;21,5;85,526316;1,215789;
2023-01-21;null;null;31,7;null;23;90,571429;null;
2023-01-22;null;null;35,8;null;null;85,375;null;
2023-01-23;null;null;28,9;null;23,1;90,142857;null;
2023-01-24;null;null;29,7;null;22,4;91,733333;null;
2023-01-25;null;null;24,8;null;null;null;null;
2023-01-26;null;null;null;null;null;null;null;
2023-01-27;null;null;null;null;null;null;null;
2023-01-28;null;null;null;null;null;null;null;
2023-01-29;null;null;null;null;null;null;null;
2023-01-30;null;null;null;null;null;null;null;
2023-01-31;null;null;null;null;null;null;null;
2023-02-01;null;null;null;null;null;null;null;
2023-02-02;null;null;null;null;null;null;null;
2023-02-03;null;null;null;null;null;null;null;
2023-02-04;null;null;null;null;null;null;null;
2023-02-05;null;null;null;null;null;null;null;
2023-02-06;null;null;null;null;null;null;null;
2023-02-07;null;null;null;null;null;null;null;
2023-02-08;null;null;null;null;null;null;null;
2023-02-09;null;null;null;null;null;null;null;
2023-02-10;null;null;null;null;null;null;null;
2023-02-11;null;null;null;null;null;null;null;
2023-02-12;null;null;null;null;null;null;null;
2023-02-13;null;null;null;null;null;null;null;
2023-02-14;null;null;null;null;null;null;null;
2023-02-15;null;null;null;null;null;null;null;
2023-02-16;null;null;null;null;null;null;null;
2023-02-17;null;null;null;null;null;null;null;
2023-02-18;null;null;null;null;null;null;null;
2023-02-19;null;null;null;null;null;null;null;
2023-02-20;null;null;null;null;null;null;null;
2023-02-21;null;null;null;null;null;null;null;
2023-02-22;null;null;null;null;null;null;null;
2023-02-23;null;null;null;null;null;null;null;
2023-02-24;null;null;null;null;null;null;null;
2023-02-25;null;null;null;null;null;null;null;
2023-02-26;null;null;null;null;null;null;null;
2023-02-27;null;null;null;null;null;null;null;
2023-02-28;null;null;null;null;null;null;null;
2023-03-01;null;null;null;null;null;null;null;
2023-03-02;null;null;null;null;null;null;null;
2023-03-03;null;null;null;null;null;null;null;
2023-03-04;null;null;null;null;null;null;null;
2023-03-05;null;null;null;null;null;null;null;
2023-03-06;null;null;null;null;null;null;null;
2023-03-07;null;null;null;null;null;null;null;
2023-03-08;null;null;35,1;null;null;null;null;
2023-03-09;0;992,225;32,9;27,508333;24,5;79,166667;1,591667;
2023-03-10;19,2;993,408333;31,3;26,1;22,9;83,416667;1,25;
2023-03-11;0;992,104167;33,5;26,679167;24,1;82,166667;1,608333;
2023-03-12;,2;992,317391;31,8;25,930435;23,5;85,565217;1,786957;
2023-03-13;9,4;992,875;32,5;25,25;23,5;88,333333;1,220833;
2023-03-14;17,6;993,666667;31;24,658333;22,5;89,583333;1,120833;
2023-03-15;42,2;993,475;29,7;24,9125;22,2;86,666667;1,495833;
2023-03-16;0;992,795833;32,5;25,645833;22,4;82,75;1,541667;
2023-03-17;59;993,291667;31,8;24,879167;22,2;85,208333;2,033333;
2023-03-18;16,6;994,275;31,2;25,454167;22,4;82,25;1,7625;
2023-03-19;,2;994,066667;32,1;25,633333;23,1;83,666667;1,654167;
2023-03-20;43,6;994,858333;26,8;23,3;22,6;92,375;1,770833;
2023-03-21;16;995,004167;31,4;24,875;21,6;84,333333;1,625;
2023-03-22;81,8;995,291667;28,8;24,220833;21,7;88,708333;1,133333;
2023-03-23;1,2;992,9875;32,8;26,2125;22,3;81,5;1,4625;
2023-03-24;0;993,6;29,3;24,679167;23,1;89,083333;1,491667;
2023-03-25;3,2;993,245833;32,8;25,8125;22,4;84,333333;1,470833;
2023-03-26;3,4;993,616667;32,8;26,391667;23,6;84,166667;1,429167;
2023-03-27;,4;993,6375;32;25,904167;23,2;84,208333;1,729167;
2023-03-28;7,8;993,5;31,1;24,425;23;89,166667;1,3625;
2023-03-29;31,2;993,825;32,1;25,204167;22,8;88,958333;1,0875;
2023-03-30;13,4;993,679167;32,2;25,9875;22,9;84,583333;1,7;
2023-03-31;73,4;993,7375;31,3;25,3875;22,1;85,416667;1,5875;
2023-04-01;14,8;993,570833;33,2;25,275;22,6;85,625;1,366667;
2023-04-02;35,8;993,695833;32,7;25,154167;22,9;86,708333;1,475;
2023-04-03;24,8;992,85;32,8;25,270833;21,7;86,416667;1,516667;
2023-04-04;20,6;992,2375;32,8;25,733333;21,8;82,625;1,65;
2023-04-05;8,8;991,3375;31,6;25,995833;23,3;84,916667;1,154167;
2023-04-06;6,4;991,804167;31,7;24,929167;22,6;88,25;1,275;
2023-04-07;12,4;992,0125;32,7;26,2375;23,3;83,166667;1,3125;
2023-04-08;3;993,008333;33,3;25,945833;23,8;85,708333;1,154167;
2023-04-09;43,8;993,725;30,3;25,008333;22,4;88,333333;1,329167;
2023-04-10;3,4;994,1375;33,7;26,041667;23,5;83,958333;1,6125;
2023-04-11;4,2;993,1125;32,8;26,216667;22,8;80,833333;1,245833;
2023-04-12;0;992,120833;34,4;27,179167;23,2;78,791667;1,0125;
2023-04-13;0;991,1875;33,5;27,120833;23,7;79,375;1,391667;
2023-04-14;0;991,608333;32,2;27,0125;23,6;80,875;1,0375;
2023-04-15;0;992,2875;33,5;26,670833;24;82,833333;1,441667;
2023-04-16;38,8;992,3375;33,1;25,75;23;86,458333;1,7625;
