Nome: PICOS
Codigo Estacao: A343
Latitude: -7.0711111
Longitude: -41.40416666
Altitude: 232.91
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;null;33,7;null;19,6;56,6;null;
2023-01-02;null;984,055;32,9;null;24;72,55;1,635;
2023-01-03;null;null;33,7;null;23,4;null;null;
2023-01-04;null;984,852632;35,3;null;23,1;74,466667;1,642105;
2023-01-05;null;984,388889;35,8;null;21,9;51,428571;2,166667;
2023-01-06;null;985,547368;33;null;20,9;61;1,794737;
2023-01-07;null;986,25;34,5;null;22,9;61,666667;1,3;
2023-01-08;null;null;36;null;22,3;64,571429;null;
2023-01-09;null;985,752632;36,2;null;21,7;68,5;1,515789;
2023-01-10;null;986,515;29,3;null;21,7;null;1,65;
2023-01-11;0;986,278947;35,6;null;20,8;null;1,289474;
2023-01-12;null;984,571429;35;null;22,2;66,692308;1,566667;
2023-01-13;null;null;35,2;null;22;null;null;
2023-01-14;null;984,289474;31,8;null;22,9;null;1,015789;
2023-01-15;null;984,722727;32,6;26,381818;22,1;60,583333;1,395455;
2023-01-16;null;null;30,8;null;21,6;null;null;
2023-01-17;null;984,677778;31,6;null;20,3;null;1,205556;
2023-01-18;null;null;32,9;null;21,7;null;null;
2023-01-19;null;986,5;30,6;null;21,8;null;1,515789;
2023-01-20;null;null;27,8;null;20,6;null;null;
2023-01-21;null;null;32,9;null;null;null;null;
2023-01-22;null;null;34,6;null;22,1;null;null;
2023-01-23;null;null;31;null;22,1;null;null;
2023-01-24;null;null;33,4;null;21,4;null;null;
2023-01-25;null;983,066667;32,5;null;22,4;null;1,783333;
2023-01-26;null;982,968421;33,3;null;21,8;64;1,368421;
2023-01-27;null;984,144444;32,7;null;21,6;72,166667;1,361111;
2023-01-28;null;null;33,8;null;null;57,833333;null;
2023-01-29;null;984,155556;35,4;null;19,7;51,769231;1,955556;
2023-01-30;null;null;33,9;null;19,3;72,1875;null;
2023-01-31;null;983,666667;31,2;null;22,9;84,666667;1,452381;
2023-02-01;null;null;31,5;null;22;null;null;
2023-02-02;null;985,727778;33,7;null;23,1;76,928571;1,438889;
2023-02-03;null;986,433333;30,1;null;22,1;null;,938889;
2023-02-04;null;null;34;null;21,3;null;null;
2023-02-05;null;985,909524;33,4;null;20,9;null;1,328571;
2023-02-06;null;null;33,3;null;22,2;null;null;
2023-02-07;null;984,868421;30,5;null;22,4;null;1,126316;
2023-02-08;null;null;32,5;null;21,5;null;null;
2023-02-09;null;984,236842;34,8;null;17,6;60,666667;1,642105;
2023-02-10;null;983,984211;32,9;null;22,2;73,263158;1,5;
2023-02-11;null;null;34,3;null;22,6;null;null;
2023-02-12;null;null;34,9;null;20,1;null;null;
2023-02-13;null;983,377778;33,6;null;22,7;80,470588;1,388889;
2023-02-14;null;null;36;null;22,1;72;null;
2023-02-15;null;null;33,1;null;null;70,846154;null;
2023-02-16;null;null;33;null;22,6;79,5;null;
2023-02-17;null;null;33,3;null;null;79,5;null;
2023-02-18;null;983,331579;33;null;21,3;null;1,515789;
2023-02-19;null;null;29,5;null;22,8;null;null;
2023-02-20;null;null;31,2;null;21,6;null;null;
2023-02-21;null;983,610526;34,3;null;21,8;59,769231;1,557895;
2023-02-22;null;985,125;35,1;null;22,7;64,055556;1,635;
2023-02-23;null;null;31,7;null;22,1;null;null;
2023-02-24;null;null;31,7;null;22,4;null;null;
2023-02-25;null;985,311111;32,1;null;22,5;null;1,311111;
2023-02-26;null;null;32,1;null;23;null;null;
2023-02-27;null;null;35,1;null;23,4;null;null;
2023-02-28;null;986,384211;34,7;null;22;null;1,468421;
2023-03-01;null;985,861111;33,7;null;21,9;62,066667;1,833333;
2023-03-02;null;984,331818;35,1;27,886364;21,8;68;1,272727;
2023-03-03;null;984,094737;34;null;24,4;72,105263;1,447368;
2023-03-04;null;984,266667;31,8;null;21,2;83,538462;1,311111;
2023-03-05;null;984,061111;34,5;null;22,4;null;1,322222;
2023-03-06;null;null;34,2;null;22,5;null;null;
2023-03-07;null;983,3;37,2;null;21,1;62,333333;1,477778;
2023-03-08;null;983,115;36,8;null;22,5;62,7;1,3;
2023-03-09;null;null;33,3;null;23,1;62,352941;null;
2023-03-10;null;null;36,4;null;23,1;64,923077;null;
2023-03-11;null;null;35,2;null;null;null;null;
2023-03-12;null;null;34,8;null;23,2;null;null;
2023-03-13;null;984,766667;30,1;null;21,9;null;1,088889;
2023-03-14;null;null;25,6;null;22,6;null;null;
2023-03-15;null;985,726316;24,2;null;21,8;null;1,073684;
2023-03-16;null;984,685;31;null;20,2;null;1,355;
2023-03-17;null;984,765;32,7;null;22;null;1,555;
2023-03-18;null;null;28,6;null;22;null;null;
2023-03-19;null;null;31,2;null;22,6;null;null;
2023-03-20;null;null;25;null;null;null;null;
2023-03-21;null;null;31;null;null;null;null;
2023-03-22;null;null;27,1;null;null;null;null;
2023-03-23;null;985,294737;32,6;null;null;null;1,663158;
2023-03-24;null;null;31,7;null;21,7;null;null;
2023-03-25;null;null;33,7;null;20,9;null;null;
2023-03-26;null;985,39;31;null;22,3;null;1,31;
2023-03-27;null;985,16;32,6;null;22,7;null;1,36;
2023-03-28;null;null;32,1;null;22,6;null;null;
2023-03-29;null;985,511111;31,7;null;22;null;1,266667;
2023-03-30;2,6;986,325;29,4;null;22,5;null;1,525;
2023-03-31;null;null;32,3;null;22,1;null;null;
2023-04-01;null;984,805263;30;null;null;null;1,078947;
2023-04-02;null;984,916667;33,1;null;22,2;null;1,661111;
2023-04-03;null;984,4;32,4;null;22,3;null;1,473684;
2023-04-04;null;null;31,7;null;22;null;null;
2023-04-05;null;null;30,4;null;23,2;null;null;
2023-04-06;null;983,533333;32,5;null;22,5;null;1,133333;
