Nome: URUCUI
Codigo Estacao: A346
Latitude: -7.44138888
Longitude: -44.34499999
Altitude: 398.83
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;966,525;31,5;25,791667;20,7;71,25;,608333;
2023-01-02;4,2;966,645833;29,4;23,6125;21;80,5;,166667;
2023-01-03;3,2;967,166667;27,2;22,908333;20,8;84;,2375;
2023-01-04;,2;967,05;31,9;25,158333;20,9;73,555556;,225;
2023-01-05;0;966,754167;30,7;24,95;21,4;79,454545;,254167;
2023-01-06;,6;967,891667;28;24,220833;21,9;78,785714;,054167;
2023-01-07;0;968,545833;29;23,879167;20,2;79,266667;,029167;
2023-01-08;,8;967,870833;32,3;25,008333;20,6;71,75;,204167;
2023-01-09;,2;968,1875;29,9;24,158333;20,8;82,947368;,108333;
2023-01-10;9,8;967,920833;29,9;24,316667;20,1;76,066667;,091667;
2023-01-11;0;968,416667;31,1;25,095833;20,7;77,285714;,0875;
2023-01-12;0;966,916667;29,6;24,041667;21;83,363636;,1625;
2023-01-13;4,8;966,3125;28,6;23,620833;20,7;null;,104167;
2023-01-14;32,6;966,729167;28;22,8625;19,5;82,769231;,304167;
2023-01-15;18,2;967,029167;30,8;24,083333;19,6;75,857143;,0875;
2023-01-16;7;967,133333;28,4;22,720833;19,3;82,8;,25;
2023-01-17;,2;966,8125;29,2;23,325;18,2;74,642857;,054167;
2023-01-18;0;966,908333;30,8;24,479167;20,3;76,4;,1375;
2023-01-19;36,6;969,308333;25,6;21,733333;19,3;null;,095833;
2023-01-20;,6;968,466667;29,8;23,908333;20,4;71,384615;,204167;
2023-01-21;0;967,05;31,5;24,829167;20,3;72,647059;,216667;
2023-01-22;0;966,683333;30,2;24,795833;20,3;77,818182;,2125;
2023-01-23;,8;967,695833;30,3;23,908333;19,8;72,625;,1375;
2023-01-24;0;966,020833;31,4;25,083333;19;67;,1;
2023-01-25;6,8;965,083333;29,7;25,1;21,5;79,454545;,279167;
2023-01-26;8;965,3625;27,1;23,425;21,9;84,666667;,0875;
2023-01-27;17,2;966,208333;30,3;24,204167;20;74,928571;,2;
2023-01-28;3,6;967,604167;26,5;21,991667;19,5;87,615385;,091667;
2023-01-29;15;966,420833;31,1;24,379167;18,9;63,285714;,195833;
2023-01-30;0;965,379167;32,1;25,05;18,7;69,916667;,058333;
2023-01-31;0;965,529167;31,6;25,2625;20,5;76,333333;,041667;
2023-02-01;0;966,433333;31;25,579167;21,5;73,529412;,066667;
2023-02-02;15,8;968,170833;30,1;23,245833;21,4;85,75;,075;
2023-02-03;9,2;968,7625;28,3;23,85;21,2;77,142857;,183333;
2023-02-04;0;968,4375;31,9;25,2125;19,8;68,466667;,170833;
2023-02-05;0;968,1375;27,8;24,1875;21,1;84,363636;,075;
2023-02-06;8,8;967,108333;29,5;23,108333;20;null;,108333;
2023-02-07;9,6;966,820833;29,6;23,970833;20,6;75,857143;,120833;
2023-02-08;0;966,5125;30,5;24,720833;20,2;67,266667;,1375;
2023-02-09;0;966,704167;31,3;25,083333;19,3;66,041667;,1875;
2023-02-10;0;965,891667;32,2;25,695833;19,8;67,375;,008333;
2023-02-11;0;965,666667;30,8;24,983333;21,4;79,47619;,0625;
2023-02-12;0;965,645833;33,1;25,445833;18,9;63,133333;,1375;
2023-02-13;0;965,175;33,4;26,604167;21,5;68,958333;,166667;
2023-02-14;0;965,108333;33,1;26,420833;21,2;71,666667;,0625;
2023-02-15;0;965,029167;31,7;25,591667;20,8;76,083333;,083333;
2023-02-16;0;964,391667;30,3;25,2875;21,1;75,388889;,075;
2023-02-17;0;964,6375;30,4;24,666667;22,2;81,545455;,033333;
2023-02-18;1,2;965,6875;26,9;23,391667;21,1;86,666667;,083333;
2023-02-19;,6;966,683333;27,3;22,8125;21,2;83,214286;,133333;
2023-02-20;1;966,704167;30,1;23,829167;18,9;73;,395833;
2023-02-21;0;966,279167;32,8;25,991667;21,4;71,208333;,329167;
2023-02-22;0;967,533333;33,2;26,7125;21,5;67,625;,15;
2023-02-23;28,4;969,05;28,8;24,166667;20,2;78,4;,183333;
2023-02-24;0;967,358333;33;25,641667;20,1;67,75;,133333;
2023-02-25;0;967,441667;28,7;24,204167;20,6;82,947368;,183333;
2023-02-26;17;968,275;29,2;23,441667;20,5;78,583333;,129167;
2023-02-27;9;968,3125;30,6;24,1875;20,2;81,823529;,233333;
2023-02-28;0;968,591667;32,6;24,883333;20,5;70,142857;,279167;
2023-03-01;0;967,95;32,8;26,2875;20,9;66,5;,270833;
2023-03-02;0;966,5;33,4;26,929167;21,5;69,208333;,425;
2023-03-03;0;966,433333;30,9;24,908333;21;81,75;,2;
2023-03-04;9,6;966,633333;30,7;24,591667;20,6;80,529412;,295833;
2023-03-05;5,4;966,108333;31,3;25,754167;21,1;72;,420833;
2023-03-06;,8;965,7;31,2;25,9625;20,8;71,75;,541667;
2023-03-07;5,2;965,6625;28,4;24,566667;21,5;83,666667;,095833;
2023-03-08;3,4;966,033333;27,7;24,183333;21,7;80,916667;,120833;
2023-03-09;2,2;966,45;32,8;26,025;20,9;59,5;,2875;
2023-03-10;0;967,2625;28,6;25,183333;22,8;80,375;,204167;
2023-03-11;,2;966,183333;29,6;24,275;21,4;82,6875;,1375;
2023-03-12;5,2;966,075;30,6;24,9625;21,5;75,6875;,329167;
2023-03-13;,4;967,033333;26,9;23,470833;22,6;null;,183333;
2023-03-14;5;967,329167;30,5;23,416667;20,7;81,384615;,104167;
2023-03-15;18,4;967,725;23,7;21,933333;20,8;null;,0125;
2023-03-16;9;966,441667;30,1;23,833333;20,1;73,642857;,025;
2023-03-17;0;966,754167;29,4;23,829167;21,8;81,611111;,35;
2023-03-18;4,4;968,2375;31,1;23,65;20,4;78,555556;,758333;
2023-03-19;1,4;967,9125;31,9;25,095833;21,1;71,590909;,066667;
2023-03-20;16,6;968,133333;29,1;23,391667;20,8;74,428571;,341667;
2023-03-21;,2;968,591667;29,8;23,5375;20,2;75,857143;,533333;
2023-03-22;41,6;968,875;30,6;23,883333;20,4;73;,266667;
2023-03-23;0;967,5875;32,4;25,516667;21,1;73,565217;,575;
2023-03-24;0;967,2375;31,9;25,5375;20,8;70,583333;,304167;
2023-03-25;0;966,870833;32,9;25,9;21,1;71,541667;,079167;
2023-03-26;0;967,4875;27,1;23,533333;21,4;88,35;,020833;
2023-03-27;18;967,591667;28,9;23,704167;20,6;76,642857;,075;
2023-03-28;18,2;967,170833;32,1;25,525;21;67;,2;
2023-03-29;0;967,495833;31,4;25,254167;19,8;72,55;,1375;
2023-03-30;0;967,695833;32,6;25,6;21;73,6;,166667;
2023-03-31;,4;967,704167;31,9;26,141667;22,3;68,416667;,358333;
2023-04-01;0;967,025;32,5;25,379167;19,8;66,375;,116667;
2023-04-02;0;966,8;31,6;25,479167;21,1;73,458333;,125;
2023-04-03;0;966,895833;30,1;24,741667;22,5;77,363636;,591667;
2023-04-04;7,6;966,033333;30,4;24,358333;20,5;74,176471;,029167;
2023-04-05;0;965,154167;31,8;25,033333;21,3;79,272727;,108333;
2023-04-06;0;965,579167;29;23,875;21,9;85,1875;,0625;
2023-04-07;8,4;965,995833;31,5;25,266667;21,1;67,25;,1375;
2023-04-08;0;966,833333;31,3;25,1875;23;84,294118;,191667;
2023-04-09;2,6;967,7125;30,4;24,983333;21;73,571429;,258333;
2023-04-10;0;968,095833;28,7;24,35;21,6;79,538462;,166667;
2023-04-11;11,6;967,2375;32,2;25,204167;21,3;75,875;,125;
2023-04-12;2,4;966,104167;32,4;25,816667;20,6;66,8125;,125;
2023-04-13;0;965,154167;32,8;26,166667;21,1;72,166667;,216667;
2023-04-14;0;965,6875;32,5;25,866667;20,5;73,136364;,004167;
2023-04-15;0;966,225;33,2;26,6;20,9;72,083333;,0375;
2023-04-16;0;966,091667;31,6;25,916667;22,3;77,125;,016667;
2023-04-17;0;963,9;32,8;26,995833;23,7;74,75;,083333;
2023-04-18;0;964,1875;31,2;25,5;21;75,2;,104167;
2023-04-19;,2;967,245833;30,3;25,191667;23;84;,108333;
2023-04-20;0;967,679167;31,4;25,666667;21,7;71,866667;,245833;
2023-04-21;6,8;965,8375;32,3;26,2625;22,3;74,157895;,208333;
2023-04-22;0;965,075;32;25,858333;21,9;70,086957;,429167;
2023-04-23;0;966,066667;31,8;25,308333;20,5;68,208333;,375;
2023-04-24;0;967,433333;31,1;24,479167;19,3;72,125;,220833;
2023-04-25;0;968,325;30,4;24,004167;19,1;72;,279167;
2023-04-26;0;967,420833;32,7;25,6875;19,3;70,041667;,304167;
2023-04-27;0;967,841667;32,1;25,495833;21,2;74,125;,120833;
2023-04-28;1,2;968,420833;31,1;25,254167;21,7;76,388889;,241667;
2023-04-29;0;968,845833;31,9;25,370833;20,7;72,941176;,179167;
2023-04-30;,2;967,9375;32,1;26,120833;22,1;74,833333;,1875;
2023-05-01;2,2;968,2875;27,9;24,495833;21;81,142857;,095833;
2023-05-02;0;967,2125;32,4;26,075;21,4;68;,1125;
2023-05-03;21,6;967,5625;28;23,775;21,3;88,133333;,095833;
2023-05-04;20;968,408333;30,9;24,8;21,6;83,277778;,125;
2023-05-05;,2;968,479167;31,8;25,508333;20,9;72,642857;,304167;
2023-05-06;0;967,908333;31,7;26,016667;22,3;76,772727;,2625;
2023-05-07;0;967,266667;32,6;25,995833;21,2;74,375;,270833;
2023-05-08;0;968,05;32,4;25,870833;20,8;71,958333;,191667;
2023-05-09;0;967,983333;32,7;25,945833;20;70,916667;,1625;
2023-05-10;0;966,904167;33,1;26,6375;20,6;68,916667;,179167;
2023-05-11;0;966,604167;28,2;23,8375;20,7;84,208333;,179167;
2023-05-12;14,4;967,9375;32,5;24,954167;21,2;73,9375;,216667;
2023-05-13;0;968,741667;31;25,654167;22;79,1;,195833;
2023-05-14;0;970,158333;30,4;25,0375;22,3;81,117647;,25;
2023-05-15;1,4;969,791667;32,1;25,595833;21,3;71,266667;,141667;
2023-05-16;0;968,166667;32,6;26,216667;21,8;72,7;,116667;
2023-05-17;0;967,733333;32,5;26,270833;22,2;74,708333;,083333;
2023-05-18;0;968,941667;28,5;24,7;22,4;79,166667;,083333;
2023-05-19;0;968,745833;32,5;25,425;19,6;69,75;,220833;
2023-05-20;0;967,683333;32,3;25,341667;20,2;71,583333;,254167;
2023-05-21;0;966,8625;32,6;25,4625;20,5;69,375;,216667;
2023-05-22;0;967,491667;32,2;25,391667;19,8;69,916667;,379167;
2023-05-23;0;967,833333;32,4;25,395833;20,1;71,291667;,425;
2023-05-24;0;967,908333;31,8;25,625;21,8;71,458333;,395833;
2023-05-25;0;967,804167;31,5;25,025;20;71,5;,6125;
2023-05-26;0;968,245833;31,8;25,3625;20,8;71,958333;,375;
2023-05-27;0;968,741667;32,5;25,5625;21,1;72,375;,341667;
2023-05-28;0;968,191667;33;25,670833;19,9;69,333333;,275;
2023-05-29;0;967,95;33;25,908333;19,9;69,375;,2375;
2023-05-30;0;968,8875;32,9;26,179167;20,9;66,541667;,329167;
2023-05-31;0;969,945833;32,5;25,4875;19,5;63,416667;,275;
