Nome: PALMARES
Codigo Estacao: A357
Latitude: -8.66666666
Longitude: -35.56805554
Altitude: 164.01
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;993,883333;31,3;24,729167;21,6;87,0625;1,679167;
2023-01-02;null;993,845833;30,5;24,895833;21,7;77,384615;1,854167;
2023-01-03;null;993,841667;31;25,791667;22,6;80,058824;1,983333;
2023-01-04;null;994,308333;32;25,929167;21,5;75,764706;1,858333;
2023-01-05;null;994,183333;32,8;25,8625;21,5;76,055556;1,7375;
2023-01-06;null;994,616667;32,7;26,0125;21,9;80,65;1,8625;
2023-01-07;null;995,558333;32,3;26,041667;22,1;74,777778;1,829167;
2023-01-08;null;995,429167;32,2;25,145833;20,8;78,894737;1,7625;
2023-01-09;null;995,175;33,5;25,9;21,2;79,380952;1,8875;
2023-01-10;null;995,6;32,5;26,058333;21,7;77,333333;2,025;
2023-01-11;null;995,404167;32,6;25,895833;21,7;78,684211;2,141667;
2023-01-12;null;994,354167;32,4;26,145833;22,3;80,541667;1,854167;
2023-01-13;null;993,3;33,6;26,5875;22,2;80,333333;1,979167;
2023-01-14;null;993,304167;32,8;26,466667;22,6;77,263158;2,1375;
2023-01-15;null;993,9375;31,1;24,9125;22,8;84,875;1,420833;
2023-01-16;null;993,441667;30,4;24,625;21,4;77,142857;1,620833;
2023-01-17;null;994,3;30,7;23,291667;21,5;null;1,2875;
2023-01-18;null;994,275;29;23,204167;20,9;null;1,504167;
2023-01-19;null;994,504167;29,8;23,179167;21,5;null;1,308333;
2023-01-20;null;994,654167;31,6;25,170833;21,3;76,142857;1,7625;
2023-01-21;null;993,775;33,1;25,741667;20,7;74,352941;1,679167;
2023-01-22;null;992,983333;33,4;26,254167;21,5;79,105263;1,720833;
2023-01-23;null;993,133333;33,3;26,6125;23;79,882353;1,829167;
2023-01-24;null;992,183333;33,4;26,616667;22,9;75,611111;1,954167;
2023-01-25;null;991,7625;33,2;25,9375;21,5;70,833333;1,633333;
2023-01-26;null;991,85;33,1;25,8875;20,4;79,227273;1,866667;
2023-01-27;null;993,183333;33,7;26,720833;22,4;79,227273;1,808333;
2023-01-28;null;994,3875;32,7;26,295833;22,3;70,055556;2,283333;
2023-01-29;null;993,5125;32,3;25,4875;20;77,636364;2,166667;
2023-01-30;null;992,55;32,2;25,6875;21,2;78,55;1,833333;
2023-01-31;null;992,845833;32,4;24,791667;22,2;87,888889;1,8875;
2023-02-01;null;993,833333;30,6;24,045833;21,5;null;1,575;
2023-02-02;null;994,791667;30,2;24,8;21,7;88,285714;1,629167;
2023-02-03;null;995,554167;32,4;26,2625;22,4;74,25;1,833333;
2023-02-04;null;995,975;32,9;26,029167;21,6;78,411765;2,066667;
2023-02-05;null;994,716667;30,6;25,2875;23,4;92,466667;1,3625;
2023-02-06;null;994,091667;27,9;24,270833;23;93,833333;1,275;
2023-02-07;null;993,95;31,5;25,008333;20,9;66,384615;2,095833;
