Nome: ITAPIPOCA
Codigo Estacao: A359
Latitude: -3.48416666
Longitude: -39.5886111
Altitude: 104.49
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;998,925;33,2;28,3125;25,7;63,5;5,183333;
2023-01-02;null;999;33,7;28,366667;25,6;65,541667;5,366667;
2023-01-03;null;999,166667;32,3;28,045833;25,9;66,75;4,9875;
2023-01-04;null;999,229167;33,1;28,329167;25,6;62,958333;5,120833;
2023-01-05;null;999,833333;34,2;28,620833;25,5;61,125;4,966667;
2023-01-06;null;1000,366667;34,1;28,075;25,2;64,291667;3,516667;
2023-01-07;null;1000,866667;34,1;28,454167;25,3;61,208333;4,125;
2023-01-08;null;1000,791667;34,4;28,391667;25,6;64,5;4,641667;
2023-01-09;null;1001;32,2;27,829167;25,8;67;4,770833;
2023-01-10;null;1000,921739;33,2;28,26087;25,2;63,695652;5,086957;
2023-01-11;null;1000,8625;33,1;27,733333;25,7;68,083333;4,1375;
2023-01-12;null;999,6875;34,7;28,320833;25,3;65,166667;4,258333;
2023-01-13;null;998,616667;33,4;28,341667;25,6;63,083333;5,216667;
2023-01-14;null;998,6125;31,1;27,15;26;71,708333;4,566667;
2023-01-15;null;999,513043;29,9;26,886957;24,2;73;3,630435;
2023-01-16;null;999,8;27,5;24,983333;24,8;79,958333;2,254167;
2023-01-17;null;999,254167;32,3;26,479167;22,1;71,666667;3,454167;
2023-01-18;null;999,345833;30,3;25,820833;25,6;76,083333;3,279167;
2023-01-19;null;1000,783333;29,6;25,520833;23,5;78,666667;1,716667;
2023-01-20;null;1001,154167;29,3;25,4;22,8;78,208333;1,654167;
2023-01-21;null;1000,054167;31,2;26,533333;24,4;75,083333;3,241667;
2023-01-22;null;999,286957;31,6;27,169565;25,2;72,695652;3,456522;
2023-01-23;null;999,858333;32,2;26,475;24,3;75,833333;2,195833;
2023-01-24;null;998,96087;30,9;25,021739;23,8;83,695652;1,252174;
2023-01-25;null;998,521739;26,9;24,356522;23,5;85,304348;1,534783;
2023-01-26;null;998,3625;30,5;25,7;22,8;77,208333;2,4125;
2023-01-27;null;998,916667;32,9;27,4125;24,3;67,25;3,65;
2023-01-28;null;999,716667;32,7;27,3875;25,2;70,125;3,191667;
2023-01-29;null;998,8375;33,3;27,75;24,9;65,625;3,8625;
2023-01-30;null;998,095833;31,2;26,483333;24,7;75,166667;2,65;
2023-01-31;null;998,320833;31,2;26,433333;23,6;77,666667;2,908333;
2023-02-01;null;999,233333;29,2;26,0875;23,7;79,166667;4,1;
2023-02-02;null;1000,3375;31,4;26,5875;23,3;77,916667;2,7625;
2023-02-03;null;1000,954167;32,2;27,691667;25;70,166667;4,125;
2023-02-04;null;1001,170833;32,5;27,979167;25,6;68,666667;4,416667;
2023-02-05;null;1000,791667;32;27,4875;25,4;72,666667;3,795833;
2023-02-06;null;999,925;30,9;26,870833;24,4;75,875;2,608333;
2023-02-07;null;999,125;30,4;26,179167;23,3;77,25;2,733333;
2023-02-08;null;998,958333;32,5;27,2875;24;68,75;3,316667;
2023-02-09;null;999,216667;31,5;27,2625;24,8;72,625;3,320833;
2023-02-10;null;998,56087;30,4;27,156522;25;75,565217;4,143478;
2023-02-11;null;998,058333;32,6;27,916667;25,6;68,375;5,004167;
2023-02-12;null;998,333333;33;27,995833;25,3;67,375;3,783333;
2023-02-13;null;997,933333;30;27,3;26,2;74,458333;4,620833;
2023-02-14;null;998,113043;30,6;27,513043;26,2;74,043478;4,43913;
2023-02-15;null;998,0875;29;25,95;23,1;79,666667;3,820833;
2023-02-16;null;997,329167;29,1;25,470833;22,8;80,416667;2,791667;
2023-02-17;null;996,808333;31,1;26,845833;22,4;76,666667;2,9;
2023-02-18;null;997,954167;30,7;27,191667;25,2;74,291667;3,391667;
2023-02-19;null;998,870833;31,4;27,491667;24,5;71,041667;3,5375;
2023-02-20;null;998,466667;31,8;27,4;25,5;69,25;3,133333;
2023-02-21;null;998,116667;32,9;28,395833;25,3;64,833333;3,816667;
2023-02-22;null;999,743478;32;27,7;25,6;73,086957;3,730435;
2023-02-23;null;1000,795833;30,9;26,116667;23,7;82,041667;1,325;
2023-02-24;null;1000,933333;31,6;24,954167;22,4;83,375;1,495833;
2023-02-25;null;1000,2375;31,1;25,4875;21,9;81;1,645833;
2023-02-26;null;1000,579167;30,9;26,829167;23;75,875;3,175;
2023-02-27;null;1000,741667;31,9;27,1125;25,6;75,458333;3,733333;
2023-02-28;null;1001,216667;32;27,775;24,6;70,833333;4,383333;
2023-03-01;null;1000,654167;33;27,725;25,5;71,208333;3,725;
2023-03-02;null;999,214286;33,3;null;25,5;71,142857;3,890476;
2023-03-03;null;999,820833;28;24,879167;22,5;84,125;2,95;
2023-03-04;null;998,995833;30,9;26,870833;24,5;75,625;3,3625;
2023-03-05;null;999,229167;31,4;26,958333;24,1;78,833333;3,5125;
