Nome: ACARAU
Codigo Estacao: A360
Latitude: -3.1211111
Longitude: -40.08722221
Altitude: 67.15
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;1003,170833;33,5;27,408333;23,4;70,625;3,675;
2023-01-02;null;1003,408333;33,5;27,458333;23,1;72,875;3,308333;
2023-01-03;null;1003,570833;31,8;26,504167;23,6;77,958333;3,070833;
2023-01-04;null;1003,5125;33,2;27,329167;23,7;71,625;4,216667;
2023-01-05;null;1004,108333;33,5;27,145833;22,8;71,083333;3,8;
2023-01-06;null;null;25,5;null;22,1;null;null;
2023-01-07;null;null;null;null;null;null;null;
2023-01-08;null;null;null;null;null;null;null;
2023-01-09;null;null;null;null;null;null;null;
2023-01-10;null;null;null;null;null;null;null;
2023-01-11;null;null;null;null;null;null;null;
2023-01-12;null;null;null;null;null;null;null;
2023-01-13;null;null;null;null;null;null;null;
2023-01-14;null;null;null;null;null;null;null;
2023-01-15;null;null;null;null;null;null;null;
2023-01-16;null;null;null;null;null;null;null;
2023-01-17;null;null;null;null;null;null;null;
2023-01-18;null;null;null;null;null;null;null;
2023-01-19;null;null;null;null;null;null;null;
2023-01-20;null;null;null;null;null;null;null;
2023-01-21;null;null;null;null;null;null;null;
2023-01-22;null;null;null;null;null;null;null;
2023-01-23;null;null;null;null;null;null;null;
2023-01-24;null;null;null;null;null;null;null;
2023-01-25;null;null;null;null;null;null;null;
2023-01-26;null;null;null;null;null;null;null;
2023-01-27;null;null;null;null;null;null;null;
2023-01-28;null;null;null;null;null;null;null;
2023-01-29;null;null;null;null;null;null;null;
2023-01-30;null;null;null;null;null;null;null;
2023-01-31;null;null;null;null;null;null;null;
2023-02-01;null;null;null;null;null;null;null;
2023-02-02;null;null;null;null;null;null;null;
2023-02-03;null;null;null;null;null;null;null;
2023-02-04;null;null;null;null;null;null;null;
2023-02-05;null;null;null;null;null;null;null;
2023-02-06;null;null;null;null;null;null;null;
2023-02-07;null;null;null;null;null;null;null;
2023-02-08;null;null;null;null;null;null;null;
2023-02-09;null;null;null;null;null;null;null;
2023-02-10;null;null;null;null;null;null;null;
2023-02-11;null;null;null;null;null;null;null;
2023-02-12;null;null;null;null;null;null;null;
2023-02-13;null;null;null;null;null;null;null;
2023-02-14;null;null;null;null;null;null;null;
2023-02-15;null;null;null;null;null;null;null;
2023-02-16;null;null;null;null;null;null;null;
2023-02-17;null;null;null;null;null;null;null;
2023-02-18;null;null;null;null;null;null;null;
2023-02-19;null;null;null;null;null;null;null;
2023-02-20;null;null;null;null;null;null;null;
2023-02-21;null;null;null;null;null;null;null;
2023-02-22;null;null;null;null;null;null;null;
2023-02-23;null;null;null;null;null;null;null;
2023-02-24;null;null;null;null;null;null;null;
2023-02-25;null;null;null;null;null;null;null;
2023-02-26;null;null;null;null;null;null;null;
2023-02-27;null;null;null;null;null;null;null;
2023-02-28;null;null;null;null;null;null;null;
2023-03-01;null;null;null;null;null;null;null;
2023-03-02;null;null;null;null;null;null;null;
2023-03-03;null;null;null;null;null;null;null;
2023-03-04;null;null;null;null;null;null;null;
2023-03-05;null;null;null;null;null;null;null;
2023-03-06;null;null;27,5;null;null;null;null;
2023-03-07;null;null;32,4;null;null;63,428571;null;
2023-03-08;0;1002,516667;32,4;26,995833;22,3;76,25;3,054167;
2023-03-09;,2;1003,391667;30,4;25,641667;24,4;84,375;2,745833;
2023-03-10;22,4;1004,058333;31,4;25,920833;22;82,75;1,933333;
2023-03-11;,8;1003,1875;31;25,666667;23,3;84,541667;2,425;
2023-03-12;8,8;1003,254167;29,8;25,7375;22,8;84,916667;2,3625;
2023-03-13;3,8;1003,545833;27,6;24,870833;24,7;91,166667;1,141667;
2023-03-14;52,6;1004,308333;26,3;24,066667;22,5;91,458333;1,375;
2023-03-15;23,6;1003,579167;30,7;25,625;22,6;84,75;1,425;
2023-03-16;3;1003,345833;30,8;24,9375;22,5;86,5;1,745833;
2023-03-17;19,6;1004,05;31;24,308333;22;87,583333;1,616667;
2023-03-18;21,6;1004,741667;30,3;24,666667;22,5;86,5;1,420833;
2023-03-19;,4;1005,029167;31,1;24,804167;23;87,666667;1,395833;
2023-03-20;25,8;1005,5375;27;24,0875;22,6;88,625;1,375;
2023-03-21;1,4;1005,258333;31,3;25,583333;22,2;82,625;1,125;
2023-03-22;5,6;1005,275;31,7;25,941667;22,5;82,125;1,683333;
2023-03-23;,2;1003,695833;32,5;26,925;23,3;77,666667;2,35;
2023-03-24;2,4;1003,8125;31,5;25,616667;23,6;83,416667;2,075;
2023-03-25;1;1003,858333;31,5;25,6375;22,6;84,583333;1,729167;
2023-03-26;3;1004,591667;30,2;25,020833;22,6;87,958333;1,520833;
2023-03-27;28,4;1004,345833;29,2;24,833333;22,8;87,666667;1,716667;
2023-03-28;,6;1004,2375;30,4;24,604167;22,4;88;1,679167;
2023-03-29;16,8;1004,5375;30,4;25,016667;22,2;83,625;2,1;
2023-03-30;,4;1004,529167;30,7;25,0875;22,6;87,416667;1,416667;
2023-03-31;31,4;1004,295833;30,1;25,283333;23;85,791667;2,2125;
2023-04-01;4;1003,970833;30,6;25,0875;22,9;87,208333;1,520833;
2023-04-02;19,4;1004,129167;28,5;24,8125;22,6;87,708333;1,791667;
2023-04-03;,6;1003,279167;29,9;25,208333;22,6;86,916667;1,170833;
2023-04-04;19,6;1002,754167;30,9;24,7625;22,8;85,791667;1,641667;
2023-04-05;11,8;1002,025;31,4;25,3375;22,3;85,916667;1,483333;
2023-04-06;1,4;1002,291667;29,1;25,329167;23,4;85,875;1,558333;
2023-04-07;9;1002,6875;30,1;25,175;22,6;87,041667;2,008333;
2023-04-08;8,2;1003,583333;30,6;24,783333;22,5;85,708333;1,529167;
2023-04-09;11,6;1004,0625;31,5;26,054167;22,5;80,916667;1,754167;
