Nome: CANTO DO BURITI
Codigo Estacao: A365
Latitude: -8.11805554
Longitude: -42.97583332
Altitude: 312.07
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;975,658333;33,4;26,55;20,2;64,875;2,070833;
2023-01-02;1;975,666667;31,8;25,041667;22,1;82,916667;1,958333;
2023-01-03;3,2;976,0375;29,2;25,133333;22,8;84,708333;1,729167;
2023-01-04;1;976,308333;30,9;24,958333;22,1;88,166667;1,6875;
2023-01-05;26;975,654167;33,3;26,7375;22;77,041667;1,979167;
2023-01-06;1,4;976,8875;29,6;24,9375;21;81,458333;1,6125;
2023-01-07;,4;977,1875;31,9;25,6375;20,9;80,666667;1,8125;
2023-01-08;0;976,783333;33,6;26,6125;20,8;72,291667;2,0375;
2023-01-09;1,6;976,841667;33,2;27,5;23;70,375;2,045833;
2023-01-10;0;976,954167;32,9;26,370833;21,9;74,291667;2,220833;
2023-01-11;,4;977,291667;32,9;26,404167;21,3;71,958333;1,570833;
2023-01-12;0;975,591667;33,1;27,291667;21,9;68,875;1,945833;
2023-01-13;6,8;974,9375;32,2;26,245833;22,1;77,416667;1,916667;
2023-01-14;26,8;975,520833;32,5;24,420833;19,8;82,954545;2,1;
2023-01-15;0;975,895833;32,9;26,270833;21,7;77,041667;1,625;
2023-01-16;1,8;976,079167;28,9;25,225;22,6;79,125;1,920833;
2023-01-17;,4;976,05;28,6;24,1875;20,5;82,5;1,758333;
2023-01-18;0;975,833333;33,4;24,933333;20,2;82,083333;1,85;
2023-01-19;24,6;977,854167;26,4;23,3875;21,8;89,428571;1,658333;
2023-01-20;0;977,516667;30,9;24,325;20;78,842105;1,416667;
2023-01-21;0;976,0625;33;25,504167;20,6;75,75;1,666667;
2023-01-22;0;975,483333;30,8;25,683333;22,1;82,291667;1,5125;
2023-01-23;5,8;977,079167;27,2;23,420833;20,4;87,666667;1,633333;
2023-01-24;,2;974,7375;33,9;26,045833;19,6;66,411765;1,395833;
2023-01-25;7;973,720833;32,9;26,433333;21,4;78,375;1,6125;
2023-01-26;4,4;974,033333;32;26,266667;22,7;77,695652;1,854167;
2023-01-27;0;975,254167;31,2;25,508333;21,8;80,875;1,375;
2023-01-28;4,8;976,545833;30,3;24,679167;21,4;84,583333;1,666667;
2023-01-29;,6;975,441667;32,3;26;20,7;69,916667;2,2125;
2023-01-30;0;974,495833;32,5;25,645833;18,6;68,375;2,079167;
2023-01-31;0;974,575;31,6;26,433333;21,3;70,416667;2,191667;
2023-02-01;0;975,6;32;26,45;21,4;72,208333;2,116667;
2023-02-02;0;976,958333;31,1;25,166667;22,9;87;2,0625;
2023-02-03;36,2;977,991667;29,6;24,0125;20,9;87;1,6;
2023-02-04;0;977,45;33,1;26,3;21,2;73,631579;1,620833;
2023-02-05;0;976,845833;32,3;26,641667;21,4;73,478261;1,708333;
2023-02-06;3,4;976,008333;31,2;24,8375;21,9;86;1,320833;
2023-02-07;8,2;976,025;30,1;23,558333;20,8;87,933333;1,379167;
2023-02-08;,8;975,55;32,3;25,920833;20,6;52,8;1,904167;
2023-02-09;0;975,725;33,4;25,775;18,5;65,363636;1,9125;
2023-02-10;0;974,8875;32,9;26,129167;19,5;71,130435;2,0875;
2023-02-11;0;974,6625;30,7;26,175;22,5;74,652174;1,791667;
