Nome: SALVADOR
Codigo Estacao: A401
Latitude: -13.005515
Longitude: -38.50576
Altitude: 47.56
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;3,8;1008,116667;30,4;26,691667;23,5;79,583333;1,0875;
2023-01-02;10,8;1007,358333;29;25,279167;23,3;85,333333;,958333;
2023-01-03;11,6;1007,375;29,3;24,583333;22,1;86,875;,983333;
2023-01-04;8,6;1007,208333;30,1;25,908333;23,8;86,041667;1;
2023-01-05;32,4;1006,720833;29,8;26,658333;23;80,25;1,275;
2023-01-06;5;1007,508333;30,9;26,716667;24;81,583333;1,154167;
2023-01-07;7,8;1008,666667;30,5;26,570833;24,3;82,333333;1,1125;
2023-01-08;4,6;1008,370833;31,3;26,658333;24;78,458333;1,1375;
2023-01-09;0;1008,3625;29,7;26,2625;24,5;82,625;,941667;
2023-01-10;3;1008,683333;31,3;27,1;23,7;78,25;,995833;
2023-01-11;0;1008,558333;30,7;27,116667;24,3;76,666667;1,354167;
2023-01-12;,8;1007,508333;31,5;27,1625;24,1;72,958333;1,233333;
2023-01-13;0;1006,641667;31,1;27,275;24,4;75,291667;1,079167;
2023-01-14;0;1007,425;31,3;27,054167;24,7;76,083333;1,045833;
2023-01-15;0;1008,191667;31,4;27,175;24,5;72,833333;1,004167;
2023-01-16;0;1007,4;30,2;25,7625;24,4;79,583333;1,095833;
2023-01-17;9,2;1007,558333;30,8;26,2125;22,6;81,416667;,925;
2023-01-18;5;1008,079167;30,8;26,7;22,9;81,75;,9;
2023-01-19;,4;1007,9625;31,1;27,129167;23,6;77,291667;,891667;
