Nome: BARREIRAS
Codigo Estacao: A402
Latitude: -12.12472221
Longitude: -45.02694443
Altitude: 474.17
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;,8;958,7375;31,1;25,483333;19,7;71,833333;0;
2023-01-02;0;957,869565;31,6;25,417391;19,1;70,391304;0;
2023-01-03;0;958,179167;30,4;24,779167;22;79,375;,15;
2023-01-04;26,4;958,913636;30,7;25,322727;21,2;77,954545;0;
2023-01-05;0;958,642857;30,8;null;22,7;83,047619;,047619;
2023-01-06;8;959,695652;29,9;24,382609;21,1;82,130435;0;
2023-01-07;null;960,086364;30,8;25,495455;21,1;78,727273;0;
2023-01-08;0;959,66087;31,6;25,995652;20,8;74,956522;0;
2023-01-09;0;959,57;32,1;null;21;71,65;0;
2023-01-10;null;959,471429;33,1;null;19,8;71,095238;0;
2023-01-11;null;959,819048;31,7;null;20,7;73,285714;,22381;
2023-01-12;null;958,16;32,1;null;20,1;70,8;,07;
2023-01-13;null;957,504762;32,7;null;21,4;72,47619;0;
2023-01-14;3,4;958,675;32,7;null;21,2;80,45;,26;
2023-01-15;null;958,868182;32,7;25,668182;20,1;74,545455;0;
2023-01-16;0;957,922727;32,6;25,45;19,4;72,909091;,013636;
2023-01-17;null;958,47619;32;null;20,2;70,761905;0;
2023-01-18;null;959,163158;32,1;null;19,8;68,105263;0;
2023-01-19;null;959,809524;32;null;19,5;74,619048;,019048;
2023-01-20;0;959,73913;31,8;24,013043;20,4;80,782609;0;
2023-01-21;,6;958,647826;31,4;24,034783;21,3;83,043478;,408696;
2023-01-22;72;959,213636;25,8;22,081818;20,4;90,272727;,059091;
2023-01-23;null;959,08;30,9;null;19,9;77,8;,04;
2023-01-24;,2;957,813043;33;25,121739;20,2;77,173913;0;
2023-01-25;null;956;33,3;25,968182;20,3;74;0;
2023-01-26;53,4;956,745455;30,1;23,295455;20,1;86,863636;,077273;
2023-01-27;null;957,685;30,8;null;20;75,9;,215;
2023-01-28;null;959,878947;27,2;null;20,1;83,368421;,210526;
2023-01-29;1,6;958,663636;31,2;25,118182;20,5;75;0;
2023-01-30;null;957,4;31,7;null;20;71,857143;0;
2023-01-31;null;957,495;32,7;null;18,7;69,4;0;
2023-02-01;null;958,186364;31,7;25,672727;19,6;70,909091;0;
2023-02-02;0;959,454545;32;25,368182;21,1;75,272727;,063636;
2023-02-03;null;959,935;31,1;null;20;76,2;,245;
2023-02-04;null;960,517391;30,6;25,526087;21,6;76;0;
2023-02-05;1;959,95;33;25,259091;21,3;77,818182;0;
2023-02-06;null;958,414286;32,4;null;19,8;71,47619;0;
2023-02-07;0;957,891304;32,4;25,895652;19,9;71,826087;,3;
2023-02-08;0;957,827273;33,3;26,218182;20,2;69,5;,136364;
2023-02-09;null;958,435;32,6;null;19,3;65,65;0;
2023-02-10;null;957,87619;34,4;null;18,8;63,904762;0;
2023-02-11;null;957,461905;34;null;19,4;68,809524;0;
2023-02-12;null;957,471429;33,1;null;20,6;65,47619;0;
2023-02-13;null;957,25;34,3;null;19,7;64,3;0;
2023-02-14;null;956,645;35,5;null;21,2;65;0;
2023-02-15;null;956,314286;33,7;null;20,4;67,047619;0;
2023-02-16;0;955,633333;30,6;25,075;21,5;79,416667;0;
2023-02-17;18,8;956,065217;30,4;25,173913;21,5;78,173913;,03913;
2023-02-18;0;957,057143;30,2;null;20,9;82,380952;,014286;
