Nome: LUIZ EDUARDO MAGALHAES
Codigo Estacao: A404
Latitude: -12.1525
Longitude: -45.82972221
Altitude: 760.68
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;927,547826;30,8;24,456522;19;70,368421;2,247826;
2023-01-02;0;926,695833;32;24,3375;17,3;73,291667;2,0875;
2023-01-03;0;926,940909;30,9;23,345455;19,2;86;1,568182;
2023-01-04;4,8;927,752174;30,2;23,343478;20;82,6;,726087;
2023-01-05;,4;927,827273;25,1;21,395455;20,9;null;,563636;
2023-01-06;38,2;928,395652;29,6;22,713043;19,1;79,333333;,886957;
2023-01-07;null;929,013636;30,3;23,877273;19,4;75,928571;1,222727;
2023-01-08;0;928,775;28,8;22,516667;19,2;90;,795833;
2023-01-09;49,6;928,7;29,3;23,277273;18;83,8125;,736364;
2023-01-10;null;928,414286;32,3;null;18;67;1,038095;
2023-01-11;0;928,931818;31,6;23,947826;20,6;86,652174;1,127273;
2023-01-12;null;927,228571;31,8;null;18,6;71,857143;1,080952;
2023-01-13;0;926,734783;31,7;23,478261;18,8;83,210526;1,721739;
2023-01-14;10,8;927,7;29,4;null;19,5;84,785714;1,866667;
2023-01-15;21,2;927,779167;31,6;24,283333;18,6;75,842105;2,179167;
2023-01-16;,2;926,878261;31,3;23,969565;17,7;77;1,365217;
2023-01-17;null;927,404762;29,4;null;19,2;86,421053;1,652381;
2023-01-18;20,8;928,057143;30,7;null;17,6;79,55;1,509524;
2023-01-19;null;928,795455;29,5;21,836364;18;87,823529;1,295455;
2023-01-20;5,6;928,569565;29,5;22,3;19,2;85,823529;,834783;
2023-01-21;1;927,359091;30,9;22,513636;19,1;82,166667;1,268182;
2023-01-22;null;927,819048;25,1;null;20,2;null;,904762;
2023-01-23;null;927,85;29,9;null;18,4;71,416667;,845;
2023-01-24;,2;926,930435;30,7;22,582609;18,3;87,263158;,895652;
2023-01-25;2;925,278261;31,9;24,334783;18,4;72;1,152174;
2023-01-26;31,4;925,795652;26,1;21,53913;18,8;85,833333;1,426087;
2023-01-27;null;926,478947;30,8;null;19;71,230769;2,142105;
2023-01-28;null;928,32;28,6;null;17,7;77;2,7;
2023-01-29;,2;927,478261;29,6;22,743478;17,6;80,142857;1,408696;
2023-01-30;,6;926,377273;30,9;23,581818;17,8;73,5;1,495455;
2023-01-31;0;926,426087;33;24,017391;16,5;69,842105;1,347826;
2023-02-01;0;927,058333;31,1;24,608333;18,4;76,625;2,166667;
2023-02-02;0;928,452381;30,5;null;18,7;81,555556;1,138095;
