Nome: ARACAJU
Codigo Estacao: A409
Latitude: -10.9525
Longitude: -37.05444444
Altitude: 3.72
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;7,2;1013,008333;28,6;25,766667;23;null;2,733333;
2023-01-02;1,4;1012,570833;28,4;25,875;23,9;null;3,216667;
2023-01-03;2,4;1012,425;29,5;26,566667;24,6;null;3,504167;
2023-01-04;2,8;1012,683333;29;26,679167;24,5;null;2,829167;
2023-01-05;0;1012,420833;30,1;27,175;25;null;3,491667;
2023-01-06;0;1013,0125;29,7;27,0625;24,8;null;3,404167;
2023-01-07;0;1014,066667;30;27,225;25;null;3,3125;
2023-01-08;0;1013,879167;29,9;27,170833;24,8;null;3,329167;
2023-01-09;0;1013,783333;29,7;27,079167;24,5;null;3,266667;
2023-01-10;0;1014,016667;30;27,208333;24,9;null;3,795833;
2023-01-11;5,8;1014,041667;29,8;27,070833;23,1;null;3,654167;
2023-01-12;0;1012,958333;29,7;27,170833;25,1;null;3,2125;
2023-01-13;0;1011,941667;30,2;27,479167;25,4;null;3,108333;
2023-01-14;,2;1012,4125;30,2;26,858333;25,8;null;2,704167;
2023-01-15;7,8;1013,220833;30,2;26,091667;23,1;null;1,5;
2023-01-16;,6;1012,270833;29,6;26,85;24,2;null;1,979167;
2023-01-17;3,6;1012,7125;29,8;27,229167;24,9;null;2,983333;
2023-01-18;,2;1013,1;30,2;27,570833;24,9;null;3,529167;
2023-01-19;0;1013,183333;29,8;27,545833;26,1;null;3,516667;
2023-01-20;0;1013,2375;29,9;27,266667;24,7;null;2,875;
2023-01-21;0;1012,066667;29,9;27,204167;24,9;null;3,475;
2023-01-22;0;1011,395833;29,9;27,020833;24,4;null;3,191667;
2023-01-23;0;1011,845833;30,8;27,4375;25,7;null;2,491667;
2023-01-24;0;1010,895833;30,2;26,929167;24,7;null;2,3;
2023-01-25;0;1010,283333;30,4;27,2875;25,7;null;3,420833;
2023-01-26;0;1010,279167;29,8;27,1125;24,3;null;3,325;
2023-01-27;0;1011,683333;30,4;27,679167;25,9;null;3,416667;
2023-01-28;0;1013,258333;30,4;27,833333;26,2;null;2,770833;
2023-01-29;0;1012,520833;31;27,779167;24,8;null;2,025;
2023-01-30;,6;1011,383333;30;27,279167;23,1;null;3,0375;
2023-01-31;0;1011,95;29,6;27,066667;25,5;null;3,5125;
2023-02-01;,8;1012,733333;30,9;26,441667;23,2;null;1,558333;
2023-02-02;11,8;1013,5875;30,4;26,908333;23;null;1,920833;
2023-02-03;3,2;1013,941667;30,5;27,633333;24,5;null;3,741667;
2023-02-04;0;1014,804167;30,4;27,995833;26,6;null;3,541667;
2023-02-05;0;1013,545833;31,1;27,979167;26,4;null;2,366667;
2023-02-06;25,2;1012,608333;29,2;26,520833;22,7;null;2,733333;
2023-02-07;9,6;1012,695833;29,8;27,058333;23,9;null;2,883333;
2023-02-08;1,8;1012,525;30,6;27,095833;22,9;null;1,679167;
2023-02-09;0;1012,708333;30,7;27,845833;24,8;null;1,545833;
2023-02-10;1,2;1012,2375;30,4;27,820833;25,5;null;2,879167;
2023-02-11;,8;1012,120833;30,9;27,683333;26,6;null;2,566667;
