Nome: ILHEUS
Codigo Estacao: A410
Latitude: -14.65888888
Longitude: -39.18138888
Altitude: 80.21
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;1005,268421;29,3;null;21,1;79,421053;3,005263;
2023-01-02;30,8;1004,575;27,7;22,85;21,6;89,083333;1,4875;
2023-01-03;6,2;1003,918182;28,4;23,868182;20,9;84,045455;1,754545;
2023-01-04;1,4;1003,8;28,8;24,382609;21,3;83,869565;1,882609;
2023-01-05;2,2;1003,291667;29,5;25,0375;22,6;82,75;2,025;
2023-01-06;null;1003,933333;30;null;21,2;83,571429;1,861905;
2023-01-07;null;1005,084211;30;null;21,6;81;2,257895;
2023-01-08;4;1005,083333;29,7;25,075;22,4;83,875;1,970833;
2023-01-09;14,6;1005,0125;29,7;25,420833;22,4;81,333333;1,879167;
2023-01-10;2,4;1005,3125;30,3;25,258333;21,2;80,5;2,0125;
2023-01-11;3,4;1005,379167;28,8;24,083333;22,1;87,5;1,633333;
2023-01-12;null;1004,089474;27,3;null;20,8;87,736842;1,710526;
2023-01-13;10;1003,416667;30;24,825;21,8;81,333333;1,958333;
2023-01-14;1,6;1004,370833;29,6;24,5875;21,3;83,583333;2,266667;
2023-01-15;10,2;1005,195833;29,1;24,5875;21,1;78,458333;2,125;
2023-01-16;0;1004,266667;29,8;24,066667;19,7;77,166667;2,2875;
2023-01-17;22,6;1004,5875;29,6;24,45;21,2;82,291667;1,9625;
2023-01-18;8,6;1005,129167;29,1;24,516667;21,4;84,125;2,1;
2023-01-19;19;1004,866667;29,8;24,879167;21,9;82,166667;2,016667;
2023-01-20;9,4;1004,5;29,8;25,0375;21,7;81,25;1,720833;
2023-01-21;1,6;1002,841667;30,3;24,891667;21;81,541667;2,008333;
2023-01-22;,8;1002,241667;29,3;25,15;22,1;82,916667;1,7125;
2023-01-23;0;1002,708333;31,9;26,0875;22;77,958333;1,908333;
2023-01-24;,2;1001,7875;31;25,766667;21,4;79,458333;2,079167;
2023-01-25;0;1000,933333;30,7;26;23;78,791667;1,966667;
2023-01-26;0;1001,533333;30,9;25,554167;21,6;78;2,0375;
2023-01-27;14,2;1003,595833;29,3;24,391667;21,2;86,458333;1,908333;
2023-01-28;22,4;1005,029167;30,1;24,491667;22,2;86,541667;1,779167;
2023-01-29;17,2;1004,241667;29,9;25,008333;21,1;79,291667;2,095833;
2023-01-30;24,8;1003,6875;29,2;24,083333;21,3;82,083333;1,925;
2023-01-31;0;1004,05;29,6;24,6;20,3;80,375;2,491667;
2023-02-01;1,4;1004,595833;30;24,770833;21,1;80,5;2,116667;
2023-02-02;2,6;1005,341667;30,4;25,429167;21,5;75,833333;2,066667;
2023-02-03;0;1005,291667;30,9;25,354167;21;78,875;2,070833;
2023-02-04;,4;1005,841667;31,2;25,7875;22;80,666667;2,2125;
2023-02-05;0;1004,9;31,5;25,9625;21,3;78,541667;2,0375;
2023-02-06;,2;1003,445833;31,9;25,791667;21,4;80,083333;2,308333;
2023-02-07;,2;1003,4625;30,9;25,720833;21,5;78,625;2,4;
2023-02-08;0;1003,8875;30,6;25,2625;20,5;76,416667;2,170833;
2023-02-09;,2;1004,483333;30,7;24,975;19,8;77,375;2,079167;
2023-02-10;3,4;1004,25;30,8;25,283333;20,7;80,5;1,920833;
2023-02-11;16,2;1004,029167;30,6;25,9;23;80,708333;2,1625;
2023-02-12;6,8;1003,708333;29,7;25,6375;22,6;81,666667;1,854167;
2023-02-13;4,6;1003,754167;30;25,554167;22;81,125;2,033333;
2023-02-14;,4;1003,133333;30,8;25,3375;21,1;79,708333;2,008333;
2023-02-15;33;1002,175;30,2;25,483333;22,3;82,25;1,954167;
2023-02-16;0;1000,3125;30,5;25,904167;22,3;81,583333;1,754167;
2023-02-17;1,6;1000,891667;29,8;24,925;22,8;87,25;1,591667;
2023-02-18;13,2;1002,520833;30,5;25,6375;22,2;79,166667;2,104167;
2023-02-19;65,4;1003,995833;29,5;24,716667;21,2;83,041667;2,154167;
2023-02-20;14,2;1004,970833;25,5;22,054167;22,2;92,625;1,991667;
2023-02-21;11,8;1005,179167;30,5;24,070833;20,1;82,333333;2,25;
2023-02-22;3,2;1005,945833;30;25,120833;22;82,125;2,25;
2023-02-23;3,6;1005,9125;30,1;24,895833;21;80,5;2,320833;
2023-02-24;,6;1004,7875;30,7;25,333333;21,8;79,25;2,029167;
2023-02-25;2;1004,820833;30,3;25,35;21,9;80,333333;2,425;
2023-02-26;4,4;1006,166667;28,5;23,6875;21,6;90,166667;2,0125;
2023-02-27;10,2;1006,304167;30,3;25,395833;21,5;81,541667;1,970833;
2023-02-28;1,8;1006,5625;30,9;25,904167;22,7;82,166667;2,108333;
2023-03-01;,2;1006,3375;30,4;25,720833;22,8;81,708333;1,675;
2023-03-02;,8;1004,8375;30,5;25,608333;22,2;79,333333;2,15;
2023-03-03;1;1004,645833;30;24,941667;21;80,916667;2,225;
2023-03-04;17,8;1004,808333;29,8;25,070833;21,5;79,833333;2,495833;
2023-03-05;1;1003,6875;28,5;24,383333;21,7;85,791667;1,725;
2023-03-06;29,8;1003,075;30,5;25,733333;22,8;83,5;2,070833;
2023-03-07;3,4;1003,875;30,6;26,454167;23,3;79,208333;2,079167;
2023-03-08;4,4;1004,366667;30;25,320833;21,8;80,958333;1,9875;
2023-03-09;13,8;1005,075;31,3;25,1;21,4;81,833333;1,808333;
2023-03-10;4,8;1005,083333;30,1;24,85;21,8;82,75;2,133333;
2023-03-11;3,8;1003,975;30,4;24,954167;21,3;80,291667;1,854167;
2023-03-12;,2;1004;29,7;24,570833;21,5;84;2,054167;
2023-03-13;2,8;1004,233333;30,8;25,275;21,3;79,875;2,45;
2023-03-14;,2;1004,4625;30,3;25,091667;21,3;80,125;2,370833;
2023-03-15;11;1003,604167;30,7;24,958333;20,8;77,625;2,158333;
2023-03-16;,2;1002,675;29,3;23,883333;21,3;86,916667;2,066667;
2023-03-17;10,2;1003,05;30,5;25,145833;21,2;80,375;2,3375;
2023-03-18;8,2;1003,8375;30,9;25,25;21,3;82,291667;2,058333;
2023-03-19;21,6;1004,566667;30,3;24,958333;22,3;84,416667;1,816667;
2023-03-20;11,2;1004,516667;30,4;25,3;21,3;81,375;2,008333;
2023-03-21;7,2;1005,291667;29,4;24,633333;22;85,708333;1,8375;
2023-03-22;1,8;1006,325;29;24,883333;22,2;85,25;1,754167;
2023-03-23;,2;1005,941667;30,6;25,016667;20,9;81,041667;2,595833;
2023-03-24;5,8;1004,658333;28,5;24,041667;21,6;87,083333;2,5125;
2023-03-25;57,2;1004,4875;25,2;23,3875;22,5;92,5;1,854167;
2023-03-26;7,4;1005,045833;28,6;23,725;21,7;91,666667;1,504167;
2023-03-27;33,2;1004,5125;29,9;24,845833;21,8;82,458333;1,854167;
2023-03-28;1,4;1004,770833;29,8;24,354167;20;80,625;2,125;
2023-03-29;5;1005,404167;29,7;25,070833;21,4;78,75;2,241667;
2023-03-30;4,8;1006,1875;30,1;24,8375;21,4;77,916667;2,170833;
2023-03-31;0;1004,904167;30,1;24,354167;19,9;81,625;2,108333;
2023-04-01;2,8;1002,791667;30,1;25,016667;21,1;81,833333;1,9625;
2023-04-02;,2;1002,470833;31,9;25,441667;21,1;79,083333;2,029167;
2023-04-03;,2;1003,379167;29,9;25,120833;21,2;80,625;2,333333;
2023-04-04;2,6;1003,316667;28,1;23,908333;21,6;86,75;2,283333;
2023-04-05;19;1002,504167;30,2;24,420833;21,5;85,791667;2,283333;
2023-04-06;11,4;1002,916667;29,1;24,8375;21,9;84,5;2,170833;
2023-04-07;24,4;1003,504167;27,6;23,945833;22,4;89,625;1,933333;
2023-04-08;7,6;1003,3125;30,3;25,116667;21,2;83,875;2,058333;
