Nome: SENHOR DO BONFIM
Codigo Estacao: A428
Latitude: -10.44305555
Longitude: -40.14833333
Altitude: 532.09
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;,2;953,16087;31,1;24,230435;20;75,391304;2,652174;
2023-01-02;6,2;952,927778;27,2;null;20,5;90,222222;2,122222;
2023-01-03;null;953,045;28,7;null;20,1;91;1,675;
2023-01-04;null;952,842857;29,5;null;20,5;82,952381;1,547619;
2023-01-05;,2;952,526087;30,3;24,878261;20,8;76,521739;1,469565;
2023-01-06;0;952,891667;31,5;25,545833;20,2;71,5;1,920833;
2023-01-07;0;954,108333;30,1;24,6;20,3;73,541667;2,133333;
2023-01-08;0;953,8875;30;24,020833;18,9;71,875;2,008333;
2023-01-09;0;953,736364;30,4;24,877273;19;68,181818;1,954545;
2023-01-10;0;954,025;29,7;24,383333;20,1;74,125;2,075;
2023-01-11;0;954,004348;31,1;24,673913;20;70,826087;1,726087;
2023-01-12;0;953,033333;29,9;24,454167;20,2;73,541667;2,141667;
2023-01-13;0;951,934783;31,3;24,995652;20,2;71,565217;1,952174;
2023-01-14;0;952,354167;31,6;25,475;21,7;70,708333;2,475;
2023-01-15;1,6;953,158333;29,6;23,9125;20,3;78,208333;2,65;
2023-01-16;0;952,625;31;24,4625;19,3;69,125;2,745833;
2023-01-17;0;952,7875;30,4;24,116667;20,5;71,958333;2,145833;
2023-01-18;,4;953,091667;31,5;24,633333;20;70,875;2,7125;
2023-01-19;0;953,458333;31,7;24,770833;19,6;68,208333;1,9375;
2023-01-20;0;953,241667;31,4;25,120833;20,6;68,875;1,741667;
2023-01-21;0;951,904167;32,8;26,108333;21,6;66,041667;1,4375;
2023-01-22;0;951,283333;32,6;26,229167;21,8;66,416667;1,983333;
2023-01-23;9,8;952,070833;32,3;25,425;21,2;74,291667;2,104167;
2023-01-24;0;951,029167;32,2;25,333333;20,4;68,791667;2,083333;
2023-01-25;0;950,116667;33,4;25,741667;19,5;64,125;1,9875;
2023-01-26;0;950,075;33,7;25,766667;18,2;54,708333;1,908333;
