Nome: IPIAU
Codigo Estacao: A445
Latitude: -14.17138888
Longitude: -39.69249999
Altitude: 132.11
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;null;null;null;null;null;null;
2023-01-02;null;null;null;null;null;null;null;
2023-01-03;null;null;null;null;null;null;null;
2023-01-04;null;null;null;null;null;null;null;
2023-01-05;null;null;null;null;null;null;null;
2023-01-06;null;null;null;null;null;null;null;
2023-01-07;null;null;null;null;null;null;null;
2023-01-08;null;null;null;null;null;null;null;
2023-01-09;null;null;null;null;null;null;null;
2023-01-10;null;null;null;null;null;null;null;
2023-01-11;null;null;null;null;null;null;null;
2023-01-12;null;null;null;null;null;null;null;
2023-01-13;null;null;null;null;null;null;null;
2023-01-14;null;null;null;null;null;null;null;
2023-01-15;null;null;null;null;null;null;null;
2023-01-16;null;null;null;null;null;null;null;
2023-01-17;null;null;null;null;null;null;null;
2023-01-18;null;null;null;null;null;null;null;
2023-01-19;null;null;null;null;null;null;null;
2023-01-20;null;null;null;null;null;null;null;
2023-01-21;null;null;null;null;null;null;null;
2023-01-22;null;null;null;null;null;null;null;
2023-01-23;null;null;null;null;null;null;null;
2023-01-24;null;null;null;null;null;null;null;
2023-01-25;null;null;null;null;null;null;null;
2023-01-26;null;null;null;null;null;null;null;
2023-01-27;null;null;null;null;null;null;null;
2023-01-28;null;null;null;null;null;null;null;
2023-01-29;null;null;null;null;null;null;null;
2023-01-30;null;null;null;null;null;null;null;
2023-01-31;null;null;null;null;null;null;null;
2023-02-01;null;null;null;null;null;null;null;
2023-02-02;null;null;null;null;null;null;null;
2023-02-03;null;null;null;null;null;null;null;
2023-02-04;null;null;null;null;null;null;null;
2023-02-05;null;null;null;null;null;null;null;
2023-02-06;null;null;null;null;null;null;null;
2023-02-07;null;null;null;null;null;null;null;
2023-02-08;null;null;null;null;null;null;null;
2023-02-09;null;null;null;null;null;null;null;
2023-02-10;null;null;null;null;null;null;null;
2023-02-11;null;null;null;null;null;null;null;
2023-02-12;null;null;null;null;null;null;null;
2023-02-13;null;null;null;null;null;null;null;
2023-02-14;null;null;null;null;null;null;null;
2023-02-15;null;null;null;null;null;null;null;
2023-02-16;null;null;null;null;null;null;null;
2023-02-17;null;null;null;null;null;null;null;
2023-02-18;null;null;null;null;null;null;null;
2023-02-19;null;null;null;null;null;null;null;
2023-02-20;null;null;null;null;null;null;null;
2023-02-21;null;null;null;null;null;null;null;
2023-02-22;null;null;null;null;null;null;null;
2023-02-23;null;null;null;null;null;null;null;
2023-02-24;null;null;null;null;null;null;null;
2023-02-25;null;null;null;null;null;null;null;
2023-02-26;null;null;null;null;null;null;null;
2023-02-27;null;null;null;null;null;null;null;
2023-02-28;null;null;null;null;null;null;null;
2023-03-01;null;null;null;null;null;null;null;
2023-03-02;null;null;null;null;null;null;null;
2023-03-03;null;null;null;null;null;null;null;
2023-03-04;null;null;null;null;null;null;null;
2023-03-05;null;null;null;null;null;null;null;
2023-03-06;null;null;null;null;null;null;null;
2023-03-07;null;null;null;null;null;null;null;
2023-03-08;null;null;null;null;null;null;null;
2023-03-09;null;null;null;null;null;null;null;
2023-03-10;null;null;null;null;null;null;null;
2023-03-11;null;null;null;null;null;null;null;
2023-03-12;null;null;null;null;null;null;null;
2023-03-13;null;null;null;null;null;null;null;
2023-03-14;null;null;null;null;null;null;null;
2023-03-15;null;null;null;null;null;null;null;
2023-03-16;null;null;null;null;null;null;null;
2023-03-17;null;null;null;null;null;null;null;
2023-03-18;null;null;null;null;null;null;null;
2023-03-19;null;null;null;null;null;null;null;
2023-03-20;null;null;null;null;null;null;null;
2023-03-21;null;null;null;null;null;null;null;
2023-03-22;null;null;null;null;null;null;null;
2023-03-23;null;null;null;null;null;null;null;
2023-03-24;null;null;null;null;null;null;null;
2023-03-25;null;null;null;null;null;null;null;
2023-03-26;null;null;null;null;null;null;null;
2023-03-27;null;null;null;null;null;null;null;
2023-03-28;null;null;null;null;null;null;null;
2023-03-29;null;null;null;null;null;null;null;
2023-03-30;null;null;null;null;null;null;null;
2023-03-31;null;null;null;null;null;null;null;
2023-04-01;null;null;null;null;null;null;null;
2023-04-02;null;null;null;null;null;null;null;
2023-04-03;null;null;null;null;null;null;null;
2023-04-04;null;null;null;null;null;null;null;
2023-04-05;null;null;null;null;null;null;null;
2023-04-06;null;null;null;null;null;null;null;
2023-04-07;null;null;null;null;null;null;null;
2023-04-08;null;null;null;null;null;null;null;
2023-04-09;null;null;null;null;null;null;null;
2023-04-10;null;null;null;null;null;null;null;
2023-04-11;null;null;null;null;null;null;null;
2023-04-12;null;null;null;null;null;null;null;
2023-04-13;null;null;null;null;null;null;null;
2023-04-14;null;null;null;null;null;null;null;
2023-04-15;null;null;null;null;null;null;null;
2023-04-16;null;null;null;null;null;null;null;
2023-04-17;null;null;null;null;null;null;null;
2023-04-18;null;null;null;null;null;null;null;
2023-04-19;null;null;null;null;null;null;null;
2023-04-20;null;null;null;null;null;null;null;
2023-04-21;null;null;null;null;null;null;null;
2023-04-22;null;null;null;null;null;null;null;
2023-04-23;null;null;null;null;null;null;null;
2023-04-24;null;null;null;null;null;null;null;
2023-04-25;null;null;null;null;null;null;null;
2023-04-26;null;null;null;null;null;null;null;
2023-04-27;null;null;null;null;null;null;null;
2023-04-28;null;null;null;null;null;null;null;
2023-04-29;null;null;null;null;null;null;null;
2023-04-30;null;null;null;null;null;null;null;
2023-05-01;null;null;null;null;null;null;null;
2023-05-02;null;null;null;null;null;null;null;
2023-05-03;null;null;null;null;null;null;null;
2023-05-04;null;null;null;null;null;null;null;
2023-05-05;null;null;null;null;null;null;null;
2023-05-06;null;null;null;null;null;null;null;
2023-05-07;null;null;null;null;null;null;null;
2023-05-08;null;null;null;null;null;null;null;
2023-05-09;null;null;null;null;null;null;null;
2023-05-10;null;null;null;null;null;null;null;
2023-05-11;null;null;null;null;null;null;null;
2023-05-12;null;null;null;null;null;null;null;
2023-05-13;null;null;null;null;null;null;null;
2023-05-14;null;null;null;null;null;null;null;
2023-05-15;null;null;null;null;null;null;null;
2023-05-16;null;null;null;null;null;null;null;
2023-05-17;null;null;null;null;null;null;null;
2023-05-18;null;null;null;null;null;null;null;
2023-05-19;null;null;null;null;null;null;null;
2023-05-20;null;null;29,8;null;null;null;null;
2023-05-21;null;1001,429167;29,3;22,15;17,1;75;null;
2023-05-22;0;1002,241667;28,3;22,475;18,9;77,958333;null;
