Nome: ITAPETINGA
Codigo Estacao: A446
Latitude: -15.24472221
Longitude: -40.22944443
Altitude: 271.48
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;983,515;32,2;null;20,5;73,5;2,075;
2023-01-02;null;982,852381;27,1;null;21,6;82,761905;2,233333;
2023-01-03;null;982,022727;31;24,418182;20,6;78,5;2,063636;
2023-01-04;null;981,616667;31,4;24,791667;21,3;80,5;2,175;
2023-01-05;null;981,0875;32;25,95;22,2;76,958333;2,429167;
2023-01-06;null;981,927273;33,3;26,672727;21,9;71,954545;1,840909;
2023-01-07;null;983,072727;33,1;26,568182;22;71,681818;2,531818;
2023-01-08;null;983,029167;33,5;25,920833;21,1;74,875;2,3125;
2023-01-09;null;982,991667;31,5;26,108333;22,4;74,583333;2,445833;
2023-01-10;null;983,221739;33,2;26,817391;22,2;69,043478;2,386957;
2023-01-11;null;983,661905;30,3;null;21;82,238095;2,166667;
2023-01-12;null;982,2125;30;24,783333;21,4;79,5;1,916667;
2023-01-13;null;981,317391;31,2;25,521739;21,3;76,565217;2,343478;
2023-01-14;null;982,325;32,5;null;21,8;72,8;2,75;
2023-01-15;null;983,066667;32;null;21,6;73,047619;2,12381;
2023-01-16;null;982,731818;31,7;24,1;19,2;74;1,731818;
2023-01-17;null;982,933333;32,5;24,641667;21,2;75,875;2,0875;
2023-01-18;null;983,541667;32,1;24,554167;21;82,75;1,554167;
2023-01-19;null;983,245833;31,5;24,479167;21,4;83,708333;1,420833;
2023-01-20;null;982,414286;32,4;null;21;77,190476;2,185714;
2023-01-21;null;980,820833;32,4;25,7125;21,8;76,625;1,870833;
2023-01-22;null;980,595455;30,9;24,559091;20,6;81,590909;2,240909;
2023-01-23;null;980,590476;33,4;null;20,8;72,619048;1,919048;
2023-01-24;null;979,581818;33,3;27,359091;21,9;68,818182;2,263636;
2023-01-25;null;978,513636;33,4;26,963636;22,6;73,227273;2,227273;
2023-01-26;null;979,625;32,1;null;20,8;70;2,285;
2023-01-27;null;981,54;31,7;null;20,4;71,6;2,445;
2023-01-28;null;983,104348;32;25,226087;22;79,565217;2,126087;
2023-01-29;null;982,55;33,3;24,927273;20,3;77,818182;1,859091;
2023-01-30;null;981,704545;31,2;24,790909;20,3;74,090909;2,195455;
2023-01-31;null;982,4;32,5;24,873913;19,3;73,956522;1,647826;
2023-02-01;null;982,916667;31,9;24,8875;20,5;73,125;2,083333;
2023-02-02;null;983,422727;33;26,054545;19,8;66,727273;2,259091;
2023-02-03;null;983,275;33,7;null;19,9;67,1;1,665;
2023-02-04;null;983,633333;35,2;null;21,5;66,952381;2,309524;
2023-02-05;null;982,831579;35,1;null;20,5;67,894737;2,052632;
2023-02-06;null;981,233333;35,4;27,158333;20;64,541667;2,133333;
2023-02-07;null;981,072727;35,6;27,295455;20,9;65,772727;2,431818;
2023-02-08;null;981,59;34,2;null;20,4;60,85;2,63;
2023-02-09;null;982,472727;34,1;26,013636;19,4;62,227273;2,186364;
