Nome: CURACA
Codigo Estacao: A448
Latitude: -9.00138888
Longitude: -39.9125
Altitude: 370
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;null;30,8;null;null;70,083333;null;
2023-01-02;null;null;33,1;null;null;57,666667;null;
2023-01-03;null;null;33,9;null;null;47,923077;null;
2023-01-04;null;null;34,7;null;null;58,583333;null;
2023-01-05;null;null;34;null;null;null;null;
2023-01-06;null;null;36,3;null;null;39,5;null;
2023-01-07;null;null;36,5;null;null;null;null;
2023-01-08;null;null;36,4;null;null;48,692308;null;
2023-01-09;null;null;35,4;null;null;null;null;
2023-01-10;null;null;34,4;null;null;49;null;
2023-01-11;null;null;36,2;null;null;null;null;
2023-01-12;null;null;32,7;null;null;null;null;
2023-01-13;null;null;30,8;null;null;null;null;
2023-01-14;null;null;33;null;null;null;null;
2023-01-15;null;null;33,2;null;null;null;null;
2023-01-16;null;null;30,8;null;null;55,666667;null;
2023-01-17;null;null;28,1;null;null;null;null;
2023-01-18;null;null;34,1;null;null;56;null;
2023-01-19;null;null;36,1;null;null;null;null;
2023-01-20;null;null;33,9;null;null;67,538462;null;
2023-01-21;null;null;34,6;null;null;49,384615;null;
2023-01-22;null;null;35,4;null;null;43;null;
2023-01-23;null;null;34,8;null;null;52,5;null;
2023-01-24;null;null;34,8;null;null;51,461538;null;
2023-01-25;null;null;34,4;null;null;42,083333;null;
2023-01-26;null;null;34,5;null;null;43,076923;null;
2023-01-27;null;null;35,3;null;null;46,75;null;
2023-01-28;null;null;34,3;null;null;53,166667;null;
2023-01-29;null;null;35,2;null;null;50,166667;null;
2023-01-30;null;null;35,1;null;null;null;null;
2023-01-31;null;null;36,3;null;null;null;null;
2023-02-01;null;null;35,9;null;null;null;null;
2023-02-02;null;null;35,8;null;null;null;null;
2023-02-03;null;null;32;null;null;null;null;
2023-02-04;null;null;35,9;null;null;null;null;
2023-02-05;null;null;38,1;null;null;38,833333;null;
