Nome: FORMOSA DO RIO PRETO
Codigo Estacao: A452
Latitude: -11.05222222
Longitude: -45.20083333
Altitude: 488
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;null;null;null;null;null;null;
2023-01-02;null;null;null;null;null;null;null;
2023-01-03;null;null;null;null;null;null;null;
2023-01-04;null;null;null;null;null;null;null;
2023-01-05;null;null;29,9;null;null;null;null;
2023-01-06;null;null;null;null;null;null;null;
2023-01-07;null;null;null;null;null;null;null;
2023-01-08;null;null;null;null;null;null;null;
2023-01-09;null;null;null;null;null;null;null;
2023-01-10;null;null;null;null;null;null;null;
2023-01-11;null;null;null;null;null;null;null;
2023-01-12;null;null;null;null;null;null;null;
2023-01-13;null;null;null;null;null;null;null;
2023-01-14;null;null;null;null;null;null;null;
2023-01-15;null;null;33,2;null;null;null;null;
2023-01-16;null;956,483333;32,5;24,708333;19,2;84,375;,916667;
2023-01-17;null;null;23,2;null;20,2;null;null;
2023-01-18;null;null;null;null;null;null;null;
2023-01-19;null;null;null;null;null;null;null;
2023-01-20;null;null;null;null;null;null;null;
2023-01-21;null;null;null;null;null;null;null;
2023-01-22;null;null;null;null;null;null;null;
2023-01-23;null;null;null;null;null;null;null;
2023-01-24;null;null;null;null;null;null;null;
2023-01-25;null;null;null;null;null;null;null;
2023-01-26;null;null;null;null;null;null;null;
2023-01-27;null;null;null;null;null;null;null;
2023-01-28;null;null;null;null;null;null;null;
2023-01-29;null;null;null;null;null;null;null;
2023-01-30;null;null;null;null;null;null;null;
2023-01-31;null;null;33,6;null;null;null;null;
2023-02-01;null;null;30,7;null;null;null;null;
2023-02-02;null;null;null;null;null;null;null;
2023-02-03;null;null;null;null;null;null;null;
2023-02-04;null;null;null;null;null;null;null;
2023-02-05;null;null;null;null;null;null;null;
2023-02-06;null;null;null;null;null;null;null;
2023-02-07;null;null;null;null;null;null;null;
2023-02-08;null;null;null;null;null;null;null;
2023-02-09;null;null;35;null;null;null;null;
2023-02-10;null;null;35,5;null;null;null;null;
2023-02-11;null;null;null;null;null;null;null;
2023-02-12;null;null;null;null;null;null;null;
2023-02-13;null;null;null;null;null;null;null;
2023-02-14;null;null;null;null;null;null;null;
2023-02-15;null;null;null;null;null;null;null;
2023-02-16;null;null;null;null;null;null;null;
2023-02-17;null;null;27,7;null;null;null;null;
2023-02-18;null;null;null;null;null;null;null;
2023-02-19;null;null;null;null;null;null;null;
2023-02-20;null;null;28,4;null;null;null;null;
2023-02-21;null;null;31,7;null;null;null;null;
2023-02-22;null;null;null;null;null;null;null;
2023-02-23;null;null;null;null;null;null;null;
2023-02-24;null;null;null;null;null;null;null;
2023-02-25;null;null;null;null;null;null;null;
2023-02-26;null;957,975;33,8;25,945833;null;85,304348;1,05;
2023-02-27;3,6;958,466667;33,6;25,958333;21,7;86,791667;1,016667;
2023-02-28;1,2;null;31,5;null;20,3;91,9375;null;
2023-03-01;null;null;null;null;null;null;null;
2023-03-02;null;null;null;null;null;null;null;
2023-03-03;null;null;31,9;null;null;92,4375;null;
2023-03-04;null;null;33,1;null;20,9;87,6875;null;
2023-03-05;null;null;null;null;null;null;null;
2023-03-06;null;null;null;null;null;null;null;
2023-03-07;null;null;null;null;null;null;null;
2023-03-08;null;null;null;null;null;null;null;
2023-03-09;null;null;22,6;null;null;null;null;
2023-03-10;null;null;null;null;null;null;null;
2023-03-11;null;null;null;null;null;null;null;
2023-03-12;null;null;null;null;null;null;null;
2023-03-13;null;null;null;null;null;null;null;
2023-03-14;null;null;null;null;null;null;null;
2023-03-15;null;null;null;null;null;null;null;
2023-03-16;null;null;null;null;null;null;null;
2023-03-17;null;null;null;null;null;null;null;
2023-03-18;null;null;null;null;null;null;null;
2023-03-19;null;null;24,7;null;null;null;null;
2023-03-20;null;null;22,4;null;null;null;null;
2023-03-21;null;null;27,6;null;null;null;null;
2023-03-22;null;null;null;null;null;null;null;
2023-03-23;null;null;31,4;null;null;null;null;
2023-03-24;null;null;30,9;null;null;null;null;
2023-03-25;null;null;33,1;null;null;null;null;
2023-03-26;null;957,5875;32;24,566667;20,7;92,75;,95;
2023-03-27;1,4;957,391667;30,9;24,679167;21,5;93,833333;,879167;
2023-03-28;0;957,1875;33;25,425;20,5;85,583333;,825;
2023-03-29;0;957,620833;32,3;24,7875;19,9;86,125;1,108333;
2023-03-30;0;958,133333;32,8;24,479167;18,2;84,166667;,908333;
2023-03-31;0;957,583333;33,5;24,8875;19,5;83,791667;,908333;
2023-04-01;0;956,820833;32,9;24,129167;17,7;84,166667;,8375;
2023-04-02;0;956,379167;33,5;23,845833;18;87,125;,85;
2023-04-03;48,4;957,0625;28,6;22,233333;19,4;96,458333;,9125;
2023-04-04;2;956,425;31,2;23,445833;18,8;90,625;,8625;
2023-04-05;0;955,529167;31,7;24,179167;20;90,041667;,925;
2023-04-06;2;955,6625;31,9;24,104167;20,4;93,541667;,858333;
2023-04-07;,2;956,208333;32,8;25,195833;20,5;85,125;,841667;
2023-04-08;0;956,625;34,2;25,095833;19,5;86,083333;,783333;
2023-04-09;31,6;957,7875;31,3;23,879167;21;94,458333;,904167;
2023-04-10;,2;958,125;31;24,316667;20,4;94,291667;,95;
2023-04-11;10,4;957,829167;31,2;24,275;20,9;94,541667;,8875;
2023-04-12;,2;956,6625;32,3;25,004167;20,9;89,958333;,883333;
2023-04-13;,2;955,416667;32,2;24,3125;18,9;89,083333;,816667;
2023-04-14;,2;955,9875;33,8;24,625;18,6;84,333333;,725;
2023-04-15;0;956,55;33,9;24,454167;18,6;86,458333;,775;
2023-04-16;0;955,983333;34,8;25,8125;19,5;85,25;,7375;
2023-04-17;0;953,858333;33,6;25,404167;19,4;87,217391;,758333;
2023-04-18;0;953,7;33,2;24,779167;20;89,25;1,233333;
2023-04-19;0;956,5625;32,1;25,358333;20,6;89,125;1,191667;
2023-04-20;0;957,341667;34,4;25,25;20,2;86,916667;,820833;
2023-04-21;8,6;956,5375;30,1;23,4875;20,7;95,416667;,845833;
2023-04-22;,6;956,395833;30,6;24,179167;19,1;86,75;1,216667;
2023-04-23;0;957,116667;30,8;23,25;17,5;87,166667;,945833;
2023-04-24;,6;958,320833;31,4;23,8875;19;87,333333;1,225;
2023-04-25;4;959,158333;31,9;24,254167;19,4;86,083333;,995833;
2023-04-26;0;958,195833;32,8;23,270833;16,7;84,708333;,75;
2023-04-27;,2;957,8;33,6;23,225;16,2;86;,708333;
