Nome: NOSSA SENHORA DA GLORIA
Codigo Estacao: A453
Latitude: -10.20777777
Longitude: -37.43194443
Altitude: 271
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;982,166667;31,3;24,783333;22;81,875;null;
2023-01-02;2,4;981,704167;30,4;24,420833;22,5;84,833333;null;
2023-01-03;2,4;981,55;32,5;26,083333;22,5;77,5;null;
2023-01-04;,2;981,783333;33,4;26,5375;22;73,541667;null;
2023-01-05;0;981,591667;34,3;26,820833;21,5;71,083333;null;
2023-01-06;0;982,045833;34,8;26,9875;21,7;71;null;
2023-01-07;0;983,075;34,2;26,833333;22,4;70,5;null;
2023-01-08;0;982,970833;33,9;26,1875;21,2;70,208333;null;
2023-01-09;0;982,8375;34,1;26,4375;21,1;72,083333;null;
2023-01-10;0;983,025;34,9;26,808333;21,7;70;null;
2023-01-11;0;983,083333;33,8;26,616667;22,3;72,541667;null;
2023-01-12;0;982,058333;33,8;26,466667;21,9;71,416667;null;
2023-01-13;0;981,079167;34;26,620833;22,1;73,416667;null;
2023-01-14;0;981,6625;31,6;25,895833;22,8;78,125;null;
2023-01-15;3;982,183333;31;25,0125;21,4;79,375;null;
2023-01-16;3,8;981,695833;28,4;23,7375;21,4;86,125;null;
2023-01-17;,2;981,945833;32,9;25,7375;22,2;75,666667;null;
2023-01-18;0;982,145833;32,8;26,4;22,6;74,291667;null;
2023-01-19;0;982,441667;31,8;25,733333;22,5;76,375;null;
2023-01-20;0;982,445833;34,4;26,366667;22,2;74,083333;null;
2023-01-21;0;981,2625;35,1;26,975;22,2;70,375;null;
2023-01-22;0;980,6;35;26,8875;21,7;70,75;null;
2023-01-23;0;980,995833;35,8;27,204167;22,7;72,125;null;
2023-01-24;0;980,145833;33,5;26,3625;22,5;73,416667;null;
2023-01-25;0;979,425;35,3;26,904167;22,1;66,25;null;
2023-01-26;0;979,366667;35,1;26,679167;20,5;66,875;null;
2023-01-27;0;980,829167;36,2;27,775;23,1;69,458333;null;
2023-01-28;0;982,3625;34,2;27,258333;23,1;69,75;null;
2023-01-29;0;981,670833;32,7;26,175;22;71,791667;null;
2023-01-30;0;980,520833;34,3;26,55;22,3;73,875;null;
2023-01-31;0;981,354167;28,9;24,666667;22,7;83,833333;null;
2023-02-01;,6;982,0375;32,1;24,704167;20,4;78,166667;null;
2023-02-02;,2;982,6375;35,3;26,416667;22,3;75,458333;null;
2023-02-03;,2;983,1125;34,4;26,904167;22,6;73,833333;null;
2023-02-04;0;983,933333;34,9;26,804167;22,1;72,916667;null;
2023-02-05;0;982,816667;33,7;26,854167;22,3;76,375;null;
2023-02-06;0;981,858333;33,1;26,295833;23,5;79,25;null;
2023-02-07;0;981,916667;33,2;26,179167;21,8;70,416667;null;
2023-02-08;0;981,641667;33,9;26,158333;21,1;67,041667;null;
2023-02-09;0;981,85;34,9;26,804167;22,2;71,208333;null;
2023-02-10;0;981,529167;34,1;26,533333;23,4;78,125;null;
2023-02-11;,2;981,3875;33,2;26,245833;22,4;73,708333;null;
2023-02-12;0;980,9375;35,5;26,891667;21,8;70,25;null;
2023-02-13;0;981,316667;34,4;26,9625;22,4;71,125;null;
2023-02-14;0;980,766667;34,5;27,1375;22;69,416667;null;
2023-02-15;0;980,045833;35,5;27,083333;22;72,583333;null;
2023-02-16;0;978,391667;36,6;27,995833;23,7;70,916667;null;
2023-02-17;0;978,75;34,7;27,316667;22,9;69,5;null;
2023-02-18;0;979,804167;34,1;26,525;21,9;70,75;null;
2023-02-19;0;980,958333;34,6;26,691667;22,1;72,5;null;
2023-02-20;0;981,595833;33;26,6375;23,7;72,875;null;
2023-02-21;0;981,833333;32,3;26,3625;23,3;76,291667;null;
2023-02-22;0;982,65;34,4;27,325;23,1;70,75;null;
2023-02-23;0;982,75;34,6;26,808333;22,4;73,666667;null;
2023-02-24;1;982,508333;29,5;24,241667;22,8;89,541667;null;
2023-02-25;7,2;982,05;33,2;25,8875;22;81,25;null;
2023-02-26;,2;982,770833;35,8;27,308333;23,3;74,375;null;
2023-02-27;0;983,383333;35,6;27,316667;22,8;71,75;null;
2023-02-28;0;983,973913;34,1;27,382609;22,9;71,173913;null;
2023-03-01;0;983,679167;33,8;27,270833;23,1;72,791667;null;
2023-03-02;0;982,15;33,8;27,054167;23;73,375;null;
2023-03-03;0;981,820833;34,4;27,225;22,8;71,458333;null;
2023-03-04;0;981,691667;34,1;26,933333;22,8;70,625;null;
2023-03-05;0;981,179167;35,6;27,279167;22,7;69,5;null;
2023-03-06;0;981,183333;34,7;26,85;22,7;73,041667;null;
2023-03-07;0;981,366667;34,7;27,404167;22,7;68,583333;null;
2023-03-08;0;981,529167;34,9;26,879167;22,4;69,541667;null;
2023-03-09;0;982,1125;34;26,954167;22,9;68,875;null;
2023-03-10;0;982,091667;34,3;26,958333;22,8;70,125;null;
2023-03-11;,2;981,2;35,3;26,891667;22,7;71,541667;null;
2023-03-12;0;980,9;35,6;27,341667;23,1;70,833333;null;
2023-03-13;0;980,925;33,8;26,554167;23;77,166667;null;
2023-03-14;,6;981,35;31,8;25,454167;23,8;81,958333;null;
2023-03-15;13,2;980,9625;32,6;25,558333;22;75,333333;null;
2023-03-16;,6;980,2125;33;25,970833;21,6;70,708333;null;
2023-03-17;0;980,75;32,9;26,3625;22;68,208333;null;
2023-03-18;0;981,2375;33,9;26,108333;22,4;76,333333;null;
2023-03-19;0;981,604167;34,4;26,879167;23,1;74,833333;null;
2023-03-20;0;981,966667;32;26,15;23,2;77,625;null;
2023-03-21;0;982,583333;28,6;23,9875;23;89,708333;null;
2023-03-22;15;983,445833;31,9;25,258333;21,6;81,666667;null;
2023-03-23;13;982,641667;30,3;25,2375;22,4;82,416667;null;
2023-03-24;,4;981,270833;29,9;25,129167;22;84,708333;null;
2023-03-25;1;981,554167;31,8;25,641667;22,7;83,166667;null;
2023-03-26;1,2;982,283333;32;25,5375;23,1;84,375;null;
2023-03-27;0;981,9;32,4;25,820833;22;76;null;
2023-03-28;0;981,879167;32,6;26,075;22,3;76,916667;null;
2023-03-29;0;982,620833;29,5;24,629167;22,6;86,25;null;
2023-03-30;,6;983,1;31,3;25,895833;22,2;75,791667;null;
2023-03-31;,4;982,383333;32,7;25,783333;21,7;77,166667;null;
2023-04-01;,2;981,141667;33,1;26,079167;22,4;75,375;null;
2023-04-02;0;980,704167;33,7;26,795833;22;73,25;null;
2023-04-03;0;980,654167;31,6;25,695833;22,4;80;null;
2023-04-04;0;980,283333;30;25,275;22,4;83,916667;null;
