Nome: ALMENARA
Codigo Estacao: A508
Latitude: -16.16666666
Longitude: -40.68777777
Altitude: 189.11
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;993,704167;31,8;26,233333;22,1;68,958333;1,458333;
2023-01-02;0;992,941667;29,9;25,225;22,5;73;1,891667;
2023-01-03;,2;992,070833;31,1;25,3375;21;72,875;1,341667;
2023-01-04;0;991,241667;31,7;26,479167;22,6;73;1,858333;
2023-01-05;2;990,995833;32,2;26,158333;24,2;77;1,208333;
2023-01-06;1,8;992,125;32,1;25,329167;21,9;77,375;1,316667;
2023-01-07;,8;993,3125;31,9;26,570833;23,1;73,916667;,9875;
2023-01-08;,6;993,05;32,8;26,870833;23,3;72,416667;1,470833;
2023-01-09;,4;993,025;31,2;26,366667;23,9;74,208333;1,220833;
2023-01-10;,2;993,145833;32,3;27,575;24,2;68;1,5;
2023-01-11;0;993,079167;32,8;27,529167;23,6;67,708333;1,729167;
2023-01-12;,4;991,9375;32,6;26,758333;22,3;69,916667;1,504167;
2023-01-13;,2;991,225;33,3;27,4625;23,7;66,916667;1,879167;
2023-01-14;,6;992,254167;33,9;27,683333;22,1;64,75;1,9625;
2023-01-15;,2;993,408333;33,2;27,05;22,5;66,083333;1,633333;
2023-01-16;0;992,941667;30,2;25,733333;21,5;67,708333;1,191667;
2023-01-17;,4;993,258333;32;25,333333;21,9;74,541667;1,175;
2023-01-18;1,6;993,6625;32,7;26,304167;22,4;72,875;,9375;
2023-01-19;2,2;993,091667;32,8;26,904167;22,4;69,5;1,4875;
2023-01-20;1,8;992,341667;32,5;26,654167;23,3;72,541667;1,366667;
