Nome: MONTE VERDE
Codigo Estacao: A509
Latitude: -22.86166666
Longitude: -46.04333333
Altitude: 1544.89
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;11,8;848,7125;23,7;17,020833;13,2;76,5;1,254167;
2023-01-02;5,4;846,8;23,3;17,675;13,6;74,25;1,45;
2023-01-03;,8;845,133333;20,4;16,9625;15,4;84,75;1,116667;
2023-01-04;4,6;844,391667;20,2;17,070833;16,1;83,25;1,666667;
2023-01-05;34,6;845,075;17,2;15,141667;14;89,25;1,020833;
2023-01-06;15,8;847,5125;17,6;13,920833;12,8;80,625;3,016667;
2023-01-07;1;849,145833;18,7;13,9125;11,1;80,25;3,016667;
2023-01-08;,2;848,908333;19,4;15,195833;12,4;82,458333;1,558333;
2023-01-09;14,2;847,891667;18,4;16,083333;14,6;85,958333;1,045833;
2023-01-10;27,2;848,0875;20,7;16,783333;15;84,25;1,0625;
2023-01-11;,6;848,095833;20,1;16,308333;14,1;85,458333;,891667;
2023-01-12;8,8;846,225;22,2;17,408333;15,4;85,416667;,920833;
2023-01-13;4;846,133333;20,8;17,383333;15,9;84,583333;1,166667;
2023-01-14;15,6;847,525;25,3;18,566667;15,5;79,666667;1,116667;
2023-01-15;8;849,254167;26,5;19,504167;16,1;80,333333;1,008333;
2023-01-16;,6;848,679167;26,4;19,1875;15,1;75,083333;1,429167;
2023-01-17;44;849,104167;25,1;19,1625;14,2;74,041667;1,1;
2023-01-18;13;849,9875;24,4;17,933333;13,9;78,875;1,595833;
2023-01-19;6,6;849,129167;23,7;17,804167;12,6;74,375;1,366667;
2023-01-20;2;846,8875;17,6;15,870833;14,9;84;,8625;
2023-01-21;28,2;844,133333;23,3;17,5125;14,8;79,583333;1,2375;
2023-01-22;0;844,270833;24,5;18,004167;14,4;75,25;,991667;
2023-01-23;0;845,133333;23,8;17,379167;12,2;78,458333;,6625;
2023-01-24;2,6;844,604167;23,7;18,15;15,6;82,625;1,108333;
2023-01-25;11,8;845,7;24;18,520833;13,1;70,666667;1,75;
2023-01-26;0;846,341667;24,5;17,895833;11,4;63,583333;1,725;
2023-01-27;0;847,325;24,3;18,191667;12;67,375;1,5;
2023-01-28;0;848,670833;23,2;17,704167;15,6;83,125;,841667;
2023-01-29;10,4;847,95;22,9;17,691667;14,3;80,416667;,920833;
2023-01-30;3,8;846,583333;22;17,358333;15,3;81,791667;,9125;
2023-01-31;22,4;847,3;22,8;17,433333;14,9;82,125;1,179167;
2023-02-01;39,6;848,304167;22,7;17,7125;15,2;86,208333;,525;
2023-02-02;36,6;848,6125;23,7;18,295833;15,2;82,916667;,804167;
2023-02-03;5;847,904167;22,5;17,925;15;82,5;,854167;
2023-02-04;30,4;848,145833;23,1;18,091667;15,1;77,375;1,945833;
2023-02-05;,2;848,325;24,2;18,895833;17;77,166667;1,745833;
2023-02-06;4;847,879167;24,9;19,070833;15,7;78,416667;1,1;
2023-02-07;,2;848,058333;24,1;18,070833;15,7;81,083333;,866667;
2023-02-08;1;847,4125;25,1;17,1125;14,1;81,458333;1,0375;
2023-02-09;48,4;848,0875;24,1;18,0125;13,3;76,958333;1,004167;
2023-02-10;12,4;848,275;24,5;17,566667;13,4;79,791667;1,3125;
2023-02-11;18,6;848,179167;21,7;16,516667;13,8;83,458333;,945833;
2023-02-12;14;847,445833;21,3;17,2125;14,9;83,458333;,854167;
2023-02-13;7,6;847,654167;21,7;17,75;15,2;81,875;,783333;
2023-02-14;1;847,258333;24,9;18,716667;14,5;78,041667;1,3625;
2023-02-15;23,4;845,579167;25,6;18,720833;15,1;82,041667;,975;
2023-02-16;3,8;843,425;23,7;18,6125;16,1;76,791667;1,445833;
2023-02-17;17,8;844,7;23,5;18,566667;15,2;77,541667;1,345833;
2023-02-18;,6;847,5625;25,9;18,895833;16,5;76,875;1,416667;
2023-02-19;30,6;849,608333;21;16,445833;14,9;83;1,729167;
2023-02-20;0;848,958333;24,4;18,204167;13,3;74,125;1,491667;
2023-02-21;17,8;849,166667;22,7;17,183333;14,8;83,291667;,845833;
2023-02-22;9,6;850,85;23,8;16,858333;13,1;80,833333;,825;
2023-02-23;2,2;850,975;22,8;17,225;13,2;78,5;,891667;
2023-02-24;,2;848,7125;23,3;17,616667;13,4;78,291667;,995833;
2023-02-25;3,8;847,825;24,6;18,170833;14,8;82,416667;,816667;
2023-02-26;18,8;849,908333;25;17,833333;14,7;83,625;,7;
2023-02-27;19,8;851,5125;26,1;18,495833;13,9;82,208333;,95;
2023-02-28;,2;852,075;24,5;18,15;15,8;76,083333;1,208333;
2023-03-01;18,4;850,383333;24,7;16,954167;11,7;74,958333;,991667;
2023-03-02;15,6;849,016667;26,1;17,4;11,9;79,583333;1,05;
2023-03-03;9,2;848,729167;24,7;18,966667;14,5;75,583333;1,020833;
2023-03-04;,8;849,254167;22,8;18,05;16,4;82,875;,891667;
2023-03-05;33,2;847,245833;21,5;16,4625;14;83,083333;,970833;
2023-03-06;19,2;846,0625;21,9;17,029167;13,9;78,583333;,975;
2023-03-07;,4;847,858333;24;17,3875;12,5;68,625;1,116667;
2023-03-08;,2;849,016667;24,4;17,241667;12,3;74,458333;1,0625;
2023-03-09;1;849,629167;25;17,716667;13,9;78,083333;1,0375;
