Nome: CAPELINHA
Codigo Estacao: A541
Latitude: -17.70555555
Longitude: -42.38916666
Altitude: 932.06
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;911,620833;28;21,566667;17,4;76,041667;1,883333;
2023-01-02;0;910,516667;27,2;21,504167;18,1;76,5;1,8625;
2023-01-03;0;909,720833;27;21,358333;18,4;78;2,466667;
2023-01-04;3,2;909,291667;28,2;20,670833;18,1;86,833333;1,895833;
2023-01-05;18,4;909,191667;29,3;21,216667;18,8;87,583333;1,0875;
2023-01-06;17,2;910,129167;25,5;20,954167;18,6;86,416667;2,029167;
2023-01-07;24,8;911,6625;26,5;21,05;17,7;86,875;,979167;
2023-01-08;,6;911,5;27,5;22,216667;18,2;81,666667;1,2875;
2023-01-09;0;911,233333;26;21,320833;18,5;86,958333;1,145833;
2023-01-10;3,6;911,608333;27;20,7375;18;87,583333;1,233333;
2023-01-11;0;911,445833;27,8;20,9875;17;86,125;1,066667;
2023-01-12;1,2;910,208333;26,8;20,683333;18,6;89,333333;,904167;
2023-01-13;13;909,5875;27,8;20,979167;18,1;89,333333;,6875;
2023-01-14;9;910,429167;28,4;22,116667;18,2;83,458333;1,170833;
2023-01-15;0;911,625;27,6;21,516667;16,4;78,875;1,525;
2023-01-16;,2;910,841667;26,6;21,0375;15;76,458333;2,0125;
2023-01-17;0;911,583333;26,1;20,1375;17,6;85,625;1,954167;
2023-01-18;14,4;911,9875;27,5;21,145833;17,4;82,791667;1,766667;
2023-01-19;,8;911,595833;27,1;21,095833;18,4;84,958333;1,3375;
2023-01-20;57,6;910,7;27,3;19,925;16,6;86,75;1,525;
2023-01-21;46,4;908,791667;25,8;20,129167;17,2;88,666667;1,975;
2023-01-22;34,4;907,754167;28,7;21,716667;17,8;83,416667;2,720833;
2023-01-23;0;908,608333;28,4;21,541667;18,8;84,75;2,091667;
2023-01-24;4;907,895833;28,5;21,2;17,9;88,291667;1,070833;
2023-01-25;39;907,4625;26,4;20,420833;18,3;91,5;,866667;
2023-01-26;2,6;908,341667;25,2;20,620833;18,6;89,75;1,204167;
2023-01-27;2;909,933333;27,2;20,945833;18,5;87,875;1,120833;
2023-01-28;8;911,454167;29;21,170833;17,4;81,583333;1,091667;
