Nome: SAO ROMAO
Codigo Estacao: A547
Latitude: -16.36277777
Longitude: -45.12388888
Altitude: 490.29
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;957,958333;32,2;26,141667;21,1;72,833333;1,2375;
2023-01-02;0;956,633333;33,1;26,575;21;68,5;1,229167;
2023-01-03;0;956,408333;28,1;23,804167;20,5;82,125;1,179167;
2023-01-04;0;956,8125;30,8;24,404167;21,4;84,375;1,1375;
2023-01-05;11;956,495833;31,5;24,629167;21,3;82,583333;1,220833;
2023-01-06;0;957,675;30,3;23,929167;21,9;86,041667;1,233333;
2023-01-07;7,4;958,995833;32,5;24,329167;21,3;84,208333;1,2125;
2023-01-08;4,4;958,970833;31,1;23,591667;21,5;86,541667;1,0375;
2023-01-09;1,6;958,579167;32,8;24,033333;20,5;83,333333;,995833;
2023-01-10;4,2;958,425;33,8;26,354167;21,4;75,625;,870833;
2023-01-11;0;958,404167;33,8;25,645833;21;78,083333;,791667;
2023-01-12;0;957,4125;29,8;24,8125;20,8;81,625;1,091667;
2023-01-13;,2;956,716667;32,5;24,529167;21,4;83,875;1,241667;
2023-01-14;30;957,758333;32,3;25,3625;19,9;80,375;,629167;
2023-01-15;9,6;957,9875;33,2;26,395833;20,8;75,916667;1,129167;
2023-01-16;,2;957,083333;32,8;25,875;19,2;73,291667;,966667;
2023-01-17;0;957,5;32,3;25,3;18,7;71,958333;1,15;
2023-01-18;0;958,391667;33,6;24,741667;18,5;77,458333;1,033333;
2023-01-19;,2;958,270833;33,5;25,075;19,8;76,083333;,995833;
2023-01-20;1,4;957,895833;32,4;24,2375;19,6;81,208333;1,329167;
2023-01-21;5,6;956,9375;30,2;23,179167;19,5;84,625;,891667;
2023-01-22;7,4;956,125;30,7;24,083333;20,9;85,208333;1,15;
2023-01-23;41;956,533333;31,1;23,654167;21,6;86,958333;,983333;
2023-01-24;16,2;955,475;33,1;25,966667;20,9;76,958333;1,166667;
2023-01-25;0;954,516667;33,1;26,541667;22,5;77,333333;,891667;
2023-01-26;29;955,429167;30;23,9875;21,7;87,708333;1,375;
2023-01-27;10,4;956,775;31,6;24,979167;21,2;81,958333;,8875;
2023-01-28;8,6;958,5125;32,4;24,1375;20,4;81,958333;1,2;
2023-01-29;0;957,533333;31,9;24,25;19,6;81,166667;1,058333;
2023-01-30;,2;956,325;32,9;25,85;20,8;77,375;,879167;
2023-01-31;0;956,783333;33,6;26,129167;19,9;73,458333;,95;
2023-02-01;0;957,358333;33,2;25,3875;18,2;73,083333;,9375;
2023-02-02;,2;958,025;33,4;25;17,1;72,583333;,904167;
2023-02-03;0;957,979167;33,6;25,545833;18,4;73,208333;,8875;
2023-02-04;0;958,541667;34,5;26,816667;20;72,208333;,6875;
2023-02-05;0;958,070833;34,9;27,229167;19,9;71,083333;,820833;
2023-02-06;,8;956,8625;33,7;26,858333;22,6;76,708333;,895833;
2023-02-07;,2;956,458333;35,7;26,966667;20,5;73,208333;,7875;
2023-02-08;0;956,245833;34,4;27,354167;20,5;69,833333;1,566667;
