Nome: AGUAS VERMELHAS
Codigo Estacao: A549
Latitude: -15.75166666
Longitude: -41.45777777
Altitude: 754.07
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;,2;930,408333;27,3;21,9625;16,7;76,333333;2,079167;
2023-01-02;0;929,304167;28,2;21,841667;17,9;80,416667;2,125;
2023-01-03;0;928,820833;27,7;21,8375;17,6;79,708333;1,879167;
2023-01-04;0;928,4625;29,7;22,854167;19,4;79,666667;1,816667;
2023-01-05;,2;928,304167;29,2;22,416667;20,6;87,75;1,683333;
2023-01-06;9,6;929,3625;28,8;21,708333;19,1;87,416667;1,5;
2023-01-07;32;930,404167;28,8;22,254167;18,3;84,208333;1,2375;
2023-01-08;3,4;930,070833;30,5;22,55;19,4;82,583333;1,3125;
2023-01-09;1,6;930,0125;28,6;22,975;19,4;80,333333;1,566667;
2023-01-10;0;930,320833;29,8;22,320833;18,9;84,75;1,354167;
2023-01-11;,2;930,291667;30;22,566667;17,6;79,916667;1,704167;
2023-01-12;,2;929,1375;28,1;21,991667;19,3;85,666667;1,429167;
2023-01-13;14;928,295833;29,3;23,266667;19,4;79,25;1,429167;
2023-01-14;4,6;929,241667;30,6;23,266667;19,7;75,125;1,729167;
2023-01-15;0;930,233333;28,8;21,8625;17,1;77,458333;1,533333;
2023-01-16;0;929,595833;26,9;21,383333;16,8;78,208333;1,479167;
2023-01-17;0;930,054167;27,5;21,1875;17,3;84,25;1,104167;
2023-01-18;0;930,391667;30,3;22,7;18,1;76,75;1,675;
2023-01-19;0;930,2;28,8;22,1125;17,8;82,875;1,458333;
2023-01-20;0;929,5625;28,5;22,625;18,9;78,708333;1,733333;
2023-01-21;0;928,116667;28,5;21,841667;16,9;87,791667;1,6125;
2023-01-22;0;927,55;30;22,679167;18,4;81,708333;1,975;
2023-01-23;45,8;927,9;31,6;24,016667;18,8;76,083333;1,508333;
2023-01-24;0;926,966667;31,7;23,575;18,1;79,333333;1,533333;
2023-01-25;0;926,016667;31,1;23,329167;19,1;81,541667;1,345833;
