Nome: ITAOBIM
Codigo Estacao: A550
Latitude: -16.57555554
Longitude: -41.48555555
Altitude: 271.63
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;983,754167;31,5;26,033333;20,9;66,708333;2,075;
2023-01-02;0;982,629167;31,6;26,254167;22,2;67,416667;2,295833;
2023-01-03;0;982,058333;30,5;25,775;21,6;69,208333;2,229167;
2023-01-04;,2;981,341667;33;26,704167;22,7;73,791667;1,604167;
2023-01-05;1,6;981,245833;32,5;24,716667;22,3;85,125;1,7625;
2023-01-06;34,6;982,429167;32,2;24,975;21,9;82,791667;1,429167;
2023-01-07;,2;983,733333;31,3;25,395833;21,3;80,083333;1,083333;
2023-01-08;0;983,220833;33,8;26;21,7;77,083333;1,179167;
2023-01-09;2,6;983,116667;31,7;26,0375;22,4;78,541667;1,2625;
2023-01-10;,2;983,375;32,1;25,866667;22,6;81,208333;1,2875;
2023-01-11;19,8;983,104167;33;26,820833;22,2;74,958333;1,333333;
2023-01-12;0;981,995833;32,4;26,416667;22;73,416667;1,633333;
2023-01-13;0;981,175;32,5;27,233333;23;69,875;1,645833;
2023-01-14;0;982,191667;33;27,5625;23,1;66,25;1,954167;
2023-01-15;0;983,4625;32,4;27,175;22;64,541667;2,166667;
2023-01-16;0;982,991667;32,5;25,683333;20;67,375;1,854167;
2023-01-17;0;983,483333;31,8;25,25;20,7;72,25;1,9875;
2023-01-18;0;983,854167;33,8;26,1125;20,2;70,625;1,633333;
2023-01-19;,2;983,329167;33,5;26,5;22,3;70,958333;1,883333;
2023-01-20;,8;982,825;32,6;25,308333;22,4;78,416667;1,954167;
2023-01-21;22,6;981,55;31,5;23,5;20;85,916667;1,620833;
2023-01-22;24;980,25;31,9;24,870833;20,6;82,875;,7375;
2023-01-23;7;980,479167;34,1;26,5375;22,4;79,458333;,691667;
2023-01-24;0;979,391667;34;27,241667;22,1;76,333333;1,566667;
2023-01-25;0;978,691667;31,2;26,716667;22,5;78,041667;1,258333;
2023-01-26;,2;979,920833;32;25,979167;23,5;76,583333;1,345833;
2023-01-27;0;981,879167;29,7;25,420833;22,5;77,25;1,125;
2023-01-28;0;983,25;33,6;26,204167;20,5;73,166667;1,020833;
2023-01-29;0;982,529167;32,8;26,820833;21,6;68;1,770833;
2023-01-30;0;981,816667;32,1;26,3125;21,5;68,458333;2,0875;
2023-01-31;0;982,633333;32,7;26,208333;19,4;64,416667;2,029167;
