Nome: CARATINGA
Codigo Estacao: A554
Latitude: -19.73583333
Longitude: -42.13722221
Altitude: 609.25
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;,4;947,008333;29,9;25,4125;21,6;72;2,1375;
2023-01-02;5,2;945,591667;29,9;24,929167;21,7;73,75;2,1;
2023-01-03;0;944,483333;30,4;24,666667;20,7;75;1,8875;
2023-01-04;1,2;943,8375;30,1;24,254167;20,7;82,375;1,504167;
2023-01-05;2,8;943,716667;30,3;24,716667;22,2;85,375;,775;
2023-01-06;31,6;944,654167;30,2;24,254167;22;87,916667;,75;
2023-01-07;25,2;946,591667;30,5;24,6;21,9;84,541667;1,045833;
2023-01-08;33,4;946,758333;29;24,495833;22,1;86,416667;,920833;
2023-01-09;1;946,020833;31,9;25,729167;22,6;79;1,5375;
2023-01-10;21,4;946,620833;29,2;24,3;21,5;87,166667;,966667;
2023-01-11;,2;946,304167;31,3;24,745833;21,5;84,041667;1,141667;
2023-01-12;28;945,0125;26,9;23,266667;21,7;92,791667;,570833;
2023-01-13;26,8;944,408333;30,6;24,883333;21,2;84,833333;,75;
2023-01-14;13;945,229167;32,1;26,620833;22,8;78,458333;1,491667;
2023-01-15;,4;946,591667;31,5;26,091667;22,4;75,541667;1,845833;
2023-01-16;0;946,016667;32,3;26,133333;21,8;66,625;1,841667;
2023-01-17;0;946,7;32;25,754167;20,9;70,958333;1,8;
2023-01-18;0;947,129167;32,5;25,9375;21,8;74,625;1,520833;
2023-01-19;3;946,85;31,4;24,791667;21,9;78,291667;1,7625;
2023-01-20;61,4;945,541667;29,2;24,308333;20,9;82,5;1,375;
2023-01-21;22;943,154167;27,1;22,729167;20,4;90,208333;,5875;
2023-01-22;16,2;941,579167;31,6;24,841667;21,9;83,25;1,329167;
2023-01-23;2,4;942,554167;31,5;25,5;21,7;83,041667;,879167;
2023-01-24;13,8;942,1875;31,5;24,9625;21,7;85,458333;1,116667;
2023-01-25;30,8;942,166667;31,6;24,3375;21,4;84,791667;1,195833;
2023-01-26;5,6;943,629167;28,9;23,7375;20,4;83,666667;1,320833;
2023-01-27;5;945,15;31,9;24,970833;21,3;80,583333;1,441667;
2023-01-28;3;946,404167;32,3;26,575;22,3;72,708333;1,541667;
2023-01-29;,6;945,45;32,6;26,65;23,2;73,666667;2,016667;
2023-01-30;0;945,05;31,1;25,591667;23,1;75,75;1,95;
2023-01-31;0;945,866667;31,6;26,120833;21,3;64,708333;2,120833;
2023-02-01;0;945,9875;31,9;26,141667;22,5;69;1,7375;
2023-02-02;0;946,304167;32;25,9;21,3;70,208333;1,429167;
2023-02-03;0;945,9125;32,7;25,395833;19,1;70,291667;1,145833;
2023-02-04;0;946,0875;33,7;26,241667;19;70,291667;1,05;
2023-02-05;0;944,808333;36,2;27,833333;21,3;69,958333;1,016667;
2023-02-06;5,4;944,3;30,5;26,595833;23;78,541667;,983333;
2023-02-07;0;944,604167;32,5;26,066667;22,7;82;1,104167;
2023-02-08;,2;945,058333;30,8;25,466667;20,5;75,166667;1,616667;
2023-02-09;16,8;945,879167;31;25,2125;20,5;75,333333;1,5;
2023-02-10;,2;945,879167;32,3;26,270833;22,2;71,916667;1,620833;
2023-02-11;0;945,9375;32,5;26,575;22,5;69,083333;1,6375;
2023-02-12;,2;945,308333;32,6;26,629167;23,2;72,5;1,4875;
2023-02-13;0;945,05;33;26,8125;22,6;71,958333;1,491667;
2023-02-14;0;944,566667;32,4;26,275;22,2;75,708333;1,329167;
2023-02-15;0;943,091667;32,8;27,408333;23,8;69,208333;1,654167;
2023-02-16;0;941,4375;32,5;26,854167;21,7;72,583333;1,283333;
2023-02-17;0;942,429167;32,4;25,95;22,7;80,041667;1,304167;
2023-02-18;8,6;944,329167;31,8;25,795833;22,1;78,541667;1,325;
2023-02-19;7,4;946,433333;31,4;25,854167;23;73,625;2,433333;
2023-02-20;4,2;946,8625;32,2;26,3625;22,6;70,375;2,216667;
2023-02-21;,4;947,233333;31,6;25,7;22;75,875;1,579167;
2023-02-22;,6;948,141667;31,7;25,641667;21,4;78,291667;,9625;
2023-02-23;0;947,9;33,3;26,358333;22,2;71,583333;1,041667;
2023-02-24;0;946,558333;30,6;25,608333;22,7;72,583333;1,495833;
2023-02-25;0;946,179167;32;25,920833;21,5;70,875;1,5875;
2023-02-26;0;947,541667;33,4;26,345833;21,5;72,5;1,441667;
2023-02-27;0;948,391667;33,1;26,1;21,2;70,666667;1,416667;
2023-02-28;0;948,641667;33,8;27,008333;21,4;64,541667;1,4375;
2023-03-01;0;947,895833;34,4;27,05;22,1;65,333333;1,779167;
2023-03-02;0;946,375;33,3;26,841667;22,7;68,708333;1,666667;
2023-03-03;0;946,354167;33,7;26,233333;22,1;66,916667;1,695833;
2023-03-04;0;946,8375;33,5;26,441667;22,1;65,666667;1,575;
2023-03-05;0;944,920833;32,7;24,829167;19,1;71,583333;1,0875;
2023-03-06;0;943,920833;34,5;26,383333;20,5;65,583333;1,308333;
2023-03-07;0;945,404167;33,7;27,791667;23,4;66,083333;2,495833;
2023-03-08;0;946,633333;30,7;26,3;23,4;68,125;2,1875;
2023-03-09;0;947,079167;33,4;26,1125;21,3;71,125;1,4375;
2023-03-10;0;946,816667;33,1;26,695833;22,7;66,125;2,066667;
2023-03-11;0;945,870833;32,9;25,858333;20,4;63,291667;1,6125;
2023-03-12;0;946,079167;33,2;26,3;22,1;65,458333;1,420833;
2023-03-13;0;946,766667;33,2;26,879167;23,1;60,708333;2,066667;
