Nome: SAO SEBASTIAO DO PARAISO
Codigo Estacao: A561
Latitude: -20.91
Longitude: -47.11416666
Altitude: 845
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;7,8;919,691667;29,2;21,929167;19;82,125;1,475;
2023-01-02;0;918,070833;27,2;21,441667;19;85,529412;1,716667;
2023-01-03;33,8;916,925;26,1;21,0875;18,2;86,785714;2,0125;
2023-01-04;2,4;916,608333;24,9;20,875;19,1;null;1,583333;
2023-01-05;42,4;916,45;25,3;20,75;19;null;1,858333;
2023-01-06;12;917,991667;23,9;20,329167;19;null;1,166667;
2023-01-07;59,8;920,079167;24,3;19,858333;17,9;null;1,120833;
2023-01-08;8,6;920,029167;23,3;20,075;18,3;null;1,366667;
2023-01-09;2,4;919,1375;26,2;20,966667;18,8;null;1,933333;
2023-01-10;21,8;920,029167;25,9;21,033333;18,5;79,333333;1,583333;
2023-01-11;,4;919,745833;23,8;20,729167;19,4;null;1,245833;
2023-01-12;29,2;918,05;27,5;21,441667;18,4;80,916667;1,65;
2023-01-13;null;917,779167;25,6;21,1875;19,1;null;1,520833;
2023-01-14;null;919,0625;30;21,95;18,6;null;1,720833;
2023-01-15;null;919,95;30,8;23,320833;18,4;76,333333;1,708333;
2023-01-16;null;919,183333;29,3;21,75;19,5;85,928571;1,804167;
2023-01-17;null;919,475;30,8;23,604167;18,5;59,733333;1,425;
2023-01-18;null;920,491667;30,8;22,970833;18,5;77,772727;1,625;
2023-01-19;null;920,175;29,5;21,491667;18,5;86,809524;1,366667;
2023-01-20;null;918,5375;25,8;20,766667;18,7;null;1,533333;
2023-01-21;null;916,466667;24,1;19,791667;17,8;null;2,054167;
2023-01-22;null;916,079167;28,3;20,908333;17,6;87,083333;1,445833;
2023-01-23;null;916,529167;27,5;21,341667;18,1;null;1,5375;
2023-01-24;null;916,070833;26,3;21,745833;19,4;null;1,508333;
2023-01-25;null;916,241667;29,9;23,1625;17,2;58,8;1,304167;
2023-01-26;null;916,4375;29,8;23,395833;18,4;75,913043;1,570833;
2023-01-27;null;917,908333;27,3;22,070833;18,2;86,619048;1,129167;
2023-01-28;null;919,920833;27,5;22,783333;20,2;79,833333;2,173913;
2023-01-29;null;919,583333;28,4;21,266667;19,1;80,583333;1,425;
2023-01-30;null;918,129167;27,5;21,3375;18,1;null;1,218182;
2023-01-31;null;918,770833;27,2;21,533333;18;null;1,356522;
2023-02-01;null;919,504167;28,5;21,733333;18,2;null;1,23913;
2023-02-02;null;920,025;28,5;21,229167;19,7;null;1,316667;
2023-02-03;null;919,133333;29,7;23,566667;18,4;62,428571;1,945833;
2023-02-04;null;920,279167;29,3;23,254167;18,5;70,1875;2,175;
2023-02-05;null;920,045833;28,5;22,783333;19,4;null;1,433333;
2023-02-06;null;919,1625;29,1;23,0875;18,8;68,5;1,3375;
2023-02-07;null;919,2875;29,7;22,375;17,5;72,684211;1,791667;
2023-02-08;null;918,4875;29,6;21,829167;17,8;70,230769;1,629167;
2023-02-09;null;919,154167;29,3;21,945833;18;null;1,720833;
2023-02-10;null;919,4375;28,1;21,070833;18,2;null;1,441667;
2023-02-11;null;919,470833;27,7;21,683333;19,2;null;1,679167;
2023-02-12;null;919,133333;23,1;19,545833;18,8;null;1,579167;
2023-02-13;null;919,108333;29,6;22,375;18;68,166667;1,430435;
