Nome: BAMBUI
Codigo Estacao: A565
Latitude: -20.0311111
Longitude: -46.00888888
Altitude: 697
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;18,8;936,56087;27,6;22,747826;19,1;90,043478;1,769565;
2023-01-02;,2;935,273913;27,8;22,473913;18,8;86,347826;2;
2023-01-03;20,2;933,943478;26,7;21,847826;19,2;92,565217;1,334783;
2023-01-04;null;933,413636;27,6;22,609091;20,3;91,727273;1,413636;
2023-01-05;5,8;933,191667;26,1;22,245833;19,9;93,625;1,4;
2023-01-06;32,2;934,318182;26,3;21,740909;20,3;96,954545;1,822727;
2023-01-07;null;936,6;25,4;21,045455;18,5;95,545455;,954545;
2023-01-08;12,6;936,763636;22,8;21,240909;19;99,454545;1,377273;
2023-01-09;21,8;936,254167;25,9;21,85;19,9;94,166667;1,616667;
2023-01-10;21,8;936,731818;28,4;22,077273;19,6;90,318182;1,290909;
2023-01-11;null;936,419048;29,5;null;19,2;91,619048;1,342857;
2023-01-12;22,8;935,145455;28,9;22,518182;19,2;89,272727;1,972727;
2023-01-13;2,4;934,473913;27,8;22,9;20,2;92,956522;1,126087;
2023-01-14;7,2;935,713636;30;23,445455;19,9;85,181818;1,504545;
2023-01-15;0;936,1;32,3;25,417391;19,7;78,782609;1,36087;
2023-01-16;,6;935,568182;30,8;25,331818;20,9;78,318182;1,604545;
2023-01-17;0;936,108696;30,6;24,304348;18,3;75,913043;1,378261;
2023-01-18;0;936,886957;31,3;24,495652;18,6;77,391304;1,308696;
2023-01-19;13,2;936,745833;29,8;23,775;19,4;80,208333;1,9375;
2023-01-20;17,6;935,486957;26,9;21,969565;18,4;88,478261;1,578261;
2023-01-21;4,4;932,865217;28,2;22,321739;19;85,217391;2,017391;
2023-01-22;0;932,243478;26,8;22,647826;20;89,913043;1,282609;
2023-01-23;7,2;932,881818;27,3;22,859091;20,5;91,5;1,122727;
2023-01-24;34,4;932,434783;30;23,282609;20,8;90,173913;1,221739;
2023-01-25;35;932,521739;30,5;24,321739;19,9;81,782609;1,204348;
2023-01-26;0;933,065217;30,9;24,721739;20,3;78,434783;1,921739;
2023-01-27;null;934,733333;29,8;null;20,9;85,095238;2,809524;
2023-01-28;2,8;936,863636;29,9;22,686364;20,8;91;1,177273;
2023-01-29;0;936,1;31,5;22,8125;19,6;88,125;1,470833;
2023-01-30;6,8;934,820833;29;22,629167;18,4;87,166667;1,233333;
2023-01-31;,8;935,504545;28,5;22,986364;19,3;88,318182;1,531818;
2023-02-01;,2;935,56087;30,5;24,482609;19,8;82,391304;1,317391;
2023-02-02;null;936,009524;30,9;null;20,8;79,285714;1,338095;
2023-02-03;0;935,63913;32,1;24,978261;18,9;77,695652;1,726087;
2023-02-04;0;936,508696;31,4;23,434783;19,4;85,434783;1,495652;
2023-02-05;15,4;936,286364;29,9;24,140909;20,2;86,272727;1,131818;
2023-02-06;null;935,019048;32;24,240909;19,7;86,090909;1,228571;
2023-02-07;29,4;935,5875;30,6;23,145833;18,6;83,541667;1,654167;
2023-02-08;,6;935,208696;29,5;22,6;18,4;86,130435;1,313043;
2023-02-09;0;936,086957;29;23,4;19,6;84,956522;1,473913;
2023-02-10;0;935,852174;30;23,326087;19,1;85,913043;1,3;
2023-02-11;5;936,242857;27,6;null;19,3;92,428571;1,147619;
2023-02-12;7,8;935,586957;27;21,508696;20,4;96,478261;1,082609;
2023-02-13;8,8;935,757143;28,7;null;18,2;86,666667;1,014286;
2023-02-14;null;934,681818;31,5;23,790909;19,5;85,181818;1,218182;
2023-02-15;,4;933,354545;31,2;24,281818;19,7;85,818182;1,218182;
2023-02-16;3,2;932,116667;29,9;22,0375;20,1;92,875;1,5125;
2023-02-17;22,2;932,4;31,1;23,7375;19,1;85,041667;1,179167;
2023-02-18;2,8;934,845833;30,4;23,683333;19,9;85,583333;1,254167;
2023-02-19;16,6;936,004348;30,1;23,956522;19,7;83,869565;1,604348;
2023-02-20;0;936,345833;29,9;23,854167;18,7;80,125;1,75;
2023-02-21;0;936,817391;30,1;23,069565;17,9;82,608696;1,521739;
2023-02-22;,2;938,295455;31;23,972727;18,9;79,545455;1,154545;
2023-02-23;,2;938,475;29,3;23,6125;20,1;85,25;1,0125;
2023-02-24;0;936,45;30,1;23,186364;19,5;87,272727;1,331818;
2023-02-25;4,2;935,654167;31,3;24,008333;19,5;83,75;1,595833;
2023-02-26;0;937,15;32,3;24,991667;18,9;77,916667;1,3;
2023-02-27;0;938,091667;32,1;25,3375;19,5;78,416667;1,216667;
2023-02-28;0;938,7125;31,5;24,758333;18,4;76,25;1,391667;
2023-03-01;0;937,641667;32,5;23,508333;17;79,708333;1,270833;
2023-03-02;0;936,25;30,5;24,518182;18,9;77,363636;1,554545;
2023-03-03;0;935,852174;32;24,865217;19,8;77,043478;1,4;
2023-03-04;0;936,35;32,7;24,483333;17,9;77,541667;1,179167;
2023-03-05;0;934,895833;30,4;23,729167;19,4;83,208333;,904167;
2023-03-06;4,8;934,273913;29,4;21,826087;19,9;90,826087;1,717391;
2023-03-07;37,4;935,613043;28;21,495652;17,3;86,826087;1,295652;
2023-03-08;,2;936,717391;27,7;22,508696;18,1;86,869565;1,352174;
2023-03-09;10,8;936,96087;30,4;23,082609;18,4;84,26087;1,282609;
2023-03-10;,2;936,573913;29,3;23,469565;20,4;84,434783;1,330435;
2023-03-11;0;936,126087;28,6;22,547826;19,7;90,086957;1,147826;
2023-03-12;6;936,238095;29,9;null;19,6;84,428571;1,109524;
2023-03-13;null;936,756522;29,2;24,117391;20,1;83,782609;1,173913;
2023-03-14;0;936,986364;30,1;23,554545;20,1;83;1,436364;
2023-03-15;23,4;936,295455;30,5;23,877273;19,3;80,318182;1,118182;
2023-03-16;0;935,745455;30,8;23,904545;17,9;79;1,140909;
2023-03-17;0;936,286364;27,8;22,486364;17,5;83,363636;,954545;
2023-03-18;null;936,513636;30,9;23,472727;17,1;77,045455;1,35;
2023-03-19;0;936,458333;30,9;23,375;17,6;80,291667;1,2625;
2023-03-20;0;936,65;30,7;22,890909;18,7;85,136364;1,427273;
2023-03-21;7,2;937,321739;31,5;23,547826;18;79,043478;1,265217;
2023-03-22;0;938,347826;31,1;23,995652;18,2;77,826087;1,308696;
2023-03-23;null;938,647619;31;24,640909;20,1;77,409091;1,580952;
2023-03-24;0;937,756522;31,9;23,56087;17,1;78,26087;1,069565;
2023-03-25;0;936,6875;32,6;23,379167;16,2;77,958333;,883333;
2023-03-26;0;936,925;33;23,779167;16,7;76,166667;,995833;
2023-03-27;0;935,745833;33,1;24,508333;17,5;75,541667;1,083333;
2023-03-28;0;936,504167;31,8;24,116667;17,9;80,458333;1,045833;
2023-03-29;0;937,116667;29,7;24,108333;20,3;83,5;1,304167;
2023-03-30;0;937,575;31,7;24,15;18;78,083333;1,145833;
2023-03-31;0;936,629167;32,7;23,120833;17,3;77,875;1,166667;
2023-04-01;,8;934,952174;31,8;23,426087;17,3;80,869565;1,156522;
2023-04-02;null;934,790909;32,3;24,154545;16,9;73,818182;1,131818;
2023-04-03;0;936,458333;28,4;22,591667;19,5;80,458333;1,191667;
2023-04-04;0;935,766667;30,3;22,745833;17,2;80;,975;
2023-04-05;0;935,191667;29,5;22,3;16;78,875;1,0625;
2023-04-06;0;934,954167;31,4;23,454167;18;77,916667;1,083333;
2023-04-07;1,2;935,565217;26,1;21,669565;18,7;93,173913;,86087;
2023-04-08;9,8;935,983333;28,1;22,604167;19,6;90,208333;,991667;
2023-04-09;29;937,745833;27,5;21,545833;19,5;93,166667;,875;
2023-04-10;3,6;938,575;27,9;21,683333;18,1;85,333333;,995833;
2023-04-11;0;937,8625;28,2;22,154167;18,8;84,333333;1,208333;
2023-04-12;0;936,791667;23,2;21,291667;19,9;95,25;,825;
2023-04-13;15,8;934,6;30;22,516667;18,2;87,75;,904167;
2023-04-14;0;934,720833;26,8;21,55;19,1;96,416667;,891667;
2023-04-15;20;935,879167;29,4;22,85;19,3;86,041667;,883333;
2023-04-16;0;936,0625;29,3;21,591667;16,4;84,458333;,9125;
2023-04-17;0;932,566667;30,8;21,975;15,4;84,25;1,116667;
2023-04-18;0;929,954167;32;22,091667;17,1;89,041667;1,15;
2023-04-19;9,2;931,554167;28;22,820833;19,7;85,916667;1,829167;
2023-04-20;0;936,233333;26,3;20,408333;16;73,291667;1,166667;
2023-04-21;0;937,75;26,3;18,375;10,5;79,708333;1,720833;
2023-04-22;0;938,866667;23,3;20,7375;17,8;79,875;1,583333;
2023-04-23;0;939,233333;27,6;20,1;14,3;83,291667;,941667;
2023-04-24;0;940,029167;27,5;19,779167;14,1;82,708333;,975;
2023-04-25;0;939,9625;27,6;19,770833;13,2;82,75;,9125;
2023-04-26;0;938,2625;28,9;19,695833;14;89,208333;1,404167;
2023-04-27;41,4;935,9125;29,2;20,820833;16,1;88,666667;,983333;
2023-04-28;12,4;936,3625;28,8;22,125;18,2;90,791667;1,141667;
2023-04-29;13,8;937,520833;28,1;20,941667;15,6;88,416667;1,033333;
2023-04-30;11,4;938,225;24,8;19,4875;14,8;90,875;1,079167;
2023-05-01;,2;937,220833;28,3;20,1;14,5;86,875;,966667;
2023-05-02;0;936,033333;28,5;20,329167;14,3;82,625;1,0125;
2023-05-03;null;null;29,2;null;14,1;83,529412;null;
2023-05-04;null;938,043478;29,7;20,004348;13,2;81,956522;,804348;
2023-05-05;0;939,525;29,4;20,679167;14,3;82,041667;,895833;
2023-05-06;0;939,473913;27,7;20,156522;13,6;83,304348;,952174;
2023-05-07;0;938,7875;27,1;19,866667;13,8;83,833333;1,145833;
2023-05-08;0;939,170833;28,1;19,779167;14;82;,9;
2023-05-09;0;938,716667;28,1;19,195833;12,7;84,333333;,716667;
2023-05-10;0;937,534783;27,5;20,278261;14,9;85,826087;,808696;
2023-05-11;0;935,245833;29,2;20,641667;13,7;82,666667;,8;
2023-05-12;0;936,166667;28,2;19,566667;12,1;83,083333;,845833;
2023-05-13;0;937,866667;26,6;17,2625;9,5;80,333333;,8125;
2023-05-14;,2;939,791667;27,2;17,220833;9,6;81,25;,841667;
2023-05-15;0;939,816667;27,8;17,516667;9,6;79,958333;,804167;
2023-05-16;0;938,75;27,3;16,495833;7,7;75,875;,808333;
2023-05-17;,2;938,8625;26,5;14,933333;6,4;77,833333;,95;
2023-05-18;0;940,316667;25,8;15,054167;6,7;80,708333;,833333;
2023-05-19;0;940,041667;25,7;15,0625;6,9;82,083333;,820833;
2023-05-20;,2;939,829167;24,4;14,5125;6,8;81,041667;,754167;
2023-05-21;0;939,016667;24,1;14,370833;6,5;81,166667;1,266667;
2023-05-22;0;939,95;24,1;15,3;7,9;83,208333;1,0625;
2023-05-23;0;940,770833;25,5;17,116667;10,2;79,666667;1,129167;
2023-05-24;0;940,295833;25,8;16,558333;9,3;82,458333;1,3125;
2023-05-25;0;941,2;26,2;17,75;12,1;86,916667;,929167;
2023-05-26;0;941,2375;25,5;16,791667;9,1;83,083333;1,308333;
2023-05-27;0;940,329167;27,4;17,758333;10,7;84,625;,820833;
2023-05-28;0;938,2125;28,1;18,679167;11,4;82,583333;,9125;
2023-05-29;0;938,016667;25,8;20,583333;16,6;82,75;1,179167;
2023-05-30;0;940,395833;25;19,9375;15,3;78,583333;1,841667;
2023-05-31;,2;940,304167;22,2;18,6875;16,9;91,666667;1,1625;
2023-06-01;5,2;940,566667;25,1;18,158333;14,4;89,708333;1,1;
2023-06-02;,2;940,120833;25,4;16,666667;9,5;83,625;,945833;
2023-06-03;0;940,7875;25,3;16,033333;8,3;83,166667;1,154167;
2023-06-04;0;942,179167;25,2;15,3625;7,5;81,375;,95;
2023-06-05;,2;941,5375;25;14,954167;6,9;80,208333;,854167;
2023-06-06;0;940,908333;24,9;14,741667;6,9;82,5;1,1125;
2023-06-07;0;942,145833;25,2;14,683333;6,4;81,666667;,7625;
2023-06-08;,2;942,025;26,2;15,420833;7,3;80,375;,845833;
2023-06-09;0;941,066667;27,7;16,016667;7,2;80,25;,783333;
2023-06-10;0;940,295833;27,7;16,929167;8,5;78,916667;,8125;
2023-06-11;0;939,245833;28,8;17,458333;9;79,333333;,716667;
2023-06-12;0;938,829167;28,9;18,591667;10,2;80,208333;1,1375;
2023-06-13;0;939,616667;28,8;19,95;11,9;80;1,158333;
2023-06-14;0;939,104167;28,1;21,2;16,2;78,958333;1,3125;
2023-06-15;0;939,4375;26,3;20,8;16,7;80,958333;1,308333;
2023-06-16;0;939,929167;24,1;19,583333;17,1;87,875;,879167;
2023-06-17;0;940,325;25,7;19,120833;15,5;85,416667;,975;
2023-06-18;0;940,933333;26,5;16,279167;8,7;79,875;,879167;
2023-06-19;0;942,804167;26,1;15,583333;7,9;81,458333;,9875;
2023-06-20;0;943,029167;25,1;14,995833;7,1;80,333333;,854167;
2023-06-21;0;941,75;24,8;14,704167;6,8;80,083333;,9;
2023-06-22;,2;941,408333;24,1;14,0125;5,7;79,625;,958333;
2023-06-23;0;940,491667;24,7;14,225;6;80,25;1,2625;
2023-06-24;0;940,808333;24,7;14,516667;7;82,083333;,804167;
2023-06-25;0;941,666667;24,4;14,745833;7,9;84,041667;,841667;
2023-06-26;0;941,670833;25,5;14,6375;6,1;81,458333;,970833;
2023-06-27;0;941,433333;25,9;15,4625;7,3;81,958333;1,15;
2023-06-28;0;941,6375;27,6;16,083333;7,5;78,916667;,779167;
2023-06-29;0;941,766667;26,7;16,245833;7,8;77,25;,7375;
2023-06-30;0;942,8;25,9;15,770833;7,7;79,625;1,108333;
2023-07-01;0;941,375;26,4;15,608333;7,4;78,75;,783333;
2023-07-02;0;939,141667;27,3;15,833333;7,4;74,916667;,783333;
2023-07-03;0;940,804167;24,8;14,595833;6,3;77,666667;,9375;
2023-07-04;,2;942,2625;24,2;13,529167;5,1;78,791667;,945833;
2023-07-05;0;942,916667;23,5;12,958333;4,5;78,083333;1,208333;
2023-07-06;0;941,491667;22,9;12,641667;4,2;77,833333;1,1625;
2023-07-07;0;939,816667;25,3;13,420833;4;76,958333;,925;
2023-07-08;0;937,7875;29,4;15,641667;5,9;72,791667;1,0125;
2023-07-09;0;938,379167;29,6;17,2;8;72,875;1;
2023-07-10;0;938,895833;29,8;18,9125;11;73,958333;1,095833;
2023-07-11;0;938,054167;30,9;18,541667;9,6;74,416667;1,133333;
2023-07-12;0;935,245833;30,4;18,8125;9,1;72,166667;1,425;
2023-07-13;0;933,726087;31,6;20,726087;11,6;67,173913;2,069565;
2023-07-14;5,8;937,25;23;17,233333;13,7;75,791667;1,458333;
2023-07-15;0;939,195833;24,8;13,95;5,1;84;1,104167;
2023-07-16;0;939,454167;26,7;17,516667;10,4;84,25;1,0625;
2023-07-17;1;939,6;29,5;20,675;14;80,625;,925;
2023-07-18;0;941,283333;31,1;20,525;14,1;81,333333;1,091667;
2023-07-19;3,2;944,029167;28;20,433333;13,8;79,833333;1,1875;
2023-07-20;,6;946,1625;26,6;21,25;15,7;70,166667;1,991667;
2023-07-21;0;946,070833;25,9;18,916667;14,4;77,666667;1,545833;
2023-07-22;0;944,75;25,6;17,5375;10,7;79,208333;1,1875;
2023-07-23;0;944,820833;27,8;17,1375;8,8;75,958333;,916667;
