Nome: UBERABA
Codigo Estacao: A568
Latitude: -19.71
Longitude: -47.96194444
Altitude: 778
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;2,2;926,454167;29,9;23,245833;19,1;84,791667;3,270833;
2023-01-02;,6;924,709524;28,8;null;19,2;79,52381;3,528571;
2023-01-03;0;924,222727;25,3;21,886364;19,9;94,045455;1,95;
2023-01-04;null;923,785714;27,3;null;18,4;88,047619;2,571429;
2023-01-05;19;923,808696;27,3;21,756522;19,5;95,217391;2,582609;
2023-01-06;39,8;925,045833;26,7;21,104167;19,8;96,416667;1,7375;
2023-01-07;50,2;926,76087;26,3;21,665217;19,2;91,956522;1,834783;
2023-01-08;20,2;926,679167;25,8;21,0625;19,7;97,333333;1,858333;
2023-01-09;62;925,933333;28,2;null;19,2;87,714286;2,757143;
2023-01-10;5,6;926,922727;27,1;21,727273;18,9;92,909091;1,518182;
2023-01-11;15,6;926,645455;29,4;24,145455;20,5;81;2,131818;
2023-01-12;null;925,1;28,3;22,881818;19,1;86,318182;2,222727;
2023-01-13;1,8;924,682609;28,5;23,326087;20,6;89,217391;1,83913;
2023-01-14;21,4;926,0625;29,9;22,8875;19,2;88,125;1,858333;
2023-01-15;5,8;927,095833;30,5;23,091667;20,8;90,583333;1,383333;
2023-01-16;1,8;925,878261;30,5;24,1;20,2;86,913043;2,186957;
2023-01-17;,8;926,486957;30,8;24,621739;19,7;78,73913;1,908696;
2023-01-18;0;927,217391;31,3;24,73913;18,7;77,173913;2,226087;
2023-01-19;0;927,05;31,7;23,490909;19,8;82,227273;2,663636;
2023-01-20;34;925,665217;29,1;22,165217;18,9;86,652174;2,96087;
2023-01-21;22,4;924,195238;23,6;null;18,6;96,333333;2,161905;
2023-01-22;24,2;923,390909;28;22,427273;19,2;89,363636;2,05;
2023-01-23;4;923,963636;26,6;22,027273;19,8;95,772727;1,531818;
2023-01-24;9,4;923,591667;26,9;21,7125;20;96,666667;1,783333;
2023-01-25;9,6;923,408333;30,3;23,566667;18,4;83,708333;1,5;
2023-01-26;0;923,091667;30,7;24,65;19;78,041667;2,920833;
2023-01-27;0;924,617391;28,9;22,813043;19,4;91,26087;2,173913;
2023-01-28;2,6;927,013043;29,6;23,334783;20,4;86,26087;2,256522;
2023-01-29;16,2;926,717391;27,6;21,791304;19,8;92,521739;2,443478;
2023-01-30;,4;925,217391;28,3;21,834783;19,8;92,217391;1,804348;
2023-01-31;23,4;925,527273;28,9;22,468182;18,8;90,272727;2,463636;
2023-02-01;9,8;926,321739;28,9;23,347826;20,4;90,043478;1,186957;
2023-02-02;,2;926,504348;30,1;23,886957;20,9;86,826087;2,091304;
2023-02-03;,2;926,233333;32,1;25,2125;19,6;73,875;1,941667;
2023-02-04;1,2;927,6;30,2;24,352174;19,1;81,130435;2,595652;
2023-02-05;11,2;927,472727;30,4;23,654545;17,7;84,045455;1,754545;
2023-02-06;null;926,338095;30,8;null;19,9;81,047619;1,528571;
2023-02-07;null;926,385714;29,8;null;19;79,52381;1,92381;
2023-02-08;null;925,363636;31,4;23,313636;19,7;85,590909;2,181818;
2023-02-09;1,2;926,078261;30,7;22,63913;18,9;89,086957;2,53913;
2023-02-10;16,6;926,472727;29,1;22,263636;19,1;90,636364;1,605263;
2023-02-11;null;926,319048;29,1;null;19,4;84,142857;null;
2023-02-12;null;925,713636;26,8;22,554545;21,3;92,590909;null;
2023-02-13;12;926,063636;30;23,668182;19,3;85,181818;null;
2023-02-14;null;925,659091;31,5;22,977273;19,3;88,545455;null;
2023-02-15;23,2;923,691304;31,4;23,643478;17,8;88,26087;null;
2023-02-16;3,2;922,075;31,2;24,529167;19,5;78,333333;null;
2023-02-17;2;922,882609;31,6;24,413043;19,4;79,434783;null;
2023-02-18;0;925,071429;29,4;null;21;91;null;
2023-02-19;10,2;926,036364;29,4;22,690909;19,6;90,272727;null;
2023-02-20;19,2;926,265217;31,1;23,7;19;81,521739;null;
2023-02-21;36,2;927,434783;28,6;20,834783;18,8;94,521739;null;
2023-02-22;55,6;928,745455;31,2;23,086364;18,4;86,409091;null;
2023-02-23;10;929,1;30,3;23,391667;20,1;84,5;null;
2023-02-24;12;927,291667;28,8;23,1125;19,4;85,125;null;
2023-02-25;,2;926,1375;31;22,954167;19,7;91,083333;null;
2023-02-26;2,4;927,7;33;24,795652;20;81,130435;null;
2023-02-27;0;928,595833;33,4;25,541667;19,6;76,083333;null;
2023-02-28;0;928,754167;32,5;25,820833;18,9;66,791667;null;
2023-03-01;0;928;30,9;24,504348;20,1;70,217391;null;
2023-03-02;null;926,604545;31,3;24,381818;18;74,181818;null;
2023-03-03;1,8;926,243478;31,4;23,986957;19,9;83,652174;null;
2023-03-04;null;926,614286;32,1;null;20,6;73,857143;null;
2023-03-05;,2;925,55;30,8;23,904545;20,4;83,181818;null;
2023-03-06;null;923,981818;29,8;23,186364;19,7;85,090909;null;
2023-03-07;3,8;925,470833;28;21,933333;20,1;85;null;
2023-03-08;3;926,7;29,6;21,954545;18,3;87,318182;null;
2023-03-09;18,2;927,217391;29,1;22,556522;19,2;86,695652;null;
