Nome: SETE LAGOAS
Codigo Estacao: A569
Latitude: -19.45527777
Longitude: -44.17333332
Altitude: 719
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;3;933,283333;25,8;21,7125;19,3;85,333333;1,575;
2023-01-02;19,4;931,829167;28,3;22,15;19,3;77,764706;1,925;
2023-01-03;9,8;930,8625;25,3;21,445833;19,4;87,125;1,55;
2023-01-04;33,8;930,583333;26,8;21,816667;19,5;81,769231;2,179167;
2023-01-05;26,2;930,4125;24,8;21,291667;18,7;null;1,320833;
2023-01-06;21,2;931,479167;26,3;21,8375;20,3;null;1,804167;
2023-01-07;26;933,1125;28,3;22,066667;19,4;null;1,591667;
2023-01-08;12,4;933,421739;23,5;21,404348;20;null;1,804348;
2023-01-09;15;933,0125;28,2;21,420833;18,1;null;1,3875;
2023-01-10;28;933,116667;28,6;22,833333;18,9;72,5;1,445833;
2023-01-11;0;933,008333;30,2;22,404167;18,4;79,277778;1,4;
2023-01-12;25,4;932,054167;26,2;21,2;18,1;80,5;1,591667;
2023-01-13;2;931,004167;30,9;22,158333;16,9;null;1,583333;
2023-01-14;42,2;932,25;31,6;23,820833;19,4;66,615385;1,1875;
2023-01-15;0;932,545833;31,8;24,9;19,5;64,375;1,433333;
2023-01-16;0;932,1;30,6;24,05;17,6;66,26087;1,920833;
2023-01-17;0;932,691667;30,6;23,908333;17,4;64,75;2,4125;
2023-01-18;0;933,270833;31,2;24,329167;19,3;68,208333;1,7375;
2023-01-19;0;933,195833;28,8;22,983333;19;76,375;1,679167;
2023-01-20;0;932,045833;26,8;20,9125;18,8;84,875;1,345833;
2023-01-21;47,4;929,870833;26,9;21,2125;18;null;2,120833;
2023-01-22;36,6;928,9625;28,9;21,825;18,9;null;1,695833;
2023-01-23;25,8;929,979167;27;22,4375;19,8;79,076923;1,820833;
2023-01-24;4,2;929,404167;26,9;22,358333;20,2;85,214286;1,5625;
2023-01-25;22,6;929,2;29,3;22,370833;19,6;null;1,166667;
2023-01-26;,2;929,8625;28,2;22,354167;18,9;84,578947;2,095833;
2023-01-27;13,8;931,5125;28,1;22,6375;19,4;75;1,566667;
2023-01-28;10,8;932,975;30;23,458333;18,9;68,214286;1,5;
2023-01-29;,2;931,8375;31,4;24,0875;18,3;68,315789;1,758333;
2023-01-30;23;931,383333;30;22,204167;18,3;78,214286;1,525;
2023-01-31;27;931,8125;31,2;24,1875;18,5;68,863636;1,491304;
2023-02-01;0;932,2375;30,5;23,491667;17;68,695652;1,695833;
2023-02-02;0;932,708333;30,3;23,491667;17,2;69,818182;1,35;
2023-02-03;0;932,25;32,1;24,483333;17,8;65,285714;1,254545;
2023-02-04;0;932,758333;31,3;24,770833;18,1;69,227273;1,447826;
2023-02-05;0;931,918182;33,1;25,709091;18,8;66,8;1,78;
2023-02-06;0;931,495833;30,8;24,895833;20,1;72,181818;1,680952;
2023-02-07;19,6;931,643478;31,8;23,347826;20;78;2,191304;
2023-02-08;46,2;931,754167;29,7;22,629167;17,3;77,347826;2,118182;
2023-02-09;5,8;932,7;29,4;21,3625;18,1;79,533333;1,725;
2023-02-10;1,4;932,208333;30,7;22,941667;16,6;59,857143;1,720833;
2023-02-11;,2;932,104167;30,7;24,329167;18,9;69,863636;1,408696;
2023-02-12;0;931,4375;31;23,808333;18,8;73,5;1,95;
2023-02-13;,8;931,608333;31,9;23,729167;17,9;68,333333;1,369565;
2023-02-14;1;930,8875;32,2;25,3125;19,2;69;1,829167;
2023-02-15;6;929,8125;30,4;23,875;19;74,052632;1,654167;
2023-02-16;2,4;928,320833;30,4;23,5375;18;73,590909;1,970833;
2023-02-17;,8;928,973913;32;22,969565;18;69;1,873913;
2023-02-18;22,4;931,016667;28,6;22,3125;19,8;null;1,770833;
2023-02-19;18,6;932,3125;29,9;23,6;18,5;59,928571;2,679167;
2023-02-20;,2;932,95;30;23,2875;18,7;70,708333;2,4375;
2023-02-21;4,2;933,283333;29,7;23,383333;17,8;70,086957;1,85;
2023-02-22;0;934,308333;31,4;24,075;17,7;66,5;1,691667;
2023-02-23;0;934,483333;30;24,445833;20,1;69,333333;1,645833;
2023-02-24;0;932,9;30,4;23,591667;17,7;68,789474;1,4625;
2023-02-25;0;932,2;31,5;24,258333;18,6;67,105263;1,354167;
2023-02-26;0;933,7;31,1;24,566667;18,3;68,318182;1,716667;
2023-02-27;0;934,833333;30,6;24,275;18,6;67,541667;2,083333;
2023-02-28;0;935,170833;31;23,920833;16,2;62,3;2,108333;
2023-03-01;0;934,054167;31,9;24,370833;18,2;65,5;1,954167;
2023-03-02;0;932,754167;31,7;24,520833;19,1;70,818182;1,295833;
2023-03-03;0;932,56087;31,8;25;19,3;67,434783;2,152174;
2023-03-04;0;933,079167;31,2;23,920833;16,3;62,652174;1,8375;
2023-03-05;0;931,563636;32,6;23,595833;17;65,95;1,25;
2023-03-06;0;930,033333;33,5;24,870833;17,8;55,117647;1,479167;
2023-03-07;1,4;931,5875;31,6;23,9875;19,9;72,708333;1,975;
2023-03-08;0;932,775;30,1;23,366667;18,6;70,842105;1,470833;
2023-03-09;0;933,345833;30,1;23,604167;19,2;68,55;1,895833;
2023-03-10;0;932,7375;31,4;24,804167;19,9;66,916667;2,041667;
2023-03-11;0;932,091667;29,5;23,804167;19,3;70,25;1,716667;
2023-03-12;35,8;932,691667;30,2;23,270833;19,1;63,642857;1,579167;
2023-03-13;0;933,104167;28,9;23,575;19,3;74;2,241667;
2023-03-14;0;933,321739;29,1;23,686957;19,2;70,521739;2,230435;
2023-03-15;0;932,616667;30,1;23,391667;17,1;68,590909;2,35;
2023-03-16;0;932,020833;30,3;23,783333;18,4;66,25;2,395833;
2023-03-17;0;932,1375;29,6;23,6375;18,5;66,208333;2,470833;
2023-03-18;0;932,741667;30,3;23,3875;17,4;67,454545;1,783333;
2023-03-19;0;932,834783;30,5;22,969565;17,6;72,45;1,634783;
2023-03-20;0;932,879167;29,8;23,383333;17,4;66,470588;1,404167;
2023-03-21;0;933,3;31,6;23,870833;16,7;61,111111;1,333333;
2023-03-22;0;934,566667;31,4;23,6875;17,9;65,590909;1,629167;
2023-03-23;0;934,95;30,7;23,408333;17,7;70,125;1,908333;
2023-03-24;0;934,069565;31,4;22,995652;17,2;67,304348;1,5;
2023-03-25;0;933,016667;32,4;23,7375;16,1;57,263158;1,175;
2023-03-26;0;933,354167;32,4;23,645833;16,2;61,714286;1,291667;
2023-03-27;0;932,233333;33,2;23,8;15,6;62,631579;1,208333;
2023-03-28;0;932,883333;31,9;24,783333;19,7;68,666667;1,829167;
2023-03-29;0;933,645833;30,5;23,904167;19,6;68,583333;1,804167;
2023-03-30;0;934,083333;31,5;22,175;14,5;58,157895;1,2875;
2023-03-31;0;933;32,2;22,443478;12,9;58,142857;1,226087;
2023-04-01;0;930,720833;32,3;23,208333;15,1;64,083333;1,658333;
2023-04-02;0;931,008333;30,5;23,404167;18,4;71,791667;2,033333;
2023-04-03;0;932,533333;29,3;22,7375;18,5;72,458333;1,895833;
2023-04-04;0;932,158333;30,9;23,120833;17,3;66,545455;1,929167;
2023-04-05;0;931,425;30,4;22,8125;16,6;60,157895;1,5625;
2023-04-06;0;931,341667;31,1;24,291667;18,9;63,333333;2,033333;
2023-04-07;0;931,595833;31,3;23,416667;18,7;72,416667;2,016667;
2023-04-08;2,8;931,758333;31,5;23,754167;19,4;72,5;1,45;
2023-04-09;15,2;933,308333;27,3;22,491667;19;75,375;2,054167;
2023-04-10;,8;934,420833;29,2;22,779167;18,6;74,904762;2,316667;
2023-04-11;0;934,104167;28,5;22,354167;17,4;72,583333;2,4625;
2023-04-12;0;933,05;27,1;22,083333;19,4;74,095238;1,791667;
2023-04-13;11,8;930,770833;29,6;22,979167;18,1;64,928571;1,079167;
2023-04-14;,2;930,821739;29,9;23,308696;19,6;76,5625;1,682609;
2023-04-15;,6;931,716667;29,5;23,179167;18,8;64,538462;1,620833;
2023-04-16;0;931,913043;28,8;22,608696;17,8;67,705882;1,930435;
2023-04-17;0;928,9625;30,8;22,383333;15,7;65,578947;1,704167;
2023-04-18;0;926,3875;32,8;23,3125;15,9;61,588235;1,916667;
2023-04-19;0;928,1;28,9;21,991667;18,5;null;1,5625;
2023-04-20;31,6;931,754167;27,1;21,445833;18,7;54,928571;1,7875;
2023-04-21;,2;933,854167;25;18,9625;14,4;75,130435;3,316667;
2023-04-22;0;935,1375;24,7;19,825;15,3;76,125;3,020833;
2023-04-23;0;935,475;25,5;19,670833;14,7;73,235294;2,170833;
2023-04-24;0;936,158333;26,7;20,554167;16,4;73,75;2,441667;
2023-04-25;0;936,104167;28,1;20,770833;14,5;70,380952;1,908333;
2023-04-26;0;934,279167;30,1;22,025;16;68,315789;1,770833;
2023-04-27;,4;932,0375;29,9;22,425;16,4;65;1,783333;
2023-04-28;13,4;932,429167;29,4;21,9625;17,3;75,153846;1,6;
2023-04-29;0;933,804167;27,9;21,725;18,8;77,666667;1,941667;
2023-04-30;,2;934,295833;27,9;20,6625;15,1;67,5;1,295833;
2023-05-01;0;933,541667;28,5;20,45;14,8;68,066667;1,441667;
2023-05-02;9,4;932,3625;29;19,416667;13,4;67,733333;1,1;
2023-05-03;5,4;932,758333;28,6;19,8875;13,5;66,5;1,141667;
2023-05-04;0;934,1625;29,7;20,4;14,1;63;1,291667;
2023-05-05;0;935,6625;29;20,891667;14,3;59,571429;1,358333;
2023-05-06;,2;935,591667;27,8;20,75;14,6;65;1,4875;
2023-05-07;0;935,1;27,4;20,121739;14,9;68,176471;1,613043;
2023-05-08;0;935,386957;27,2;19,273913;12,8;68,3125;1,369565;
2023-05-09;0;934,543478;27,9;19,469565;13,7;65,461538;1,13913;
2023-05-10;0;933,45;27,6;20,408333;15,1;68,466667;1,358333;
2023-05-11;0;931,175;29,4;20,783333;14;60,923077;1,15;
2023-05-12;0;931,870833;29,1;20,9375;15,1;63,066667;1,441667;
2023-05-13;0;933,216667;28,7;19,729167;14;59,571429;1,4625;
2023-05-14;,2;935,454167;28,9;20,1625;13,8;65,941176;1,720833;
2023-05-15;0;935,4875;28,9;19,566667;12,6;57,2;1,358333;
2023-05-16;,2;934,057143;28,7;null;11,1;52,066667;1,419048;
2023-05-17;0;934,366667;27,2;17,583333;11,1;65,416667;1,7125;
2023-05-18;0;936,05;26;17,7;11,5;65,666667;1,9375;
2023-05-19;0;936,0625;25,7;16,954167;10,8;68,125;2,029167;
2023-05-20;0;935,775;25,3;16,816667;9,4;65,272727;1,591667;
2023-05-21;0;935,220833;25,2;16,258333;7,6;60,5625;1,529167;
2023-05-22;0;936,25;24,5;16,8375;10,2;66,277778;1,6625;
2023-05-23;0;937,016667;24,6;17,4875;11,6;70,235294;2;
2023-05-24;0;936,545833;25,8;18,741667;12;67;2,225;
2023-05-25;0;937,5375;25,6;20,233333;15,7;66,454545;2,852174;
2023-05-26;,2;937,558333;26,3;17,8875;10,8;69,352941;2,166667;
2023-05-27;0;936,426087;27,3;18,556522;11,6;65,333333;1,534783;
2023-05-28;,2;934,570833;28;18,529167;11,9;57,5;1,225;
2023-05-29;0;934,15;26,4;18,429167;12,4;68,071429;1,525;
2023-05-30;0;936,841667;24,8;19,354167;15,1;74,958333;2,979167;
2023-05-31;0;936,386957;26,9;19,6;13,8;70,05;1,73913;
2023-06-01;1,6;935,9375;27,4;19,783333;14,3;66,214286;1,65;
2023-06-02;,2;935,854167;26,3;18,2875;12,9;65,555556;1,875;
2023-06-03;0;937,008333;25,2;17,491667;11,9;69,6;2,033333;
2023-06-04;,2;938,329167;25,5;15,316667;7,2;56,230769;1,279167;
2023-06-05;,2;937,5875;25,8;15,3125;7,3;54,769231;,958333;
2023-06-06;0;937,129167;24,8;15,945833;7,8;58,533333;1,758333;
2023-06-07;,2;938,273913;25,6;15,626087;6,9;54,142857;1,173913;
2023-06-08;0;938,265217;26,6;15,913043;6,4;54,142857;1,13913;
2023-06-09;0;937,279167;27,9;16,804167;8,7;57,4;1,1125;
2023-06-10;0;936,433333;28,7;17,695833;8,9;59,066667;1,213043;
2023-06-11;,2;935,525;29,1;18,108333;10,1;56,8;,952174;
2023-06-12;0;935,275;29,5;18,9;11,1;56,428571;1,169565;
2023-06-13;0;936,091667;28,5;19,983333;13;61,75;1,6375;
2023-06-14;0;935,8375;27,9;20,370833;14,4;68,227273;1,829167;
2023-06-15;0;935,733333;27,5;20,125;14,1;68,652174;1,75;
2023-06-16;0;935,945833;28,1;19,75;13,3;66,875;1,25;
2023-06-17;1,2;936,375;23,3;19,108333;17;81,307692;1,066667;
