Nome: OLIVEIRA
Codigo Estacao: A570
Latitude: -20.715
Longitude: -44.86444444
Altitude: 1025
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;9,6;902,591667;26,3;20,625;17;78,333333;2,430435;
2023-01-02;18,2;901,254167;25,6;20,025;16,7;null;2,904348;
2023-01-03;17,4;899,891667;25,2;20,129167;16,8;null;3,020833;
2023-01-04;18,2;899,4625;24,8;20,45;18,3;null;3,733333;
2023-01-05;2,8;899,1875;26,6;21,125;18,8;null;3,175;
2023-01-06;44;900,654167;24,7;19,658333;18,3;null;3,479167;
2023-01-07;108,8;902,470833;23,5;18,704167;16,1;null;3,5375;
2023-01-08;7;902,8;22,4;18,595833;17;null;2,6;
2023-01-09;51,4;902,279167;25,5;20,016667;17,8;null;2,408333;
2023-01-10;11,8;902,6;27,1;21,420833;18;73,307692;1,8375;
2023-01-11;,4;902,533333;26,6;20,4875;18,2;null;2,879167;
2023-01-12;6,8;901,1125;26,4;21,025;17,6;79,357143;2,4625;
2023-01-13;,2;900,583333;27,1;22,033333;18,6;83,133333;2,391304;
2023-01-14;9,6;901,8375;26,6;22,283333;18,8;73,285714;1,525;
2023-01-15;,2;902,3125;30,7;23,791667;18,6;76,315789;2,156522;
2023-01-16;6,8;901,754167;30;23,316667;18,6;68,444444;2,378261;
2023-01-17;0;902,35;28,9;22,120833;17,3;73,041667;2,5625;
2023-01-18;5,4;903,141667;29,7;22,504167;16,6;73,956522;2,616667;
2023-01-19;38,2;902,8375;27,3;21,333333;17,4;74;3,091667;
2023-01-20;49,4;901,458333;22,3;19,216667;16,7;null;2,129167;
2023-01-21;32,8;898,6625;22,9;19,0625;17,3;null;2,995833;
2023-01-22;18;898;25,9;20,816667;18,3;null;1,983333;
2023-01-23;11;899,083333;25,1;20,425;19,1;null;1,958333;
2023-01-24;14;898,445833;26,5;20,841667;18,7;null;2,754167;
2023-01-25;13,6;898,758333;28,6;22,295833;18,6;66,076923;2,116667;
2023-01-26;0;899,529167;28,7;22,3875;17,8;73,52381;2,766667;
2023-01-27;3,4;901,0375;28,4;21,675;17,9;82,384615;2,2875;
2023-01-28;31,6;902,95;26,5;20,779167;18,2;null;2,025;
2023-01-29;5,6;901,975;26,8;20,804167;18;null;2,058333;
2023-01-30;7,6;900,875;27,4;20,791667;16,8;80,692308;2,616667;
2023-01-31;0;901,491667;28;22,2625;17,5;71,866667;2,329167;
2023-02-01;,2;901,75;28,4;23,358333;19,1;72,176471;1,883333;
2023-02-02;,2;902,395833;28,3;22,704167;19,3;75,352941;2,625;
2023-02-03;0;901,913043;29,7;23,5;18,3;65,125;2,656522;
2023-02-04;null;null;29,5;null;null;70,4;null;
2023-02-05;null;null;27;null;19,3;73,466667;null;
2023-02-06;null;null;29,3;null;18,7;null;null;
2023-02-07;34,2;901,486957;27,5;21,778261;17,8;84,642857;1,765217;
2023-02-08;8,8;901,372727;27,5;20,877273;16,6;81,166667;2,813636;
2023-02-09;0;902,0375;28,1;20,858333;17,1;80,4;2,495833;
2023-02-10;4;902,061905;28,7;null;16,8;74,076923;2,728571;
2023-02-11;null;null;25,9;null;null;74,928571;null;
2023-02-12;10,8;901,722727;25,7;19,222727;17,8;null;3,086364;
2023-02-13;33,8;901,747368;27,4;null;16,7;null;1,747368;
2023-02-14;null;null;29;null;null;null;null;
2023-02-15;null;null;28,3;null;null;null;null;
2023-02-16;null;898,177778;27,7;null;18,1;null;2,866667;
2023-02-17;null;null;27;null;null;88,928571;null;
2023-02-18;1,2;900,945833;27,5;21,895833;18,5;80,266667;1,983333;
2023-02-19;,8;902,2;28;22,408333;19;76,2;2,756522;
2023-02-20;,2;902,65;27,7;21,9;17,8;78,277778;2,908333;
2023-02-21;1,2;902,858333;28,4;22,454167;17,4;63,642857;2,108333;
2023-02-22;0;904,375;29,8;21,979167;17,4;78,529412;2,1625;
2023-02-23;10,6;904,391667;29,1;21,8625;17,3;74,266667;2,675;
2023-02-24;4,6;902,475;28,7;22,6125;17,9;62,846154;2,354167;
2023-02-25;,2;901,8125;28,9;23,604167;19;74,954545;2,233333;
2023-02-26;0;903,375;30,7;24,820833;19,4;68,863636;1,817391;
2023-02-27;0;904,358333;30,6;24,566667;19,5;68,5;1,865217;
2023-02-28;0;905,183333;29;23,395833;18,9;68,85;2,725;
2023-03-01;0;903,825;29,6;23,466667;17,3;68,5;2,320833;
2023-03-02;0;902,404167;29,3;23,4;19,2;69,333333;2,433333;
2023-03-03;0;902,1125;30,8;23,929167;18,5;73,625;2,75;
2023-03-04;0;902,55;29,3;23,879167;18,4;null;1,808696;
2023-03-05;0;900,991667;28,5;23,233333;18,7;null;2,195455;
2023-03-06;,4;900,366667;28,5;21,941667;18,4;73,125;3,042857;
2023-03-07;0;901,704167;28;20,575;16,5;74,416667;2,743478;
2023-03-08;38,8;902,683333;26,1;20,691667;17,2;79,416667;2,008696;
2023-03-09;0;903,008333;29,4;22,691667;18,1;69,208333;1,995833;
2023-03-10;0;902,604167;28,9;22,254167;18,6;70,791667;2,508696;
2023-03-11;13;902,1625;26,7;20,425;17,8;83,958333;2,583333;
2023-03-12;7,6;902,370833;26,7;20,858333;17,5;79,083333;2,516667;
2023-03-13;0;903,041667;27,6;21,466667;18,7;77,458333;2,683333;
2023-03-14;5;903,2875;27,7;20,879167;18,3;80,833333;2,620833;
2023-03-15;10,8;902,6375;28;21,854167;17,7;70,625;2,4875;
2023-03-16;0;902,075;27,9;22,0625;17,1;64,708333;3,195238;
