Nome: PARACATU
Codigo Estacao: A571
Latitude: -17.24444444
Longitude: -46.88166666
Altitude: 705
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;null;933,683333;29,4;22,966667;18,9;79,875;1,7125;
2023-01-02;null;931,904348;30,9;25,252174;20,7;66,26087;2,747826;
2023-01-03;null;931,926087;26,9;22,165217;18,8;86,26087;2,226087;
2023-01-04;null;931,778261;28,2;22,930435;20,3;84,173913;1,756522;
2023-01-05;null;931,325;30,3;23,595833;20,4;79,791667;1,904167;
2023-01-06;null;932,416667;25,7;22,570833;20,2;85,791667;1,983333;
2023-01-07;null;933,891667;27;22,5375;21;82,833333;1,745833;
2023-01-08;null;934,054167;26,9;21,9;20,2;89,041667;1,420833;
2023-01-09;null;933,958333;27,3;22,133333;19,8;86,833333;1,85;
2023-01-10;null;934,029167;30;23,279167;18,2;78,833333;1,5125;
2023-01-11;null;934,0125;29,9;23,1875;19;75,666667;2,120833;
2023-01-12;null;932,633333;27,9;23,520833;19,6;78,375;1,479167;
2023-01-13;null;932,0125;31,1;23,604167;19,5;76,625;1,654167;
2023-01-14;null;933,216667;30,6;24,320833;19,5;71,583333;1,6;
2023-01-15;null;933,475;31,7;25,791667;20,8;67,375;1,8875;
2023-01-16;null;932,658333;30,8;24,745833;19,3;70,375;2;
2023-01-17;null;932,891667;30,6;25,425;18,6;61,583333;2,270833;
2023-01-18;null;933,947826;31,7;24,965217;19,7;67,304348;2,313043;
2023-01-19;null;933,983333;29;23,7875;19,3;71,208333;1,7;
2023-01-20;null;933,225;27,1;21,825;19,8;82,083333;1,7625;
2023-01-21;null;932,03913;27,2;22,26087;19,3;84,173913;1,826087;
2023-01-22;null;930,779167;31,4;24,2125;19,6;72,875;2,283333;
2023-01-23;null;931,433333;26,9;21,970833;19,9;87,416667;1,958333;
2023-01-24;null;930,729167;29,8;23,566667;20,6;82,125;1,754167;
2023-01-25;null;930,3375;28,7;23,0625;20,2;83,541667;1,558333;
2023-01-26;null;930,295833;25,1;22,3;21,2;88,791667;1,6625;
2023-01-27;null;932,0875;29,8;22,804167;20,2;82,041667;2,166667;
2023-01-28;null;933,975;29,8;23,729167;20,2;77,583333;1,416667;
2023-01-29;null;933,191667;31,1;24,195833;20,5;75,583333;1,733333;
2023-01-30;null;932,104167;29;23,708333;19,8;76;1,9;
2023-01-31;null;932,433333;30,3;24,495833;19,5;72;1,954167;
2023-02-01;null;932,804167;30,9;25,608333;20,2;64,166667;2,033333;
2023-02-02;null;933,404167;31,4;25,566667;19;61,291667;1,779167;
2023-02-03;null;933,254167;32,1;26,075;20,1;56,708333;1,954167;
2023-02-04;null;934,191667;32,1;26,108333;21,1;63,791667;1,925;
2023-02-05;null;934,4;30,4;24,583333;19,7;73,958333;1,870833;
2023-02-06;null;932,9375;29,7;24,545833;21,9;73;1,7625;
2023-02-07;null;932,770833;32,2;25,366667;18,7;63,958333;1,6125;
2023-02-08;null;931,995833;31,6;26,241667;20,2;63,416667;1,820833;
2023-02-09;null;933,133333;29,6;23,958333;20,3;75,583333;1,879167;
2023-02-10;null;932,770833;30,9;24,520833;18,9;70,5;2,141667;
2023-02-11;null;932,729167;31,3;25,641667;21,1;65,666667;1,770833;
2023-02-12;null;931,8625;31,6;25,6625;20,4;64,125;2,0125;
2023-02-13;null;932,483333;32,2;25,666667;20,6;64,708333;1,95;
2023-02-14;null;931,795833;32,9;27,045833;21,1;61,958333;1,633333;
2023-02-15;null;930,504167;33,4;27,45;21,1;59;1,75;
2023-02-16;null;928,75;32,7;26,325;22,3;63,041667;1,925;
2023-02-17;null;929,595833;32,5;26,116667;20,9;63,291667;1,404167;
2023-02-18;null;932,225;28,7;22,666667;19,5;80,708333;2,5125;
2023-02-19;null;932,466667;30;24,6875;20,4;72,916667;2,445833;
2023-02-20;null;932,920833;30;24,408333;19,9;71,375;2,066667;
2023-02-21;null;933,7375;30,6;23,983333;19,3;71,541667;2,004167;
2023-02-22;null;935,316667;30,4;24,575;19,4;66,916667;1,858333;
2023-02-23;null;935,591667;30,3;24,241667;20,6;73,416667;2,204167;
2023-02-24;null;933,916667;30,1;23,570833;18,7;77,208333;1,691667;
2023-02-25;null;932,8625;31,3;25,7375;20,9;67,541667;1,933333;
2023-02-26;null;934,120833;32,2;26,558333;20,2;63,25;1,775;
2023-02-27;null;934,9625;32,3;26,7;21,8;61,125;1,841667;
2023-02-28;null;935,25;32,2;26,541667;20,6;57,541667;2,229167;
2023-03-01;null;934,4875;32,3;25,666667;21,4;63,708333;3,25;
2023-03-02;null;934,0875;31,1;22,966667;18,9;78,333333;2,354167;
2023-03-03;null;932,970833;31,3;24,825;19,6;73,125;1,866667;
2023-03-04;null;933,491667;31,5;25,666667;20,1;61,791667;1,870833;
2023-03-05;null;932,141667;32,2;25,75;19;58,5;1,804167;
2023-03-06;null;930,957895;32,6;null;19,9;59,157895;2,021053;
2023-03-07;null;null;29,6;null;null;null;null;
2023-03-08;null;null;26,8;null;null;null;null;
2023-03-09;null;null;29,2;null;null;null;null;
2023-03-10;null;null;30,2;null;null;null;null;
2023-03-11;null;null;29;null;null;null;null;
2023-03-12;null;null;31;null;null;null;null;
2023-03-13;null;null;30,3;null;null;null;null;
2023-03-14;null;null;29,8;null;null;null;null;
2023-03-15;null;null;30,8;null;null;61,384615;null;
2023-03-16;0;932,179167;30,7;25;21,1;66,416667;2,033333;
2023-03-17;0;932,2625;30,5;24,954167;20,5;65,083333;1,979167;
2023-03-18;0;933,158333;30;24,783333;20,5;64,875;1,941667;
2023-03-19;0;933,333333;31,2;24,7125;20,2;65,875;1,883333;
2023-03-20;2,4;933,883333;27,8;23,320833;19,7;75,125;1,675;
2023-03-21;0;933,983333;31,7;25,333333;20,9;65,166667;2,341667;
2023-03-22;0;934,858333;31,8;24,854167;19,4;65,75;1,975;
2023-03-23;0;935,108333;31;24,775;19,8;66,875;1,9;
2023-03-24;0;934,645833;31,5;25,483333;20,5;61,083333;1,775;
2023-03-25;0;934,0125;32,4;25,083333;18;56,5;1,370833;
2023-03-26;0;934,1875;32,8;25,683333;18,8;53,708333;1,866667;
2023-03-27;0;933,025;33,2;26,408333;19,3;53,416667;1,858333;
2023-03-28;0;933,25;32;25,583333;20,4;61,25;1,845833;
