Nome: CAMPOS DOS GOYTACAZES
Codigo Estacao: A607
Latitude: -21.71472222
Longitude: -41.34388888
Altitude: 17
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;1012,7375;32,2;25,791667;23;76,625;3,529167;
2023-01-02;50,6;1011,304167;29,5;24,829167;22,1;81,958333;3,754167;
2023-01-03;4,2;1008,7;32,4;25,595833;20,7;72,541667;3,8875;
2023-01-04;,2;1006,975;33,6;26,416667;22,7;76,083333;3,6375;
2023-01-05;5,6;1007,695833;33,3;25,741667;23,2;83,333333;2,2625;
2023-01-06;41,2;1010,779167;27,8;23,908333;22,5;88,125;2,133333;
2023-01-07;2,4;1013,770833;26,5;22,933333;20,7;83,958333;4,0625;
2023-01-08;,2;1013,883333;26,2;23,2875;21;82,791667;2,4625;
2023-01-09;1,8;1012,229167;31,7;25,229167;21,6;81,791667;1,725;
2023-01-10;3;1011,979167;29,1;25,295833;22,5;84,75;2,2875;
2023-01-11;,6;1010,766667;33,5;27,145833;23,5;77,541667;3,004167;
2023-01-12;1,8;1008,958333;34,1;25,85;22,8;80,041667;3,125;
2023-01-13;1;1008,279167;34,4;26,8875;22,9;75,958333;3,95;
2023-01-14;,2;1009,770833;33,2;27,025;23,4;75,666667;4,279167;
2023-01-15;0;1011,695833;31,6;26,870833;24,3;71,5;4,845833;
2023-01-16;0;1011,475;31,2;26,504167;22,4;70,458333;4,420833;
2023-01-17;0;1012,504167;32,5;26,941667;23,1;70,625;4,216667;
