Nome: LINHARES
Codigo Estacao: A614
Latitude: -19.35694444
Longitude: -40.0686111
Altitude: 40
Situacao: Operante
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;10;1011,6625;31,1;25,708333;22,6;75,625;2,9125;
2023-01-02;0;1010,504167;29,5;25,108333;23,1;77,333333;2,391667;
2023-01-03;,4;1008,9375;31,3;25,75;21,4;72,458333;3,295833;
2023-01-04;0;1007,829167;32,8;26,441667;23,3;73,041667;4,2;
2023-01-05;,2;1007,629167;32;25,870833;23,5;79,375;2,875;
2023-01-06;20,4;1008,566667;31,4;25,829167;23,8;81,25;2,508333;
2023-01-07;42,4;1011,254167;27,9;24,5;22,2;83,708333;2,9375;
2023-01-08;27,4;1011,366667;29,5;24,633333;21,8;82,708333;2,779167;
2023-01-09;13,2;1010,4625;30,9;25,5875;23,2;81,833333;2,220833;
2023-01-10;3;1010,841667;29,4;25,604167;23,3;81,958333;1,979167;
2023-01-11;8;1010,266667;32,7;26,708333;23,2;77,541667;2,8375;
2023-01-12;,2;1009,045833;32,9;26,954167;23,8;74,208333;3,5875;
2023-01-13;0;1008,4625;32,6;26,7875;22,9;73,583333;3,304167;
2023-01-14;1,2;1009,979167;31,6;26,729167;23,7;73,541667;3,191667;
2023-01-15;0;1011,320833;32,3;26,658333;22,8;70;2,466667;
2023-01-16;0;1010,729167;31,8;26,291667;23,3;70,875;2,575;
2023-01-17;14,6;1011,354167;29;24,558333;22,5;83,25;1,720833;
2023-01-18;45,2;1011,866667;29,7;24,958333;22,4;81,5;2;
2023-01-19;31,6;1011,2375;30,2;25,454167;21,9;76,916667;2,3375;
2023-01-20;1;1009,891667;31,2;25,025;22,8;81,25;1,85;
2023-01-21;19,4;1006,904167;30,4;25,1625;22,8;81,291667;3,379167;
2023-01-22;21,2;1004,766667;33,6;26,316667;22,4;77,75;3,658333;
2023-01-23;12;1005,85;33,7;26,858333;24,1;79,25;2,604167;
2023-01-24;,2;1005,766667;32,6;26,408333;23,4;77,875;2,7;
2023-01-25;21,8;1006,070833;26,9;24,3875;22,8;84;2,295833;
2023-01-26;,4;1007,645833;29,1;25,241667;22,9;79,083333;2,266667;
2023-01-27;4,6;1009,4875;31,4;26,041667;23;77,75;2,1375;
2023-01-28;1,4;1010,695833;32,2;26,733333;23,3;77,416667;2,516667;
2023-01-29;10,6;1009,929167;31,7;26,166667;23,3;77,791667;2,725;
2023-01-30;4,4;1009,55;31,6;26,141667;23,1;73,833333;2,5125;
2023-01-31;0;1010,308333;30,9;25,808333;22,6;74,166667;2,075;
2023-02-01;8,4;1010,420833;31,6;26,116667;22,1;74,166667;2,204167;
2023-02-02;1,8;1010,620833;32;26,554167;22,7;72,666667;3,004167;
2023-02-03;0;1010,191667;33,6;26,95;22,7;69,541667;3,3;
2023-02-04;0;1010,125;34,6;27,7375;23,9;70,375;3,9375;
2023-02-05;0;1008,5375;35,5;27,733333;22,8;72,583333;3,4625;
2023-02-06;0;1007,804167;34,7;27,666667;23,9;71,583333;3,333333;
2023-02-07;,2;1008,5875;33,3;27,4375;24,5;73,708333;2,995833;
2023-02-08;,2;1008,875;34,3;27,408333;24,3;69,75;3,120833;
2023-02-09;0;1010,045833;31,9;26,758333;24,3;71,041667;2,983333;
2023-02-10;0;1010,245833;32,7;26,795833;22,5;69,958333;2,833333;
2023-02-11;0;1010,254167;32,5;26,995833;24;75,291667;2,766667;
2023-02-12;,6;1009,416667;34,5;27,3125;23,5;72,625;2,8125;
2023-02-13;0;1009,116667;34,4;27,433333;23,2;70,75;3,108333;
2023-02-14;0;1008,654167;33,6;27,291667;23,7;71,416667;3,354167;
2023-02-15;0;1007,1625;34,7;27,5;23,5;69,791667;3,633333;
2023-02-16;0;1005,245833;32,6;27,220833;23,6;74,333333;3,45;
2023-02-17;,6;1006,45;32,8;27,316667;24,3;74,125;3,270833;
2023-02-18;12,8;1008,841667;30,9;26,033333;23,2;78,666667;2,4625;
2023-02-19;,8;1010,804167;30,1;25,579167;23,2;80,875;1,983333;
