Nome: ALFREDO CHAVES
Codigo Estacao: A615
Latitude: -20.63638888
Longitude: -40.74194444
Altitude: 14.19
Situacao: Pane
Data Inicial: 2023-01-01
Data Final: 2023-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2023-01-01;0;1012,145833;32;25,9875;21,3;69,416667;1,5;
2023-01-02;0;1011,0875;30,4;24,791667;22,2;71,5;2,491667;
2023-01-03;2,2;1008,270833;33,7;26,7625;20,3;61,416667;3,0625;
2023-01-04;0;1006,608333;35;28,754167;23,2;59,708333;1,945833;
2023-01-05;0;1006,883333;33,9;27,379167;24,4;71,291667;1,445833;
2023-01-06;,4;1010,191667;25,9;23,704167;23,2;86,791667;1,104167;
2023-01-07;29,4;1013,1;26,6;23,0625;21,7;86,333333;1,133333;
2023-01-08;17,6;1013,379167;25,2;22,729167;21,3;86,833333;,95;
2023-01-09;6,6;1011,629167;29,3;24,1125;21,1;84,75;1,395833;
2023-01-10;25,8;1011,595833;29,6;24,75;21,6;82,666667;1,2;
2023-01-11;1,8;1010,233333;35,1;27,3625;21,9;72,041667;1,841667;
2023-01-12;,2;1008,85;33,7;26,083333;23;75,75;1,841667;
2023-01-13;25,2;1008,104167;33,7;26,666667;21,5;73,125;1,529167;
2023-01-14;1,2;1009,345833;35,1;28,345833;23,2;64,75;2,283333;
2023-01-15;0;1011,104167;33,7;27,891667;22,3;64,083333;2,295833;
2023-01-16;0;1010,7875;33,2;27,416667;21,3;59,666667;2,441667;
2023-01-17;0;1011,925;32,9;26,629167;20,6;66,25;2,029167;
2023-01-18;0;1012,608333;32,8;26,6;21,4;68,166667;1,829167;
2023-01-19;0;1012,370833;31,9;25,958333;22,8;69,791667;1,7;
2023-01-20;,6;1010,5625;31;24,445833;21,1;78,291667;1,758333;
2023-01-21;17,8;1006,995833;25,7;23,35;21,4;84,791667;1,004167;
2023-01-22;22,2;1005,454167;30,6;25,129167;21,2;78,583333;1,9625;
2023-01-23;2,8;1006,1625;32,5;25,991667;22,7;77,708333;1,845833;
2023-01-24;19,8;1005,995833;30,9;25,645833;23,6;83,208333;1,1125;
